,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
2281, The Royal Orthopaedic Hospital NHS Foundation Trust , * ," 1,878 ", 9 , * , -   , 605 , -   , -   , * , -   , * , 70 ," 9,616 ", * , -   , -   , 235 , 11 ," 1,296 ", 665 ,1112,RRJ,,,
2282, The Royal Wolverhampton Hospitals NHS Trust ," 1,402 "," 19,172 "," 1,969 "," 1,282 ", 379 ," 1,513 "," 4,018 ", 513 ," 8,491 "," 5,321 "," 10,398 "," 1,564 "," 7,194 "," 6,104 "," 8,811 "," 1,578 ", 608 ," 10,816 "," 4,631 "," 7,287 ",1112,RL4,,,
2283, The Westbourne Centre , -   , -   , -   , -   , -   , -   , 9 , -   , -   , -   , * , * , * , -   , -   , -   , -   , -   , -   , * ,1112,NVC44,,,
2284, University Hospital of North Staffordshire NHS Trust ," 2,563 "," 18,701 "," 1,837 "," 1,741 ", 916 ," 4,629 "," 3,710 ", 791 ," 10,670 "," 9,421 "," 16,748 "," 2,629 "," 6,096 "," 8,237 "," 11,233 "," 2,604 ", 821 ," 16,328 "," 10,375 "," 9,738 ",1112,RJE,,,
2285, University Hospitals Birmingham NHS Foundation Trust , 695 ," 14,177 "," 1,359 "," 1,820 ", 515 ," 3,237 "," 2,990 ", 625 ," 9,148 "," 3,940 "," 12,528 "," 2,120 "," 6,539 "," 3,644 ", 148 , -   , 758 ," 10,343 "," 9,715 "," 3,330 ",1112,RRK-X,,,
2286, University Hospitals Coventry and Warwickshire NHS Trust ," 1,360 "," 18,540 "," 2,473 "," 2,223 ", 827 ," 3,423 "," 3,967 ", 694 ," 8,146 "," 6,314 "," 14,679 "," 1,922 "," 11,892 "," 8,535 "," 13,419 "," 2,380 ", 896 ," 14,189 "," 10,642 "," 8,924 ",1112,RKB,,,
2287, Walsall Healthcare NHS Trust , 921 ," 5,830 "," 1,046 "," 1,419 ", 306 , 825 , 992 , 346 ," 4,280 "," 3,813 "," 7,572 "," 1,147 "," 5,705 "," 3,798 "," 8,639 "," 1,273 ", 280 ," 5,878 "," 3,085 "," 5,884 ",1112,RBK,,,
2288, Walsall Teaching PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,1112,5M3,,,
2289, West Midlands Hospital , * , 32 , 10 , * , -   , 77 , 33 , * , 19 , 14 , 415 , 37 , 945 , 462 , -   , -   , * , 128 , 13 , 24 ,1112,NVC21,,,
2290, Wolverhampton City PCT , -   , -   , -   , -   , 142 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 6 ,1112,5MV,,,
2291, Worcestershire Acute Hospitals NHS Trust ," 1,471 "," 12,958 "," 1,916 "," 1,464 ", 505 ," 2,045 "," 5,952 ", 679 ," 8,082 "," 7,005 "," 14,824 "," 1,814 "," 8,183 "," 8,538 "," 11,662 "," 2,158 ", 441 ," 12,829 "," 8,291 "," 7,979 ",1112,RWP-X,,,
2292, Worcestershire Health and Care NHS Trust , 18 , 263 , 28 , 16 , 663 , 103 , * , * , 248 , 195 , 87 , 47 , 76 , 147 , -   , -   , * ," 2,757 ", 348 , 10 ,1112,R1A,,,
2293, Worcestershire Mental Health Partnership NHS Trust , -   , -   , -   , -   , 259 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 645 , * , * ,1112,RWQ,,,
2294, Worcestershire PCT , * , 115 , 8 , 9 , 8 , 59 , -   , * , 94 , 50 , 144 , 17 , 253 , 182 , -   , -   , * , 322 , 112 , 49 ,1112,5PL,,,
2295, Wye Valley NHS Trust , 586 ," 3,908 ", 437 , 746 , 202 , 970 ," 1,932 ", 391 ," 2,578 "," 2,602 "," 4,177 ", 897 ," 5,066 "," 2,859 "," 4,610 ", 677 , 174 ," 3,967 "," 2,911 "," 4,677 ",1112,RLQ,,,
2296,,,,,,,,,,,,,,,,,,,,,,1112,,,,
2297, YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY ," 23,838 "," 185,173 "," 29,370 "," 27,135 "," 18,286 "," 30,602 "," 70,316 "," 9,421 "," 99,361 "," 89,612 "," 205,588 "," 32,435 "," 125,380 "," 91,065 "," 143,373 "," 20,573 "," 10,550 "," 188,659 "," 109,192 "," 123,547 ",1112,Q32,,,
2298, Airedale NHS Foundation Trust , 928 ," 7,356 "," 1,107 ", 991 , 220 , 770 , 934 , 206 ," 3,187 "," 2,749 "," 7,088 ", 754 ," 2,306 "," 4,178 "," 7,115 ", 447 , 120 ," 4,807 "," 2,447 "," 6,015 ",1112,RCF,,,
2299, Barnsley Hospital NHS Foundation Trust ," 1,184 "," 5,455 "," 1,250 "," 1,193 ", 256 , 807 , 75 , 388 ," 3,859 "," 4,262 "," 8,995 "," 1,764 "," 3,207 "," 3,742 "," 8,050 ", 864 , 103 ," 9,086 "," 3,837 "," 5,587 ",1112,RFF,,,
2300, BMI The Duchy Hospital , -   , * , -   , -   , -   , 18 , -   , -   , -   , 8 , 73 , * , 383 , 52 , -   , -   , * , 31 , * , * ,1112,NT447,,,
2301, BMI The Huddersfield Hospital , -   , 9 , -   , -   , -   , 105 , 119 , -   , * , -   , 213 , * , 514 , 167 , -   , -   , -   , 51 , * , * ,1112,NT448,,,
2302, BMI - Thornbury Hospital , -   , 19 , * , -   , * , 37 , 28 , -   , 79 , -   , 193 , 10 , 100 , 80 , -   , -   , * , 24 , * , * ,1112,NT440,,,
2303, Bradford District Care Trust , -   , -   , -   , -   , 534 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 671 , -   , * ,1112,TAD,,,
2304, Bradford Teaching Hospitals NHS Foundation Trust ," 1,710 "," 10,989 "," 2,558 "," 1,676 ", 852 ," 1,870 "," 4,998 "," 1,159 "," 6,748 "," 7,447 "," 14,564 "," 2,719 "," 8,086 "," 5,810 "," 13,418 "," 2,061 ", 747 ," 14,474 "," 9,223 "," 7,824 ",1112,RAE,,,
2305, Calderdale and Huddersfield NHS Foundation Trust ," 1,773 "," 12,654 "," 1,722 "," 2,268 ", 745 ," 1,937 "," 5,403 ", 729 ," 6,192 "," 6,998 "," 13,761 "," 2,141 "," 8,909 "," 6,159 "," 14,723 "," 1,738 ", 488 ," 13,543 "," 7,005 "," 11,622 ",1112,RWY,,,
2306, Claremont Hospital , * , 7 , * , -   , -   , 40 , 44 , 12 , 132 , 42 , 387 , 11 ," 1,836 ", 168 , -   , -   , -   , 330 , * , 48 ,1112,NTE03,,,
2307, Clifton Park NHS Treatment Centre , -   , 20 , -   , -   , -   , 221 , -   , -   , * , -   , -   , 8 ," 2,337 ", -   , -   , -   , * , * , 90 , * ,1112,NVC28,,,
2308, Doncaster and Bassetlaw Hospitals NHS Foundation Trust ," 1,994 "," 7,470 "," 2,001 "," 1,777 ", 641 ," 1,525 "," 6,687 ", 766 ," 6,832 "," 7,753 "," 15,812 "," 1,961 "," 12,487 "," 5,973 "," 9,762 "," 2,208 ", 301 ," 14,232 "," 8,257 "," 7,541 ",1112,RP5,,,
2309, Eccleshill NHS Treatment Centre , * , 167 , 13 , * , -   , 145 , -   , * , 299 , -   ," 1,185 ", 355 , 495 , 340 , -   , -   , * , 248 , * , 198 ,1112,NTP23,,,
2310, Harrogate and District NHS Foundation Trust , 857 ," 6,645 ", 641 , 851 , 246 , 863 ," 4,121 ", 270 ," 3,112 "," 2,337 "," 6,601 ", 624 ," 3,475 "," 2,857 "," 2,927 ", 750 , 134 ," 5,100 "," 2,579 "," 3,469 ",1112,RCD,,,
2311, Hull and East Yorkshire Hospitals NHS Trust ," 2,128 "," 22,721 "," 2,278 "," 2,399 "," 1,002 "," 3,426 "," 5,917 "," 1,036 "," 11,976 "," 8,425 "," 18,611 "," 3,180 "," 10,894 "," 9,361 "," 10,895 ", 728 , 861 ," 18,192 "," 10,545 "," 12,857 ",1112,RWA,,,
2312, Humber NHS Foundation Trust , * , 237 , 11 , 20 , 800 , 87 , * , -   , 100 , 66 , 33 , 23 , 61 , 36 , * , -   , * , 231 , 128 , 183 ,1112,RV9-X,,,
2313, Leeds and York Partnership NHS Foundation Trust , * , -   , -   , -   ," 1,533 ", 90 , -   , * , -   , -   , -   , * , * , -   , -   , -   , * , 97 , * , 325 ,1112,RGD,,,
2314, Leeds Teaching Hospitals NHS Trust ," 3,040 "," 19,027 "," 1,965 "," 5,055 "," 1,600 "," 3,245 "," 9,096 "," 1,180 "," 13,922 "," 11,148 "," 22,750 "," 5,974 "," 14,325 "," 11,485 "," 16,991 "," 1,875 "," 3,099 "," 28,803 "," 19,561 "," 16,841 ",1112,RR8,,,
2315, Mid Yorkshire Hospitals NHS Trust ," 2,707 "," 16,210 "," 2,617 "," 2,290 ", 833 ," 2,320 "," 4,673 ", 801 ," 8,433 "," 9,087 "," 17,769 "," 3,470 "," 9,897 "," 8,515 "," 13,083 "," 2,406 ", 609 ," 17,263 "," 13,662 "," 11,853 ",1112,RXF-X,,,
2316, Navigo HQ , -   , -   , -   , -   , 380 , 39 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 14 , * , 13 ,1112,NQL01,,,
2317, Northern Lincolnshire and Goole Hospitals NHS Foundation Trust ," 1,246 "," 12,584 "," 2,410 "," 1,025 ", 314 ," 1,536 "," 5,122 ", 529 ," 4,955 "," 5,144 "," 15,147 "," 1,100 "," 6,643 "," 5,659 "," 9,632 "," 1,262 ", 259 ," 13,580 "," 5,185 "," 8,845 ",1112,RJL-X,,,
2318, North Yorkshire and York PCT , 16 , 146 , 70 , 51 , 709 , 136 , -   , -   , 124 , 109 , 446 , 43 , 66 , 58 , * , -   , * , 716 , 209 , 239 ,1112,5NV,,,
2319," Nuffield Health, Leeds Hospital ", 6 , 106 , * , * , * , 104 , -   , * , 203 , 164 ," 1,073 ", 32 ," 1,562 ", 721 , -   , -   , 7 , 298 , 40 , 79 ,1112,NT225,,,
2320," Nuffield Health, York Hospital ", -   , 7 , -   , -   , -   , 29 , 283 , -   , -   , -   , -   , * , 521 , -   , -   , -   , -   , * , 11 , 7 ,1112,NT245,,,
2321, One Health Group Ltd , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , 151 , -   , -   , -   , -   , 15 , * , -   ,1112,NTX01,,,
2322, Pain Management Solutions (Oaks Park) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 718 , -   , -   , -   , -   , 41 , * , -   ,1112,NY601,,,
2323, Park Hill Hospital , -   , 8 , -   , * , -   , * , -   , -   , -   , -   , 20 , 8 , 287 , -   , -   , -   , * , -   , * , -   ,1112,NVC14,,,
2324," Rotherham, Doncaster and South Humber NHS Foundation Trust ", * , 247 , -   , * ," 1,318 ", 156 , -   , -   , 19 , * , * , -   , 11 , * , -   , -   , * ," 1,042 ", 13 , 23 ,1112,RXE,,,
2325, Scarborough and North East Yorkshire Health Care NHS Trust , 694 ," 4,953 "," 1,227 ", 682 , 189 ," 1,027 "," 2,148 ", 179 ," 2,901 "," 2,419 "," 6,303 ", 652 ," 4,000 "," 2,603 "," 3,299 ", 452 , 107 ," 3,970 "," 2,618 "," 3,408 ",1112,RCC,,,
2326, Sheffield Children's NHS Foundation Trust ," 1,544 "," 2,259 ", 743 , 526 , 65 , 806 , 513 , 550 , 118 ," 3,486 "," 3,939 ", 547 ," 1,291 "," 1,059 ", -   , 476 ," 2,080 "," 2,909 "," 2,271 "," 3,204 ",1112,RCU,,,
2327, Sheffield Health and Social Care NHS Foundation Trust , -   , -   , -   , -   ," 2,049 ", 39 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , 81 ,1112,TAH,,,
2328, Sheffield Teaching Hospitals NHS Foundation Trust ," 1,760 "," 41,158 "," 5,137 "," 3,175 ", 851 ," 5,872 "," 8,379 ", 511 ," 16,247 "," 7,714 "," 25,423 "," 3,549 "," 12,857 "," 9,345 "," 17,130 "," 3,695 "," 1,133 "," 15,146 "," 10,513 "," 10,188 ",1112,RHQ,,,
2329, South West Yorkshire Partnership NHS Foundation Trust , 10 , 37 , * , 11 ," 2,509 ", 120 , * , -   , 235 , 82 , 28 , 13 , 40 , 34 , -   , -   , -   , 306 , 176 , 330 ,1112,RXG,,,
2330, Spire Dewsbury Clinic , -   , 13 , * , -   , -   , 51 , -   , -   , 20 , -   , 211 , * , 347 , 30 , -   , -   , * , 11 , * , 17 ,1112,NT349,,,
2331, Spire Elland Hospital , * , 79 , * , * , -   , 127 , * , * , 64 , 8 , 189 , 74 , 621 , 115 , -   , -   , -   , 25 , 8 , 41 ,1112,NT348,,,
2332, Spire Hull and East Riding Hospital , 6 , 217 , * , 16 , -   , 69 , * , * , 288 , 12 , 420 , 222 ," 2,448 ", 48 , -   , -   , -   , 91 , 48 , 12 ,1112,NT351,,,
2333, Spire Leeds Hospital , -   , 100 , * , 75 , -   , 174 , -   , 33 , 44 , 99 , 270 , 100 , 477 , 318 , * , -   , * , 39 , * , 10 ,1112,NT332,,,
2334, Spire Methley Park Hospital , * , 74 , * , 15 , -   , 161 , 259 , 9 , 261 , 47 , 623 , 25 , 910 , 357 , -   , -   , * , 57 , 10 , 41 ,1112,NT350,,,
2335, St Hugh's Hospital , -   , * , -   , -   , -   , 22 , 269 , * , 6 , 11 , 236 , * , 312 , 57 , -   , -   , * , 124 , 62 , -   ,1112,NTE02,,,
2336, St Luke's Hospice (Sheffield) , -   , 36 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   , -   , 286 , -   , -   ,1112,8A101,,,
2337, The Rotherham NHS Foundation Trust ," 1,266 "," 5,511 "," 1,263 ", 863 , 348 ," 1,170 "," 7,387 ", 441 ," 3,693 "," 5,546 "," 11,163 "," 1,378 "," 4,738 "," 5,939 "," 9,586 ", 729 , 228 ," 9,787 "," 5,182 "," 5,181 ",1112,RFR,,,
2338, The Yorkshire Clinic , 27 , 728 , 25 , 22 , * , 108 , 812 , 63 , 335 , 184 ," 1,352 ", 377 ," 2,361 ", 738 , * , -   , 26 , 418 , 43 , 243 ,1112,NVC20,,,
2339, York Teaching Hospital NHS Foundation Trust , 923 ," 7,919 "," 2,306 "," 2,144 ", 281 ," 1,338 "," 3,042 ", 545 ," 4,972 "," 4,263 "," 10,708 "," 1,305 "," 5,706 "," 5,060 "," 6,757 ", 882 , 224 ," 12,594 "," 5,435 "," 7,208 ",1112,RCB,,,
2340,,,,,,,,,,,,,,,,,,,,,,1112,,,,
2341,*Small numbers,,,,,,,,,,,,,,,,,,,,,1112,,,,
2342,"To protect patient confidentiality, figures between 1 and 5 have been replaced with â*â (an asterisk). Where it was still possible to identify figures from the total, additional figures have been replaced with ""*"". ",,,,,,,,,,,,,,,,,,,,,1112,,,,
2343,,,,,,,,,,,,,,,,,,,,,,1112,,,,
2344,"Copyright Â© 2012, The Health and Social Care Information Centre. HES Analysis. All Rights Reserved.",,,,,,,,,,,,,,,,,,,,,1112,,,,
2345,,,,,,,,,,,,,,,,,,,,,,1112,,,,
2346,,,,,,,,,,,,,,,,,,,,,,1112,,,,
2347,Responsible statistician:,,,,,,,,,,,,,,,,,,,,,1112,,,,
2348,"Chris Dew, HES/SUS Analysis (Service) Section Head",,,,,,,,,,,,,,,,,,,,,1112,,,,
2349,Contact via enquiries@ic.nhs.uk or 0845 300 6016,,,,,,,,,,,,,,,,,,,,,1112,,,,
2350,,,,,,,,,,,,,,,,,,,,,,1112,,,,
2351, England ," 351,569 "," 1,708,851 "," 275,354 "," 231,924 "," 179,165 "," 330,747 "," 608,711 "," 83,399 "," 937,963 "," 856,021 "," 1,768,260 "," 284,389 "," 1,187,649 "," 917,779 "," 1,297,090 "," 228,751 "," 106,949 "," 1,658,750 "," 968,209 "," 1,164,101 ",1213,England,,,
2352,,,,,,,,,,,,,,,,,,,,,,1213,,,,
2353, EAST MIDLANDS STRATEGIC HEALTH AUTHORITY ," 24,071 "," 145,875 "," 20,247 "," 16,471 "," 13,839 "," 25,786 "," 40,673 "," 6,066 "," 65,083 "," 59,234 "," 117,033 "," 19,522 "," 86,115 "," 64,798 "," 111,978 "," 11,340 "," 6,110 "," 124,020 "," 64,995 "," 98,216 ",1213,Q33,,,
2354, Barlborough NHS Treatment Centre , -   , * , -   , -   , -   , 120 , -   , -   , -   , -   , -   , * ," 2,221 ", -   , -   , -   , -   , * , 80 , 11 ,1213,NTP13,,,
2355, BMI - The Park Hospital , * , 37 , -   , -   , -   , 42 , 36 , * , 52 , 30 , 149 , 41 , 741 , 134 , -   , -   , -   , 37 , 8 , 7 ,1213,NT427,,,
2356, BMI - Three Shires Hospital , 21 , 80 , * , * , -   , 77 , * , * , 45 , 17 , 339 , 43 , 705 , 399 , -   , -   , 8 , 155 , 15 , 22 ,1213,NT441,,,
2357, BMI - The Lincoln Hospital , -   , * , -   , -   , -   , * , 213 , * , * , 31 , 67 , * , 555 , 142 , -   , -   , * , 12 , 8 , * ,1213,NT450,,,
2358, Boston NHS Treatment Centre , 41 , 36 , * , * , 6 , 17 , 507 , -   , 68 , -   , 409 , 13 , 589 , 196 , -   , -   , * , 137 , * , 14 ,1213,NVC27,,,
2359, Chesterfield Royal Hospital NHS Foundation Trust ," 1,950 "," 6,386 "," 1,966 "," 1,224 ", 487 ," 1,144 "," 2,435 ", 364 ," 4,157 "," 5,016 "," 7,640 "," 1,634 "," 5,859 "," 3,937 "," 7,020 ", 619 , 209 ," 9,052 "," 4,541 "," 5,354 ",1213,RFS,,,
2360, Circle-Nottingham NHS Treatment Centre , 70 ," 4,450 ", 976 , 724 , 8 , 819 , 6 , 20 , 665 , 9 ," 5,772 "," 1,903 "," 5,064 "," 1,479 ", 883 , -   , 113 ," 3,414 ", 231 ," 1,357 ",1213,NV313,,,
2361, Derby Hospitals NHS Foundation Trust ," 2,879 "," 19,950 "," 2,344 "," 3,258 ", 657 ," 2,666 "," 8,128 ", 867 ," 6,468 "," 6,657 "," 13,158 "," 2,190 "," 12,964 "," 6,621 "," 15,801 "," 1,856 ", 593 ," 13,034 "," 9,127 "," 11,062 ",1213,RTG,,,
2362, Derbyshire Community Health Services NHS Trust , 191 ," 1,252 ", 97 , 57 , 203 , 528 ," 3,135 ", 51 , 496 , 410 ," 3,154 ", 923 ," 2,752 "," 1,271 ", 184 , -   , 22 ," 1,604 ", 993 ," 2,372 ",1213,RY8,,,
2363, Derbyshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,263 ", 99 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , 28 ,1213,RXM,,,
2364, Kettering General Hospital NHS Foundation Trust ," 1,486 "," 7,600 "," 1,339 "," 1,366 ", 378 , 854 ," 3,086 ", 419 ," 5,269 "," 4,941 "," 10,358 ", 975 ," 4,097 "," 4,659 "," 7,656 ", 930 , 271 ," 9,394 "," 4,068 "," 6,083 ",1213,RNQ,,,
2365, Leicestershire Partnership NHS Trust , 31 , 237 , 23 , 44 ," 2,902 ", 217 , 10 , * , 568 , 306 , 140 , 114 , 330 , 321 , * , -   , * ," 1,130 ", 912 , 9 ,1213,RT5,,,
2366, Lincolnshire Community Health Services NHS Trust , 45 , 88 , 74 , 65 , 78 , 71 , * , * , 245 , 255 , 53 , 80 , 61 , 132 , -   , -   , -   , 386 , 142 , 17 ,1213,RY5,,,
2367, Lincolnshire Partnership NHS Foundation Trust , -   , * , -   , * , 873 , 136 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , 78 , -   , 109 ,1213,RP7,,,
2368, Northampton General Hospital NHS Trust ," 2,347 "," 13,390 "," 1,961 "," 1,338 ", 390 ," 1,535 "," 2,760 ", 665 ," 4,946 "," 5,267 "," 11,027 "," 1,449 "," 5,225 "," 5,604 "," 11,992 "," 1,335 ", 473 ," 8,989 "," 5,598 "," 9,946 ",1213,RNS,,,
2369, Northamptonshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,574 ", 46 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 783 , -   , * ,1213,RP1,,,
2370, Nottingham NHS Treatment Centre(Nations Healthcare) , 6 , 328 , 62 , 43 , -   , 60 , -   , * , 56 , * , 421 , 169 , 335 , 94 , 73 , -   , 9 , 304 , 17 , 110 ,1213,NTA04,,,
2371, Nottingham University Hospitals NHS Trust ," 4,629 "," 31,567 "," 3,733 "," 2,392 "," 1,105 "," 6,148 "," 5,528 "," 1,078 "," 11,696 "," 10,261 "," 13,262 "," 2,466 "," 10,496 "," 8,882 "," 20,257 "," 2,210 "," 1,726 "," 23,809 "," 13,379 "," 17,606 ",1213,RX1,,,
2372, Nottingham Woodthorpe Hospital , 9 , 51 , * , 6 , -   , 18 , 189 , 11 , 21 , 40 , 327 , 12 ," 2,182 ", 330 , * , -   , * , 108 , 46 , 26 ,1213,NVC40,,,
2373, Nottinghamshire Healthcare NHS Trust , 31 , 244 , * , 9 ," 2,388 ", 182 , -   , * , 54 , 50 , 31 , 19 , 97 , 32 , -   , -   , -   , 310 , 343 , 478 ,1213,RHA,,,
2374," Nuffield Health, Derby Hospital ", 8 , 10 , * , 10 , -   , * , 36 , 28 , * , 95 , 92 , * , 734 , -   , -   , -   , * , 11 , 31 , 6 ,1213,NT213,,,
2375," Nuffield Health, Leicester Hospital ", * , 22 , -   , -   , -   , 23 , 656 , 42 , -   , 118 , 261 , 6 , 324 , 136 , * , -   , * , 51 , * , * ,1213,NT226,,,
2376, Sherwood Forest Hospitals NHS Foundation Trust ," 2,510 "," 6,619 "," 1,208 ", 871 , 347 ," 1,789 "," 2,186 ", 567 ," 4,609 "," 5,215 "," 9,631 "," 2,165 "," 6,552 "," 7,335 "," 8,759 ", 612 , 191 ," 10,432 "," 4,327 "," 7,133 ",1213,RK5,,,
2377, Spire Leicester Hospital , -   , 51 , -   , -   , -   , 14 , 329 , -   , 26 , * , 189 , 77 , 360 , 106 , -   , -   , * , 24 , 9 , 167 ,1213,NT322,,,
2378, United Lincolnshire Hospitals NHS Trust ," 3,723 "," 22,902 "," 2,819 "," 1,875 ", 488 ," 2,534 "," 5,638 ", 660 ," 9,905 "," 9,020 "," 17,617 "," 2,164 "," 10,962 "," 9,382 "," 12,946 "," 1,630 ", 430 ," 17,128 "," 10,457 "," 10,480 ",1213,RWD,,,
2379, University Hospitals Of Leicester NHS Trust ," 4,051 "," 30,447 "," 3,612 "," 3,182 ", 692 ," 6,599 "," 5,288 "," 1,255 "," 15,606 "," 11,431 "," 21,955 "," 3,017 "," 11,761 "," 12,902 "," 26,400 "," 2,148 "," 2,044 "," 23,453 "," 10,622 "," 25,757 ",1213,RWE,,,
2380, Woodland Hospital , 37 , 122 , 15 , * , -   , 44 , 505 , 18 , 125 , 61 , 981 , 56 ," 1,149 ", 704 , * , -   , * , 181 , 33 , 54 ,1213,NVC23,,,
2381,,,,,,,,,,,,,,,,,,,,,,1213,,,,
2382, EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY ," 30,765 "," 196,390 "," 25,417 "," 20,015 "," 15,710 "," 31,253 "," 66,319 "," 8,699 "," 96,628 "," 85,731 "," 167,482 "," 27,797 "," 113,070 "," 87,752 "," 123,469 "," 20,302 "," 8,425 "," 160,933 "," 91,605 "," 115,885 ",1213,Q35,,,
2383, Aspen - Holly House Hospital , -   , 40 , -   , 12 , * , 16 , -   , 9 , * , 44 , 67 , 30 , 533 , 152 , -   , -   , * , 28 , 41 , 18 ,1213,NYW01,,,
2384, Basildon and Thurrock University Hospitals NHS Foundation Trust ," 1,413 "," 6,689 "," 1,661 "," 1,142 ", 236 ," 1,286 ", 79 , 388 ," 8,552 "," 4,924 "," 8,592 "," 1,029 "," 5,688 "," 4,496 "," 9,314 ", 722 , 192 ," 8,169 "," 3,451 "," 9,458 ",1213,RDD,,,
2385, Bedford Hospital NHS Trust , 907 ," 3,637 ", 764 , 513 , 160 , 756 ," 2,514 ", 285 ," 3,893 "," 2,873 "," 8,010 "," 1,412 "," 2,542 "," 3,042 "," 4,738 ", 920 , 542 ," 4,614 "," 2,848 "," 4,298 ",1213,RC1,,,
2386, BMI - The Manor Hospital , -   , 15 , * , -   , -   , -   , -   , -   , -   , -   , 64 , 9 , 58 , 41 , -   , -   , -   , * , * , * ,1213,NT423,,,
2387, BMI - The Sandringham Hospital , -   , 7 , -   , -   , -   , -   , 316 , -   , * , -   , 118 , * , 590 , 108 , -   , -   , * , 35 , 10 , * ,1213,NT432,,,
2388, BMI - Southend Private Hospital , * , 53 , -   , * , -   , * , 512 , * , 8 , 8 , 21 , 61 , 24 , 40 , -   , -   , -   , * , * , 17 ,1213,NT490,,,
2389, BMI - St Edmunds Hospital , * , 7 , * , -   , -   , 29 , 143 , -   , * , -   , 95 , -   , 552 , 93 , -   , -   , * , 13 , * , 26 ,1213,NT446,,,
2390, Braintree Community Hospital , * , 83 , 109 , 11 , 8 , 157 , 137 , 6 , 27 , 77 , 249 , 75 , 361 , 108 , -   , -   , * , 184 , 53 , 26 ,1213,NNQ01,,,
2391, Cambridge University Hospitals NHS Foundation Trust ," 2,164 "," 28,574 "," 2,802 "," 2,243 ", 647 ," 4,353 "," 4,781 "," 1,094 "," 6,344 "," 6,202 "," 14,254 "," 1,452 "," 8,637 "," 6,543 "," 8,887 ", 804 ," 1,747 "," 9,657 "," 9,580 "," 8,581 ",1213,RGT,,,
2392, Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , -   , -   ," 1,319 ", 60 , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   , 476 , 9 , 506 ,1213,RT1,,,
2393, Cambridgeshire Community Services NHS Trust , 688 , 285 , 61 , 83 , 28 , 85 , 26 , * , 83 , 875 , 390 , 70 , 103 , 116 , * , 564 , 31 ," 1,173 ", 333 , 98 ,1213,RYV,,,
2394, Clacton Hospital , * , -   , -   , * , * , * , -   , -   , * , 12 , * , * , * , 9 , -   , -   , -   , 34 , 16 , -   ,1213,NQ108,,,
2395, Clinicenta Surgicentre , 14 , 153 , * , 59 , * , 279 ," 7,478 ", 160 , 189 , 568 , 518 , 114 ," 2,769 ", 528 , 209 , -   , 19 , 199 , 214 , 188 ,1213,NW931,,,
2396, Colchester Hospital University NHS Foundation Trust ," 1,739 "," 6,554 ", 848 , 720 , 435 ," 1,199 "," 2,880 ", 514 ," 5,227 "," 4,906 "," 10,887 "," 1,632 "," 5,891 "," 6,049 "," 8,740 "," 1,459 ", 275 ," 9,556 "," 5,063 "," 5,959 ",1213,RDE,,,
2397, East and North Hertfordshire NHS Trust ," 1,964 "," 12,591 ", 793 , 932 , 363 ," 1,005 ", 247 , 465 ," 4,845 "," 4,872 "," 9,093 "," 1,111 "," 2,338 "," 5,025 "," 6,160 ", 624 , 237 ," 11,743 "," 6,434 "," 9,085 ",1213,RWH,,,
2398, Fitzwilliam Hospital , 56 , 61 , 19 , -   , * , 81 , 175 , 19 , 108 , 117 , 800 , 31 ," 2,753 ", 267 , * , -   , 22 , 149 , 54 , 14 ,1213,NVC06,,,
2399, Fryatt Hospital , -   , * , -   , * , -   , -   , -   , -   , * , * , * , * , * , * , -   , -   , -   , 12 , * , -   ,1213,NQ106,,,
