 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,"31,274","189,115","38,785","35,977","32,803","40,507","83,505","13,779","150,315","126,201","277,719","49,149","181,046","140,518","194,469","32,739","16,990","281,297","156,621","161,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5J2 WARRINGTON PCT,0,0,*,0,0,0,0,0,0,*,0,0,*,0,0,0,0,599,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NE CUMBRIA TEACHING PCT,48,304,83,87,89,150,7,*,393,461,249,151,257,239,0,0,*,613,312,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NG CENTRAL LANCASHIRE PCT,0,*,*,*,*,*,0,0,*,13,*,*,*,*,0,0,*,19,*,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NH EAST LANCASHIRE TEACHING PCT,0,*,0,0,0,0,0,0,*,*,0,0,*,0,0,0,0,*,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NL LIVERPOOL PCT,21,43,29,24,10,17,0,0,95,92,49,33,99,42,0,0,0,217,196,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NN WESTERN CHESHIRE PCT,8,6,0,7,*,11,0,0,133,51,18,10,37,36,0,0,0,350,117,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT324 SPIRE CHESHIRE HOSPITAL,*,58,7,*,*,38,47,31,104,151,345,43,558,246,0,0,0,88,*,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT325 SPIRE MURRAYFIELD HOSPITAL,0,*,0,31,0,*,0,0,*,0,*,0,17,*,0,0,0,*,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT327 SPIRE MANCHESTER HOSPITAL,*,*,0,48,0,6,0,*,10,16,20,*,66,38,0,0,0,14,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT337 SPIRE LIVERPOOL HOSPITAL,0,*,0,0,0,0,0,*,*,15,13,*,11,23,0,0,*,11,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT339 SPIRE REGENCY HOSPITAL,0,9,*,206,0,26,69,0,9,11,77,*,273,59,0,0,*,13,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT340 BMI SOUTH CHESHIRE PRIVATE HOSPITAL (SPIRE),0,*,*,0,0,*,0,*,9,*,22,*,28,14,0,0,0,9,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT347 SPIRE FYLDE COAST HOSPITAL,0,0,0,0,0,*,35,*,*,0,0,0,99,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT401 BMI - THE ALEXANDRA HOSPITAL,0,*,*,0,0,11,0,0,*,0,131,7,225,*,0,0,*,35,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT403 BMI - THE BEARDWOOD HOSPITAL,*,12,*,*,6,26,0,6,9,19,190,42,775,*,0,0,12,135,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT404 BMI - THE BEAUMONT HOSPITAL,*,17,0,0,0,15,0,*,7,9,62,53,207,50,0,0,0,21,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT420 BMI - THE HIGHFIELD HOSPITAL,*,10,0,*,*,64,297,22,*,42,68,36,555,204,0,0,*,99,*,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT714 GREATER MANCHESTER SURGICAL CENTRE,0,216,0,*,*,261,*,8,183,208,578,51,"2,300",*,0,0,*,"1,310",20,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT719 ROSSENDALE HOSPITAL,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT722 ST CATHERINE'S GENERAL HOSPITAL,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT723 HALTON DISTRICT HOSPITAL,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT725 MACCLESFIELD LEISURE CENTRE,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTD02 THE CHESHIRE & MERSEYSIDE NHS TREATMENT CENTRE,6,23,0,*,0,374,0,0,9,*,*,23,"4,089",0,0,0,0,8,145,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTF01 ABBEY GISBURNE PARK HOSPITAL,0,6,*,*,0,*,0,0,19,*,*,0,0,0,0,0,0,202,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTH04 REGENCY HOSPITAL,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC05 EUXTON HALL HOSPITAL,*,30,*,*,0,63,0,19,174,219,575,59,"1,875",433,0,0,*,622,*,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC07 FULWOOD HALL HOSPITAL,*,28,0,*,*,72,751,8,77,103,389,73,"1,636",479,0,0,*,243,*,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC12 OAKLANDS HOSPITAL,0,34,0,*,*,32,*,55,6,15,81,13,560,22,0,0,25,6,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC16 RENACRES HOSPITAL,*,63,6,*,*,83,155,20,79,101,392,94,692,184,0,0,*,140,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC33 GISBURNE PARK NHS TREATMENT CENTRE,0,80,0,*,0,0,0,*,95,337,176,30,"2,370",0,0,0,0,320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC34 FYLDE COAST NHS TREATMENT CENTRE,0,46,*,9,*,65,*,19,48,139,308,54,"1,043",9,0,0,0,161,17,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC39 KENDAL NHS TREATMENT CENTRE,0,*,0,0,0,*,0,0,0,0,323,84,626,0,0,0,0,206,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVG01 FAIRFIELD HOSPITAL,0,9,0,*,0,0,46,0,0,*,0,6,*,13,0,6,23,"1,818",34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBL WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,"1,274","8,870","1,662","1,783","1,220","1,606","3,046",590,"5,824","5,900","12,080","2,371","6,269","7,399","9,952","1,840",337,"12,476","7,439","7,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBN ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,"1,165","5,585",820,699,"1,024",922,"2,942",476,"3,728","5,349","10,671","2,880","3,860","6,135","6,888",965,338,"12,991","10,120","6,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBQ LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,18,"1,139",78,362,*,*,0,0,"8,116",596,133,8,14,0,0,*,152,"1,028",301,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,"1,963","3,351",642,893,*,"1,059",677,732,428,"6,118","4,332","1,077","2,762","1,684",*,879,"4,157","4,652","4,250","1,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,"1,014","4,435","1,535","1,241",565,991,"3,024",285,"3,756","3,877","8,641","1,178","4,477","3,930","7,078","1,139",259,"11,558","5,436","4,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV THE CHRISTIE NHS FOUNDATION TRUST,90,"15,435","2,040",920,*,65,17,*,155,356,605,215,153,227,0,0,11,179,321,"1,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,531,"7,226","1,748","1,468",738,"1,129","3,291",370,"5,311","4,711","14,292","2,440","5,217","3,436",26,0,136,"14,676","5,956","2,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,169,"3,664",401,56,*,*,0,*,24,26,43,8,*,22,0,0,0,86,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REP LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,10,"1,320",10,6,*,0,10,0,*,*,65,104,*,"5,000","20,969","3,129",321,716,123,"8,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET THE WALTON CENTRE NHS FOUNDATION TRUST,17,693,10,12,14,"2,170",73,*,563,*,*,11,"2,186",8,*,0,160,826,504,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN EAST CHESHIRE NHS TRUST,855,"2,206",512,381,324,759,"1,500",225,"2,429","2,469","6,040",552,"2,545","2,355","2,907",933,104,"4,469","3,241","2,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,671,"5,706","1,424",952,287,849,"2,503",537,"3,915","3,347","8,668","1,585","3,746","5,196","9,139","1,119",300,"12,415","6,449","7,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJX CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM2 UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,823,"8,360",777,958,400,"1,340",104,411,"9,193","5,136","9,784","1,982","6,285","6,006","5,286","1,270",933,"10,446","7,183","5,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM3 SALFORD ROYAL NHS FOUNDATION TRUST,667,"4,981","1,463","1,994",484,"4,305",89,337,"5,261","3,205","10,199","1,394","9,224","4,606","9,945","1,602",273,"10,137","5,291","6,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM4 TRAFFORD HEALTHCARE NHS TRUST,335,"2,496","1,101",996,148,548,20,263,"1,288","1,846","4,062",568,"3,447","2,096","1,920",486,90,"3,704","1,594","1,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,"1,791","3,733",885,695,305,"1,050","4,587",647,"4,388","5,749","10,582","1,360","2,998","4,141","10,014","1,066",385,"9,638","4,664","7,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMP TAMESIDE HOSPITAL NHS FOUNDATION TRUST,878,"3,098",857,723,539,948,40,399,"4,157","4,292","6,645","1,172","3,451","3,466","6,326",946,201,"7,018","3,662","3,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNL NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,"1,506","9,396","1,379",812,409,"1,614","2,707",615,"10,682","4,664","11,769","1,479","5,895","8,625","7,157",590,192,"8,617","5,369","5,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,949,68,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ6 ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,640,"5,889","1,775","1,357",691,"1,224","6,357",393,"5,550","4,545","15,582","2,897","9,992","4,172",19,0,276,"13,727","8,390","2,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RRF WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",826,"6,518","1,494","1,617",658,"1,331","4,233",475,"4,750","4,002","11,011","1,678","11,385","3,640","6,721",974,330,"9,326","6,558","5,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT2 PENNINE CARE NHS FOUNDATION TRUST,0,0,0,0,"2,957",145,0,0,*,0,0,0,0,0,0,0,0,220,*,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV 5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,"2,506",198,0,0,0,0,0,0,0,0,0,0,0,*,*,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
