,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE, RDE Colchester Hospital University NHS Foundation Trust , 859 ," 5,748 ", 725 , 659 , 351 ," 1,232 "," 2,735 ", 515 ," 5,054 "," 4,149 "," 11,103 "," 1,606 "," 5,393 "," 5,075 "," 8,664 ", 681 , 269 ," 9,196 "," 4,610 "," 6,282 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM, RGM Papworth Hospital NHS Foundation Trust , 107 , 713 , 273 , 918 , 65 ," 4,590 ", 7 , -   ," 10,120 "," 3,405 ", 21 , 9 , 93 , * , * , -   , 261 ," 1,032 ", 283 , 866 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGN, RGN Peterborough and Stamford Hospitals NHS Foundation Trust ," 1,001 "," 7,985 "," 1,291 ", 788 , 271 ," 1,300 "," 2,265 ", 434 ," 5,523 "," 4,218 "," 9,891 "," 1,747 "," 6,691 "," 5,136 "," 7,447 ", 986 , 376 ," 9,118 "," 5,739 "," 7,569 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGP, RGP James Paget University Hospitals NHS Foundation Trust , 674 ," 6,895 ", 921 , 895 , 312 , 875 ," 4,947 ", 387 ," 2,674 "," 3,350 "," 6,625 "," 1,694 "," 3,684 "," 3,754 "," 4,368 ", 559 , 218 ," 5,994 "," 3,361 "," 4,076 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGQ, RGQ Ipswich Hospital NHS Trust ," 1,009 "," 13,664 "," 1,541 "," 1,726 ", 298 ," 2,141 "," 2,269 ", 561 ," 5,510 "," 4,134 "," 10,273 "," 1,250 "," 6,648 "," 4,772 "," 7,816 "," 2,298 ", 281 ," 9,028 "," 4,543 "," 5,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR, RGR West Suffolk Hospitals NHS Trust ," 1,010 "," 7,057 ", 524 , 950 , 254 , 975 ," 2,865 ", 470 ," 3,009 "," 3,414 "," 4,766 "," 1,836 "," 4,651 "," 4,064 "," 4,909 ", 796 , 248 ," 5,738 "," 3,640 "," 2,897 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT, RGT Cambridge University Hospitals NHS Foundation Trust ," 1,578 "," 29,228 "," 2,826 "," 2,143 ", 544 ," 3,963 "," 5,213 "," 1,074 "," 6,380 "," 5,787 "," 15,514 "," 2,689 "," 8,935 "," 6,500 "," 9,398 "," 2,162 "," 2,029 "," 10,556 "," 9,759 "," 7,537 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM1, RM1 Norfolk and Norwich University Hospitals NHS Foundation Trust ," 1,795 "," 26,052 "," 2,798 "," 2,204 ", 606 ," 2,824 "," 10,596 ", 865 ," 10,370 "," 6,773 "," 17,095 "," 3,510 "," 10,369 "," 8,382 "," 13,065 "," 1,413 "," 1,113 "," 13,978 "," 9,287 "," 13,116 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY, RMY Norfolk and Waveney Mental Health NHS Foundation Trust , -   , -   , -   , -   ," 1,446 ", 107 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 543 , -   , 23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ8, RQ8 Mid Essex Hospital Services NHS Trust , 688 ," 13,831 "," 1,387 ", 670 , 372 ," 2,287 "," 3,012 ", 541 ," 5,082 "," 4,042 "," 8,058 "," 3,519 "," 7,084 "," 4,427 "," 8,835 "," 1,490 "," 1,089 "," 8,050 "," 10,983 "," 7,379 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ-X, RQQ-X Hinchingbrooke Health Care NHS Trust , 400 ," 5,599 ", 660 , 692 , 173 , 557 ," 2,691 ", 277 ," 1,954 "," 1,732 "," 4,536 ", 646 ," 3,270 "," 1,739 "," 3,516 ", 394 , 123 ," 3,398 "," 1,807 "," 3,372 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQW, RQW The Princess Alexandra Hospital NHS Trust , 554 ," 7,961 "," 1,127 "," 1,115 ", 292 ," 1,088 "," 2,009 ", 299 ," 3,948 "," 3,172 "," 8,181 "," 1,118 "," 5,836 "," 5,068 "," 5,451 "," 1,311 ", 417 ," 6,863 "," 3,425 "," 7,482 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD, RRD North Essex Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,699 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 397 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT1, RT1 Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , -   , * ," 1,178 ", 77 , -   , -   , * , * , -   , -   , -   , -   , * , -   , -   , 243 , 6 , 178 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT6, RT6 Suffolk Mental Health Partnership NHS Trust , -   , -   , -   , * ," 1,246 ", 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 12 , * , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWG, RWG West Hertfordshire Hospitals NHS Trust , 897 ," 6,059 "," 1,644 "," 1,192 ", 230 ," 1,152 "," 2,433 ", 397 ," 5,321 "," 4,091 "," 10,849 "," 1,409 "," 7,142 "," 5,469 "," 9,748 "," 1,479 ", 350 ," 10,309 "," 4,460 "," 8,271 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH, RWH East and North Hertfordshire NHS Trust ," 1,051 "," 11,732 ", 745 , 935 , 313 ," 1,365 "," 3,272 ", 652 ," 4,845 "," 5,484 "," 10,749 "," 2,299 "," 7,138 "," 6,084 "," 7,579 "," 1,095 ", 308 ," 12,555 "," 6,469 "," 12,071 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWN, RWN South Essex Partnership University NHS Foundation Trust , -   , -   , -   , * ," 3,272 ", 19 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , 61 , * , 55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWR, RWR Hertfordshire Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,399 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 531 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY3, RY3 Norfolk Community Health and Care NHS Trust , 17 , 227 , 15 , 28 , 47 , 44 , -   , * , 307 , 116 , 51 , 38 , 99 , 64 , * , -   , 11 , 103 , 282 , 328 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY4, RY4 Hertfordshire Community NHS Trust , 17 , 28 , 7 , 24 , * , 40 , -   , -   , 200 , 85 , 42 , 28 , 59 , 86 , -   , -   , * ," 3,174 ", 402 , 399 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYV, RYV Cambridgeshire Community Services NHS Trust , 470 , 249 , 36 , 77 , 28 , 83 , 20 , 23 , 56 , 765 , 478 , 66 , 87 , 98 , -   , 408 , 38 ," 1,025 ", 257 , 82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q36, Q36 LONDON STRATEGIC HEALTH AUTHORITY ," 30,719 "," 197,766 "," 46,531 "," 40,218 "," 35,636 "," 60,978 "," 80,341 "," 10,562 "," 151,621 "," 114,727 "," 269,507 "," 46,273 "," 152,027 "," 161,841 "," 250,879 "," 34,070 "," 26,054 "," 246,216 "," 136,424 "," 221,575 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A4, 5A4 Havering PCT , 8 , 37 , * , 13 , * , 18 , -   , -   , 156 , 57 , 34 , 15 , 42 , 46 , -   , -   , -   , 91 , 138 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A5, 5A5 Kingston PCT , * , -   , -   , -   , * , * , -   , -   , * , * , * , * , 15 , * , -   , -   , -   , 637 , 18 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5AT, 5AT Hillingdon PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 198 , * , 37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C1, 5C1 Enfield PCT , -   , -   , -   , -   , -   , * , -   , -   , * , * , -   , * , * , * , -   , -   , -   , 115 , 17 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C4, 5C4 Tower Hamlets PCT , * , * , * , * , * , * , -   , -   , 7 , * , * , 13 , 24 , 74 , 476 , * , * ," 1,141 ", 14 , 43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C5, 5C5 Newham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C9, 5C9 Haringey Teaching PCT , -   , -   , -   , -   , 127 , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 201 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5K7, 5K7 Camden PCT , * , 11 , * , -   , 7 , 9 , -   , -   , 60 , 15 , 6 , 7 , * , * , -   , -   , -   , 312 , 54 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5LG, 5LG Wandsworth PCT , 6 , 15 , 16 , 30 , 12 , 38 , -   , * , 113 , 44 , 15 , 7 , 38 , 20 , -   , -   , * , 59 , 146 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M6, 5M6 Richmond and Twickenham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 409 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M7, 5M7 Sutton and Merton PCT , * , * , * , -   , -   , -   , -   , -   , -   , -   , 72 , -   , -   , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT314, NT314 Spire Roding Hospital , * , 80 , -   , * , -   , * , -   , 37 , 35 , 200 , 172 , 96 , 617 , 280 , -   , -   , * , 35 , 8 , 63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT405, NT405 BMI - Bishops Wood , * , 21 , -   , -   , -   , 9 , 357 , -   , 45 , 11 , 114 , 19 , 141 , 59 , -   , -   , * , 35 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT406, NT406 BMI - The Blackheath Hospital , -   , 25 , -   , -   , -   , * , 96 , -   , * , 12 , 177 , * , 396 , 97 , -   , -   , * , 31 , * , 52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT409, NT409 BMI - Chelsfield Park Hospital , -   , 13 , -   , * , -   , * , 21 , -   , * , * , 65 , * , 101 , 72 , -   , -   , * , 23 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT411, NT411 BMI - The Clementine Churchill Hospital , * , 35 , -   , * , * , 53 , -   , 10 , * , 102 , 98 , * , 611 , 180 , * , -   , * , 54 , 16 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT416, NT416 BMI - The Garden Hospital , -   , 14 , * , * , -   , 19 , 60 , -   , * , -   , 62 , 10 , 232 , 25 , -   , -   , * , 7 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT421, NT421 BMI - The Kings Oak Hospital , -   , 20 , * , * , -   , 17 , 28 , * , * , * , 181 , 13 , 182 , 130 , -   , -   , * , 31 , * , 23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT422, NT422 BMI - The London Independent Hospital , * , 23 , * , 6 , -   , 6 , 19 , * , 82 , 27 , 211 , 27 , 160 , 208 , -   , -   , 6 , 36 , * , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT436, NT436 BMI - Shirley Oaks Hospital , * , 19 , 8 , * , -   , 64 , 333 , * , 58 , 7 , 274 , 12 , 413 , 135 , -   , -   , * , 124 , * , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT437, NT437 BMI - The Sloane Hospital , -   , 23 , -   , 6 , -   , 8 , 18 , 8 , * , 54 , 62 , 14 , 157 , 49 , -   , -   , * , 37 , * , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT451, NT451 BMI The Cavell Hospital , -   , 13 , -   , * , -   , 20 , 49 , -   , * , 8 , 48 , 11 , 130 , 83 , -   , -   , * , 18 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP15, NTP15 North East London NHS Treatment Centre , 7 , 220 , * , * , -   , 355 ," 2,335 ", -   , 342 , 14 ," 1,604 ", 244 ," 2,170 ", * , -   , -   , * , 67 , 42 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL, RAL Royal Free Hampstead NHS Trust ," 1,299 "," 6,629 "," 1,991 "," 1,482 ", 458 ," 2,665 "," 4,790 "," 1,398 "," 12,512 "," 6,098 "," 8,104 "," 3,301 "," 4,525 "," 11,113 "," 4,771 ", 409 ," 1,278 "," 8,664 "," 7,623 "," 7,339 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAN, RAN Royal National Orthopaedic Hospital NHS Trust , 11 ," 1,132 ", 9 , 16 , * , 918 , -   , -   , 11 , * , * , 71 ," 9,452 ", 219 , -   , 87 , 491 , 740 ," 1,557 ", 170 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP, RAP North Middlesex University Hospital NHS Trust , 876 ," 6,984 "," 2,092 "," 1,161 ", 235 , 537 ," 1,956 ", 32 ," 2,089 "," 1,736 "," 4,490 ", 829 ," 2,293 "," 2,983 "," 4,876 ", 957 , 90 ," 4,493 "," 1,959 "," 3,948 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS, RAS The Hillingdon Hospitals NHS Foundation Trust , 699 ," 3,550 "," 1,160 ", 835 , 640 ," 1,052 "," 1,795 ", 55 ," 2,317 "," 2,523 "," 6,701 ", 888 ," 6,236 "," 3,535 "," 5,784 "," 1,127 ", 216 ," 9,324 "," 3,562 "," 4,586 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT, RAT North East London NHS Foundation Trust , -   , * , -   , -   ," 1,990 ", 67 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAX, RAX Kingston Hospital NHS Trust , 787 ," 3,592 ", 671 , 765 , 330 , 811 ," 4,393 ", 282 ," 3,660 "," 3,705 "," 7,070 "," 1,409 "," 4,013 "," 3,934 "," 13,062 "," 1,603 ", 178 ," 4,334 "," 2,954 "," 9,985 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC3, RC3 Ealing Hospital NHS Trust , 895 ," 3,151 "," 1,037 ", 924 , 615 , 543 , 86 , 88 ," 2,926 "," 2,776 "," 5,730 "," 1,274 "," 2,009 "," 3,855 "," 5,164 ", 782 , 177 ," 5,948 "," 3,130 "," 3,838 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF4," RF4 Barking, Havering and Redbridge University Hospitals NHS Trust "," 1,188 "," 6,154 "," 1,453 "," 2,378 ", 963 ," 2,391 "," 2,665 ", 676 ," 7,093 "," 7,840 "," 15,901 "," 2,893 "," 7,537 "," 10,418 "," 12,871 "," 2,446 ", 455 ," 19,897 "," 8,143 "," 12,430 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFW, RFW West Middlesex University Hospital NHS Trust , 787 ," 1,373 ", 449 , 529 , 519 , 843 , 52 , 303 ," 1,600 "," 3,096 "," 5,803 "," 1,088 "," 2,685 "," 2,625 "," 6,326 "," 1,339 ", 188 ," 5,816 "," 3,513 "," 4,165 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGC, RGC Whipps Cross University Hospital NHS Trust ," 1,157 "," 6,575 "," 1,698 "," 1,021 "," 1,097 "," 1,020 "," 3,982 ", 681 ," 4,241 "," 5,074 "," 10,640 "," 1,561 "," 6,224 "," 6,521 "," 9,130 "," 1,183 ", 314 ," 11,585 "," 6,146 "," 8,062 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ1-X, RJ1-X Guy's and St Thomas' NHS Foundation Trust ," 1,162 "," 9,105 "," 1,806 "," 1,520 "," 1,544 "," 4,344 "," 3,707 ", 790 ," 9,745 "," 6,367 "," 16,806 "," 2,183 "," 8,365 "," 11,536 "," 10,428 ", 430 ," 2,812 "," 13,949 "," 8,614 "," 13,807 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ2, RJ2 Lewisham Healthcare NHS Trust , 803 ," 3,881 "," 1,452 ", 877 , 359 , 800 , 77 , 633 ," 2,637 "," 4,174 "," 5,620 "," 1,542 "," 3,488 "," 3,843 "," 9,737 "," 1,019 ", 762 ," 4,670 "," 3,438 "," 5,411 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ6, RJ6 Croydon Health Services NHS Trust , 897 ," 3,125 "," 1,228 ", 842 , 506 , 997 ," 2,412 ", 265 ," 3,860 "," 3,451 "," 10,429 "," 1,111 "," 2,862 "," 5,483 "," 8,739 "," 1,083 ", 263 ," 9,517 "," 4,102 "," 7,504 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ7, RJ7 St George's Healthcare NHS Trust ," 1,126 "," 7,606 "," 1,257 "," 1,598 ", 762 ," 3,653 ", 229 , 650 ," 10,780 "," 5,221 "," 9,433 "," 1,862 "," 4,979 "," 6,352 "," 10,727 ", 693 ," 1,288 "," 11,766 "," 9,397 "," 10,273 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJZ, RJZ King's College Hospital NHS Foundation Trust ," 1,466 "," 8,889 "," 2,592 "," 3,995 ", 576 ," 2,630 "," 3,499 ", 93 ," 9,120 "," 3,435 "," 18,604 "," 2,133 "," 5,097 "," 5,037 "," 13,645 ", 560 , 933 ," 8,410 "," 6,117 "," 12,596 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKE, RKE The Whittington Hospital NHS Trust , 722 ," 4,366 "," 2,790 ", 797 , 527 , 717 , 32 , 109 ," 1,944 "," 2,502 "," 5,802 "," 1,273 "," 4,262 "," 4,053 "," 7,920 ", 982 , 118 ," 5,238 "," 3,092 "," 5,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKL, RKL West London Mental Health NHS Trust , -   , -   , -   , -   , 984 , 8 , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , 202 , * , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNH, RNH Newham University Hospital NHS Trust , 873 ," 1,494 ", 744 , 476 , 452 , 605 , 66 , 139 ," 1,837 "," 2,707 "," 5,214 "," 1,018 "," 2,102 "," 3,269 "," 14,362 "," 1,421 ", 229 ," 6,113 "," 3,115 "," 10,358 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNJ, RNJ Barts and The London NHS Trust ," 1,626 "," 9,106 "," 2,608 "," 1,749 ", 796 ," 3,117 ", 918 , 581 ," 11,537 "," 5,351 "," 12,177 "," 1,721 "," 6,226 "," 5,858 "," 7,434 "," 1,154 "," 1,182 "," 10,165 "," 7,898 "," 7,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP4, RP4 Great Ormond Street Hospital For Children NHS Trust , 319 ," 5,064 ", 613 ," 1,992 ", 166 ," 1,971 ", 363 , 385 , 675 ," 1,193 "," 2,842 ", 365 ," 2,122 "," 4,027 ", -   , 265 ," 7,033 ", 732 , 573 , 205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP6-X, RP6-X Moorfields Eye Hospital NHS Foundation Trust , 73 , 513 , * , 409 , -   , 25 ," 25,661 ", -   , 6 , -   , -   , 60 , 23 , -   , -   , * , 521 , 25 , 502 , 366 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPG, RPG Oxleas NHS Foundation Trust , * , -   , -   , * ," 2,079 ", 82 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 148 , -   , 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
