"Table E: Finished admission episodes by primary diagnosis chapter for England, Area Team and individual provider (2013-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Area Team/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,Factors influencing health status and contact with health services (Z00-Z99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT, Cambridge University Hospitals NHS Foundation Trust ," 2,269 "," 28,759 "," 3,239 "," 2,167 ", 854 ," 4,843 "," 4,792 "," 1,094 "," 6,729 "," 6,339 "," 14,565 "," 1,603 "," 9,345 "," 7,294 "," 8,633 ", 437 ," 1,898 "," 10,518 "," 10,186 ", -   ," 9,641 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT1, Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , -   , * , 686 , 16 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * ," 1,404 ", * , -   , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYV, Cambridgeshire Community Services NHS Trust , 574 , 245 , 43 , 58 , 33 , 77 , 22 , 28 , 43 , 895 , 231 , 78 , 75 , 83 , -   , 599 , 25 ," 1,029 ", 318 , -   , 108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF, Camden and Islington NHS Foundation Trust , -   , -   , -   , * , 893 , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 875 , -   , -   , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJDTC, Cannock Chase Treatment Centre , -   , 6 , -   , -   , -   , 114 , 285 , -   , -   , -   , -   , 19 , 949 , -   , -   , -   , * , * , 83 , -   , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV3, Central and North West London NHS Foundation Trust , 7 , * , * , 12 ," 2,053 ", 20 , -   , -   , 84 , 14 , 14 , * , 19 , 11 , -   , -   , * , 882 , 118 , -   , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3-X, Central Manchester University Hospitals NHS Foundation Trust ," 3,368 "," 13,939 "," 4,838 "," 6,348 "," 1,073 "," 2,866 "," 12,195 "," 1,304 "," 9,454 "," 9,089 "," 22,885 "," 2,415 "," 10,883 "," 11,913 "," 15,877 "," 3,600 "," 3,902 "," 14,061 "," 11,544 ", -   ," 18,910 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQM, Chelsea and Westminster Hospital NHS Foundation Trust ," 2,607 "," 3,484 "," 1,000 "," 1,049 ", 286 , 860 ," 1,459 ", 181 ," 1,845 "," 2,516 "," 11,536 "," 1,670 "," 4,867 "," 3,906 "," 10,923 "," 2,167 "," 1,097 "," 5,719 "," 7,180 ", -   ," 7,731 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXA, Cheshire and Wirral Partnership NHS Foundation Trust , -   , -   , -   , -   ," 2,485 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , 72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFS, Chesterfield Royal Hospital NHS Foundation Trust ," 1,689 "," 6,760 "," 2,015 "," 1,481 ", 546 ," 1,251 "," 2,572 ", 369 ," 4,347 "," 4,888 "," 8,031 "," 1,767 "," 6,153 "," 4,190 "," 7,036 ", 676 , 219 ," 9,687 "," 5,038 ", -   ," 5,059 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV313, Circle - Nottingham NHS Treatment Centre , 331 ," 4,989 ", 997 , 710 , * , 836 , * , 19 , 907 , 9 ," 5,302 "," 2,839 "," 4,100 "," 1,604 ", 822 , -   , 107 ," 3,020 ", 228 , -   ," 1,282 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV302, Circle Bath , * , 56 , -   , * , * , 80 , 550 , 11 , 124 , 37 , 169 , 25 ," 1,161 ", 267 , -   , -   , 7 ," 1,449 ", 33 , -   , 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV323, Circle Reading , 9 , 34 , -   , * , -   , 46 , * , -   , 63 , 61 , 211 , 38 , 666 , 17 , -   , -   , -   , 607 , 16 , -   , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC04, Cirencester NHS Treatment Centre , * , 52 , -   , -   , -   , 81 , * , 200 , 107 , 160 , 562 , 67 , 340 , 54 , -   , -   , * , 84 , 17 , -   , 59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPH4, Cirencester NHS Treatment Centre , -   , 8 , -   , -   , -   , 16 , -   , 49 , 21 , 22 , 161 , 23 , 65 , 21 , -   , -   , * , 8 , * , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLN, City Hospitals Sunderland NHS Foundation Trust ," 2,469 "," 13,625 "," 1,990 "," 3,038 ", 879 ," 2,712 "," 20,473 "," 1,157 "," 5,829 "," 7,239 "," 12,751 "," 1,802 "," 6,471 "," 8,769 "," 6,051 ", 861 , 386 ," 11,181 "," 6,244 ", -   ," 7,594 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ108, Clacton Hospital , 17 , 16 , * , 13 , 20 , 27 , * , -   , 143 , 97 , 29 , 51 , 58 , 85 , -   , -   , -   , 121 , 280 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC28, Clifton Park Hospital , * , 10 , -   , -   , -   , 163 , -   , -   , -   , -   , -   , 16 ," 2,479 ", -   , -   , -   , * , * , 118 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW931, Clinicenta Surgicentre , * , 53 , -   , 159 , * , 127 ," 3,048 ", 64 , 87 , 199 , 228 , 41 ," 1,341 ", 173 , 104 , -   , 7 , 96 , 118 , -   , 98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC29, Cobalt Hospital , 160 , 519 , 21 , * , * , 116 , * , * , 361 , * ," 2,105 ", 798 , 333 , * , -   , -   , * , 241 , * , -   , 45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVM01, Cobham Day Surgery Hospital , -   , 259 , -   , -   , -   , * , 37 , -   , 23 , -   , 677 , 12 , 80 , 384 , -   , -   , * , 12 , -   , -   , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE, Colchester Hospital University NHS Foundation Trust ," 2,069 "," 17,281 "," 1,587 "," 1,258 ", 533 ," 1,454 "," 3,067 ", 577 ," 5,408 "," 5,758 "," 12,585 "," 2,108 "," 5,563 "," 6,553 "," 7,375 "," 1,707 ", 245 ," 8,732 "," 5,695 ", -   ," 9,237 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ8, Cornwall Partnership NHS Foundation Trust , -   , * , -   , -   , 602 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 7 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR, Countess Of Chester Hospital NHS Foundation Trust ," 1,614 "," 5,931 "," 1,671 "," 1,296 ", 283 , 869 ," 3,166 ", 592 ," 4,098 "," 3,766 "," 9,526 "," 1,474 "," 4,483 "," 4,174 "," 9,660 "," 1,254 ", 192 ," 10,936 "," 4,871 ", -   ," 6,794 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXP, County Durham and Darlington NHS Foundation Trust ," 4,000 "," 14,752 "," 2,205 "," 1,902 ", 751 ," 1,989 "," 7,113 ", 880 ," 8,691 "," 9,146 "," 16,925 "," 4,409 "," 9,927 "," 6,330 "," 11,155 "," 1,928 ", 473 ," 16,385 "," 10,850 ", -   ," 8,493 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYG, Coventry and Warwickshire Partnership NHS Trust , -   , -   , -   , -   ," 1,210 ", * , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 109 , -   , -   , 96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ6, Croydon Health Services NHS Trust ," 1,787 "," 3,478 "," 1,363 "," 1,139 ", 775 ," 1,006 "," 3,503 ", 295 ," 4,052 "," 4,110 "," 10,173 "," 1,219 "," 3,472 "," 5,889 "," 8,002 "," 1,204 ", 303 ," 10,855 "," 4,448 ", -   ," 6,391 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN, Cumbria Partnership NHS Foundation Trust , 53 , 516 , 150 , 92 , 901 , 171 , * , * , 445 , 459 , 256 , 148 , 252 , 425 , -   , -   , * , 459 , 717 , -   , 151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN7-X, Dartford and Gravesham NHS Trust ," 2,213 "," 8,705 "," 1,082 ", 916 , 367 , 929 , 83 , 82 ," 3,559 "," 3,601 "," 9,391 "," 1,205 "," 5,581 "," 5,322 "," 7,067 "," 1,139 ", 155 ," 10,431 "," 4,364 ", -   ," 6,142 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTG, Derby Hospitals NHS Foundation Trust ," 2,897 "," 19,806 "," 2,254 "," 2,957 ", 894 ," 2,743 "," 4,028 ", 900 ," 6,912 "," 6,703 "," 15,094 "," 2,253 "," 14,330 "," 6,566 "," 15,934 "," 1,934 ", 629 ," 14,361 "," 9,965 ", -   ," 10,881 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY8, Derbyshire Community Health Services NHS Trust , 146 ," 1,044 ", 70 , 67 , 200 , 533 ," 3,371 ", 51 , 485 , 403 ," 3,041 ", 891 ," 2,643 "," 1,172 ", 104 , -   , 10 ," 1,548 ", 995 , -   ," 2,439 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXM, Derbyshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,321 ", 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPH3, Devizes NHS Treatent Centre , * , 18 , * , -   , -   , 18 , 213 , 64 , 19 , 65 , 512 , 10 , 71 , 21 , -   , -   , -   , 76 , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC03, Devizes NHS Treatment Centre , 26 , 105 , 47 , * , -   , 60 , 773 , 277 , 170 , 226 ," 2,142 ", 44 , 318 , 139 , -   , -   , * , 339 , 44 , -   , 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWV, Devon Partnership NHS Trust , -   , -   , -   , * ," 1,637 ", 22 , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   , 108 , 7 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP5, Doncaster and Bassetlaw Hospitals NHS Foundation Trust ," 2,939 "," 8,431 "," 2,145 "," 1,614 ", 608 ," 1,671 "," 7,908 ", 817 ," 6,377 "," 8,211 "," 15,389 "," 2,015 "," 12,850 "," 6,517 "," 8,378 "," 2,394 ", 287 ," 16,028 "," 8,208 ", -   ," 6,624 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNE02, Dorking General Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 6 , 11 , -   , -   , -   , * , -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD, Dorset County Hospital NHS Foundation Trust ," 1,097 "," 2,788 ", 699 , 520 , 152 , 804 ," 3,255 ", 271 ," 3,562 "," 2,747 "," 6,169 ", 773 ," 3,247 "," 4,045 "," 3,653 ", 575 , 227 ," 6,571 "," 3,405 ", -   ," 3,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDY, Dorset Healthcare University NHS Foundation Trust , 43 , 356 , 53 , 46 ," 1,327 ", 241 , * , * , 441 , 291 ," 1,807 ", 245 , 556 , 413 , -   , -   , * ," 1,151 "," 1,032 ", -   , 333 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC04, Duchy Hospital , 45 , 195 , 17 , -   , -   , 188 , * , * , 607 , 131 , 545 , 43 ," 2,346 ", 149 , -   , -   , 42 , 284 , 224 , -   , 76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYK, Dudley and Walsall Mental Health Partnership NHS Trust , -   , -   , -   , * , 981 , 15 , * , -   , * , * , * , * , -   , * , -   , -   , -   , * , -   , -   , 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
