"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2015-16)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2015-16.",,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)"
NVM02, Epsom Day Surgery Limited , -   ,171, -   , -   , -   , * , * , -   , * , -   ,324, * ,23,59, -   , -   , -   , * , * , -   ,15
NVC05, Euxton Hall Hospital ,18,104,23, * , -   ,185, * ,17,330,44,"1,228",159,"2,139",651, * , -   ,11,313,16, -   ,177
NVG01, Fairfield Hospital ,34,125,22, * , * ,93,345,33,361,108,635,171,"1,205",332, -   , -   , * ,151,25, -   ,144
NLL16, Falmouth Hospital ,11,23, -   , * ,10,15, -   , * ,34,43,12, * ,31,27, -   , -   , * ,24,77, -   , -   
NDA25, Farnham Hospital & Centre For Health , -   , * , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,439, * , -   , -   
NVC06, Fitzwilliam Hospital ,55,107,21, * , * ,88,908,52,109,252,"1,506",28,"3,927",454, * , -   ,17,246,54, -   ,59
NDJ01, Forum House , -   , -   , -   , * , -   , -   , -   , -   , * , * , * , -   , * ,6, -   , -   , -   ,71,11, -   , -   
AHH01, Foscote Court , -   , -   , * , -   , -   ,10, -   , -   ,21, -   ,305, * ,93,32, -   , -   , -   ,175, * , -   , * 
NLL14, Fowey Hospital , -   ,18, -   , * , * , * , -   , -   ,23,22,7,11,12,22, -   , -   , -   ,17,26, -   , -   
RDU, Frimley Health NHS Foundation Trust ,"4,987","10,846","2,311","2,015","1,117","2,669","4,404","1,051","12,709","12,339","25,254","5,254","17,651","13,361","14,121","2,938",655,"25,567","14,703", -   ,"13,925"
NQ106, Fryatt Hospital , * ,20, -   ,6, * ,7, -   , -   ,14,24,8,19,31,24, -   , -   , -   ,71,123, -   , -   
NVC07, Fulwood Hall Hospital ,7,79,8, -   , * ,174,"1,550",19,710,61,836,97,"2,648",662, * , -   , * ,195,50, -   ,94
RR7-X, Gateshead Health NHS Foundation Trust ,"2,101","10,699","1,474","1,276",551,833,42,95,"3,616","4,690","10,137","1,446","6,560","4,137","2,626",764,43,"7,619","3,965", -   ,"6,061"
RLT, George Eliot Hospital NHS Trust ,830,"2,479",411,409,256,646,"1,405",24,"2,303","1,952","6,796",799,"3,270","3,848","3,139",424,55,"4,865","2,486", -   ,"3,081"
R1J, Gloucestershire Care Services NHS Trust ,36,139,35,82,88,67, * ,14,311,207,68,101,199,202,"1,186", -   , * ,"1,564",364, * ,138
RTE, Gloucestershire Hospitals NHS Foundation Trust ,"3,253","32,325","2,190","1,665",706,"3,164","6,025",815,"8,782","9,674","20,519","2,123","10,516","8,251","12,674","1,649",416,"15,430","9,885", -   ,"11,088"
RP4, Great Ormond Street Hospital For Children NHS Foundation Trust ,180,"6,843","1,033","2,862",61,"3,492",443,397,"1,052","1,745","3,342",535,"4,966","4,201", -   ,245,"9,411",692,553, -   ,133
RN3, Great Western Hospitals NHS Foundation Trust ,"2,515","11,835","1,265","1,375",612,"1,795","2,119",431,"5,724","6,412","12,512","1,615","6,231","5,225","5,917","1,719",267,"10,328","6,626", -   ,"5,463"
RJ1-X, Guy's and St Thomas' NHS Foundation Trust ,"1,781","11,715","3,386","2,237","1,611","7,606","4,384",868,"10,450","8,476","26,204","3,358","11,899","10,638","9,731","1,392","3,760","9,704","9,766", -   ,"12,689"
RN5-X, Hampshire Hospitals NHS Foundation Trust ,"2,414","10,091","1,962","1,518",425,"1,776","5,555",492,"5,320","6,018","16,056","2,042","8,821","7,131","7,861","2,811",471,"9,299","5,657", -   ,"6,694"
RCD, Harrogate and District NHS Foundation Trust ,"1,397","9,991",960,"1,174",286,811,"1,957",265,"3,182","3,010","8,475",686,"3,971","2,588","2,648",904,229,"5,870","3,016", -   ,"2,440"
NDA03, Haslemere and District Hospital OPD , * , -   , * , * , -   , * , -   , -   , * ,8, * , * ,7,14, -   , -   , -   ,78,37, -   , -   
RR1-X, Heart of England NHS Foundation Trust ,"5,517","29,878","4,482","4,483","1,725","3,511","12,398",940,"13,609","15,576","21,033","4,525","14,400","11,739","32,600","3,902",532,"37,147","12,244", -   ,"15,685"
NLL18, Helston Community Hospital , * ,33, * , * ,40,13, * , -   ,18,46,11,14,33,20, -   , -   , -   ,27,82, -   , -   
RY4, Hertfordshire Community NHS Trust ,6, * , * , * , * ,6, -   , -   ,12,28,9, * ,25,11, -   , -   , * ,"3,333",30, -   ,585
RWR, Hertfordshire Partnership University NHS Foundation Trust , -   , -   , -   , -   ,"1,168",92, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,315, -   , * , * 
RQQ-X, Hinchingbrooke Health Care NHS Trust ,924,"5,720",939,694,156,522,"2,565",266,"1,960","2,423","5,349","1,033","3,555","3,005","3,120",210,69,"5,293","2,620", -   ,"4,014"
RQX, Homerton University Hospital NHS Foundation Trust ,"1,726","1,873","3,050",893,389,605,68,248,"1,925","3,208","10,363","1,253","2,677","3,070","14,145","1,868",222,"5,428","2,627", -   ,"7,634"
NVC25, Horton NHS Treatment Centre , -   ,15, -   , -   , -   ,316, * , -   , * , -   , -   ,22,"2,232", -   , -   , -   , * ,12,120, -   ,12
RY9, Hounslow and Richmond Community Healthcare NHS Trust , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,371, -   , -   , -   
RWA, Hull and East Yorkshire Hospitals NHS Trust ,"2,915","23,797","2,772","2,312",676,"3,568","6,328",912,"11,037","9,436","20,945","3,262","11,920","7,949","8,049","3,649",920,"12,582","10,940", -   ,"6,720"
RV9-X, Humber NHS Foundation Trust ,9,140, * ,13,978,45, * , -   ,118,48,19,27,41,32, * , -   , * ,317,140, -   ,21
RYJ, Imperial College Healthcare NHS Trust ,"3,326","33,653","6,243","4,898",436,"10,237","5,002",619,"13,988","8,268","15,685","2,623","8,956","12,208","24,472","3,312","1,064","16,786","8,131", -   ,"21,184"
RGQ, Ipswich Hospital NHS Trust ,"2,332","16,961","1,919","2,217",537,"2,385","3,129",495,"5,850","5,567","10,971","1,419","7,629","4,775","8,162","2,169",283,"10,214","4,868", -   ,"5,155"
R1F-X, Isle of Wight NHS Trust ,816,"1,444",240,297,588,565,"1,738",211,"1,564","2,055","3,448",510,"2,400","1,736","1,628",459,70,"2,445","1,830", -   ,"1,287"
RGP, James Paget University Hospitals NHS Foundation Trust ,"1,605","6,379","1,865",938,247,887,"7,124",424,"2,901","4,255","7,200","2,156","5,570","3,457","3,408",774, * ,"5,446","2,787", * ,"2,665"
RXY, Kent and Medway NHS and Social Care Partnership Trust , -   , -   , -   , -   ,"1,082",12, -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   ,"1,817", * , -   ,15
RYY, Kent Community Health NHS Foundation Trust ,22,77,63,23,25,53, * , * ,183,113,62,46,159,85, -   , -   , -   ,736,607, -   , * 
RNQ, Kettering General Hospital NHS Foundation Trust ,"1,878","9,143","2,001","1,673",435,951,"4,536",321,"6,299","5,979","11,933","1,986","4,410","5,132","8,811","1,488",317,"9,289","4,070", -   ,"6,563"
ADP02, Kims Hospital Ltd , * , * , -   , -   , -   ,8,13, -   ,12, * ,81,16,200,45, -   , -   , -   ,46,8, -   ,11
RJZ, King's College Hospital NHS Foundation Trust ,"3,746","24,267","6,545","5,579","1,237","6,553","8,966",555,"14,079","9,114","32,759","4,758","14,736","11,598","17,872","4,423","1,373","17,811","10,616", -   ,"12,649"
RAX, Kingston Hospital NHS Foundation Trust ,"1,734","3,019",877,681,310,860,"2,732",313,"3,098","4,437","8,776","1,424","5,011","4,047","15,241","2,947",168,"5,700","3,112", -   ,"7,838"
RW5, Lancashire Care NHS Foundation Trust , * ,19, * , * ,"2,354",88, * , -   ,23,20,11,7,250,10, -   , -   , -   ,124,17, -   ,7
RXN, Lancashire Teaching Hospitals NHS Foundation Trust ,"3,236","11,185","2,469","2,083",547,"3,755","3,740",652,"7,500","9,009","14,293","3,399","10,332","7,942","15,868","1,405",609,"13,181","10,736", -   ,"11,410"
NLL04, Launceston General Hospital ,6,30, * ,13,17,18, -   , * ,45,36,11, * ,15,23, -   , -   , -   ,39,70, -   , -   
RGD, Leeds and York Partnership NHS Foundation Trust , * , -   , -   , * ,"1,539",78, -   , * , * , * , -   , -   , * , -   , -   , -   , * ,295, * , -   ,394
RY6, Leeds Community Healthcare NHS Trust , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,727, -   , -   , -   
RR8, Leeds Teaching Hospitals NHS Trust ,"3,806","17,975","2,540","4,261","1,580","3,348","10,002","1,029","15,851","12,843","22,185","4,757","18,256","12,151","13,009","3,141","3,281","18,674","16,813", -   ,"13,478"
RT5, Leicestershire Partnership NHS Trust ,53,235,19,70,"1,534",251,6,9,767,566,181,156,505,309, -   , -   , -   ,463,"1,096", -   ,534
RJ2, Lewisham and Greenwich NHS Trust ,"4,528","14,111","3,372","1,964",848,"1,984",169,672,"5,119","10,252","14,624","3,494","7,438","6,379","18,762","5,575",577,"14,294","6,879", -   ,"11,461"
RY5, Lincolnshire Community Health Services NHS Trust ,30,297,316,145,21,48, * , * ,175,188,58,64,57,141, * , -   , -   ,199,181, -   ,115
RP7, Lincolnshire Partnership NHS Foundation Trust , * , -   , -   , -   ,874,93, -   , -   , * , * , * , * , -   , * , -   , -   , -   ,35,7, -   ,8
NLL07, Liskeard Community Hospital ,14,47, * ,21,28,16, * , * ,73,75,29,16,56,48, -   , -   , -   ,71,159, -   , -   
RY1, Liverpool Community Health NHS Trust , * , * , * , * ,7, * , -   , -   ,13,25, * ,8,10,22, -   , -   , * ,549,48, -   , -   
RBQ, Liverpool Heart and Chest Hospital NHS Foundation Trust ,14,"1,217",92,315, * , * , -   , -   ,"9,497",656,67,7,18, * , * , -   ,111,869,240, -   ,494
REP, Liverpool Women's NHS Foundation Trust ,19,"1,480",56,21, -   , * ,10, * ,9,10,61,48,20,"5,810","23,558","2,281",268,760,143, -   ,"9,058"
NR501, Livewell Southwest , * ,7, -   , * , -   , * , -   , -   ,76,19,7, * ,15,16, -   , -   , -   ,582,64, -   , -   
R1K, London North West Healthcare NHS Trust ,"4,564","16,840","3,978","2,963",764,"1,724","4,041",755,"10,270","9,762","25,545","4,273","7,394","10,058","12,907","2,645", * ,"20,350","9,150", * ,"10,982"
RC9, Luton and Dunstable University Hospital NHS Foundation Trust ,"2,842","9,375","2,121","2,051",578,"1,541","3,412",518,"5,173","7,002","13,005","1,743","4,839","4,711","15,145","2,842",689,"12,736","5,075", -   ,"7,792"
RWF, Maidstone and Tunbridge Wells NHS Trust ,"1,933","5,711","1,453","1,538",471,"1,441","6,306",586,"5,669","6,190","16,024","1,610","8,372","6,186","7,845","2,203",362,"13,149","8,222", -   ,"7,196"
TAE, Manchester Mental Health and Social Care Trust , -   , -   , -   , * ,"1,279",19, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8, * , -   ,89
RPA, Medway NHS Foundation Trust ,"2,161","5,375","1,385",909,652,"1,445",114,679,"4,920","6,453","9,060","1,539","6,116","5,578","6,942","1,903",286,"8,966","5,750", -   ,"5,957"
RW4, Mersey Care NHS Foundation Trust , -   , -   , -   , -   ,"2,612",62, -   , -   , -   , * , -   , -   , * , -   , -   , -   , -   ,68, -   , -   ,341
RBT, Mid Cheshire Hospitals NHS Foundation Trust ,"2,144","4,919","1,742","1,001",867,"1,441","6,607",423,"3,927","5,170","10,945","1,338","4,781","4,452","8,027","1,164",161,"10,226","5,406", -   ,"5,666"
RQ8, Mid Essex Hospital Services NHS Trust ,"1,817","16,349","1,417",828,382,"2,401","2,503",580,"4,559","5,590","8,888","3,528","6,010","5,216","6,016","1,808",641,"7,882","9,569", -   ,"5,589"
RXF-X, Mid Yorkshire Hospitals NHS Trust ,"4,122","21,973","3,718","2,304",751,"3,158","6,165",748,"8,117","10,527","17,332","3,929","12,028","8,665","14,386","1,470",474,"18,550","13,862", -   ,"12,126"
NDA26, Milford Specialist Rehabilitation Hospital , * , * , -   , * , -   , * , -   , -   ,17,11,6, * ,8,6, -   , -   , -   ,220,36, -   , * 
RD8, Milton Keynes University Hospital NHS Foundation Trust ,"2,073","9,145","1,440",899,291,733,"1,422",381,"3,693","5,580","8,878",967,"3,163","3,833","5,992","1,402",178,"7,358","3,836", -   ,"5,338"
RP6, Moorfields Eye Hospital NHS Foundation Trust ,6,852, * ,28, -   ,32,"33,484", * ,8, * , -   ,50,12, -   , -   , -   ,520,6,557, -   ,331
NR527, Mount Gould Hospital , -   ,8, -   , -   , -   ,13, -   , -   ,15, * , -   , -   , * , -   , -   , -   , * ,64,13, -   , -   
NVC08, Mount Stuart Hospital ,8,363,25, -   , -   ,78,285, * ,115,57,"1,055",115,872,682, -   , -   , * ,193,31, -   ,123
NQL01, Navigo HQ , * , -   , -   , -   ,147, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,140, * , -   ,20
NVC09, New Hall Hospital ,6,48, * , * , -   ,126,256,15,16,83,142,27,"3,378",328, -   , -   ,6,49,86, -   ,35
NLL15, Newquay Hospital , * ,20, -   , * , * ,8, -   , -   ,21,44,12,8,18,35, -   , -   , -   ,74,70, -   , -   
RM1, Norfolk and Norwich University Hospitals NHS Foundation Trust ,"3,572","35,883","3,059","2,557",944,"4,029","10,836",783,"11,553","9,443","21,408","3,676","10,349","7,960","12,871","1,855",928,"15,279","11,126", -   ,"12,462"
RMY-X, Norfolk and Suffolk NHS Foundation Trust , -   , -   , -   , -   ,"1,386", * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   ,"1,352", -   , -   ,38
RY3, Norfolk Community Health and Care NHS Trust ,99,479,50,38,14,84, * , * ,601,235,101,106,315,225, -   , -   , * ,103,703, -   ,944
RVJ-X, North Bristol NHS Trust ,"1,602","14,156","3,449","1,690","1,010","3,488",78,88,"6,295","5,063","11,167","3,255","11,117","10,151","15,796","3,713",552,"13,963","10,051", -   ,"8,453"
RNL, North Cumbria University Hospitals NHS Trust ,"2,469","10,695","1,126",852,413,"1,446","3,557",485,"7,236","6,246","12,913","1,124","5,055","4,837","4,745",927,275,"5,858","4,244", -   ,"4,972"
NVC11, North Downs Hospital ,13,76,11, * , -   ,78,106,7,127,20,497,38,999,287, -   , -   , * ,150,23, -   ,58
RAT, North East London NHS Foundation Trust ,121,69,47,282,"1,472",66,14, * ,156, * , * , * ,12, * , -   , * , -   ,72, * , -   ,22
NTP15, North East London Treatment Centre Care Uk ,38,344,22, * , -   ,203,"1,019", -   ,682, * ,"3,221",317,"1,554", * , -   , -   ,6,197,155, -   ,43
RRD, North Essex Partnership University NHS Foundation Trust , -   , -   , -   , -   ,971, * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,852, * , -   ,26
RAP, North Middlesex University Hospital NHS Trust ,"2,855","9,713","2,506","1,087",426,"1,003","2,727",110,"3,950","5,272","8,144","1,639","4,575","5,268","7,264","2,510",171,"9,158","3,619", -   ,"5,797"
NLT01, North Somerset Community Partnership CIC HQ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,68, -   , -   , -   
RLY, North Staffordshire Combined Healthcare NHS Trust , -   , -   , -   , -   ,"1,611",163, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,486
RVW, North Tees and Hartlepool NHS Foundation Trust ,"3,125","12,295","2,705","1,587",559,"1,179",74,188,"5,052","6,909","12,895","1,507","7,900","5,745","5,925",921,146,"10,589","5,095", -   ,"6,017"
RNS, Northampton General Hospital NHS Trust ,"2,724","13,596","2,158","2,335",653,"2,439","2,888",607,"5,397","7,217","13,171","1,763","5,491","4,891","12,752","1,922",375,"11,713","7,287", -   ,"8,309"
RP1, Northamptonshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ,85,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,202", -   , -   , -   
RBZ, Northern Devon Healthcare NHS Trust ,965,"7,993","1,272",872,396,"1,021","1,849",252,"3,023","2,822","5,959",922,"3,408","2,942","5,145",616,106,"4,599","3,364", -   ,"3,091"
RJL-X, Northern Lincolnshire and Goole NHS Foundation Trust ,"2,288","13,768","2,533","1,371",544,"1,505","6,664",412,"5,989","6,785","17,314","1,392","8,104","6,910","9,556","1,406",234,"9,659","4,963", -   ,"8,499"
RX4," Northumberland, Tyne and Wear NHS Foundation Trust ", * , * , -   , * ,"1,949",129, -   , * ,16, -   , -   , -   , -   , -   ,8, -   , * ,376,16, -   ,85
RTF, Northumbria Healthcare NHS Foundation Trust ,"3,289","18,117","1,704","1,709","1,189","2,542",129,206,"7,512","6,986","16,764","2,011","13,850","4,991","4,952","1,040",211,"11,281","7,702", -   ,"6,625"
RX1, Nottingham University Hospitals NHS Trust ,"5,615","40,141","5,022","2,546","1,439","5,523","7,961","1,220","11,665","11,823","16,358","2,882","14,144","8,704","20,965","2,102","1,893","20,514","15,371", -   ,"13,283"
RHA, Nottinghamshire Healthcare NHS Foundation Trust ,23,303, * ,7,"2,689",155, -   , -   ,32,38,38,12,66,13, * , -   , -   ,179,368, -   ,183
NT202," Nuffield Health, Bournemouth Hospital ", -   ,185, -   , -   , -   , * , -   , * ,9, -   ,119,64,100,82, -   , -   , -   , * , * , -   ,6
NT204," Nuffield Health, Brentwood Hospital ", * ,78, -   ,7, -   , * ,819,19, * ,107,113,20,412,421, -   , -   , * ,26,16, -   ,7
NT205," Nuffield Health, Brighton Hospital ",14,16, * , -   ,227, -   , -   , -   ,10, -   ,222, * ,98, -   , -   , -   , -   ,52, * , -   ,11
NT206," Nuffield Health, Bristol Hospital ", * , * , * , -   , -   ,82,271, * ,11, -   ,76, * ,469, -   , -   , -   , -   ,8, -   , -   , * 
NT209," Nuffield Health, Cambridge Hospital ",9,8, * , -   , -   ,12, -   , * ,18,8,83, * ,354,6, -   , -   , -   ,34,6, -   , * 
NT211," Nuffield Health, Cheltenham Hospital ", -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,15, -   ,41,32, -   , -   , -   , * , * , -   , * 
NT212," Nuffield Health, Chichester Hospital ", * ,14, * , -   , -   ,29,219, -   , * , -   ,59, * ,950,16, -   , -   , * ,40, * , -   ,43
NT213," Nuffield Health, Derby Hospital ",7,35, * ,6, -   , * ,10,41, * ,103,152, * ,"1,029", * , -   , -   , * ,16,45, -   , * 
NT215," Nuffield Health, Exeter Hospital ", -   ,7, * , -   , -   , * , -   , -   ,347, -   ,61, * ,731, -   , -   , -   , * ,83,17, -   , * 
NT218," Nuffield Health, Haywards Heath Hospital ", * , -   , -   , -   , -   ,12, -   , -   , * , * ,61, * ,145, -   , -   , -   , -   ,6,8, -   , -   
NT219," Nuffield Health, Hereford Hospital ", * ,20, -   , -   , -   ,18, -   ,12,30,39,188,6,434,120, -   , -   , -   ,18,7, -   , * 
NT222," Nuffield Health, Ipswich Hospital ", * , * , -   , -   , -   ,105,534, -   ,15, -   ,69, -   ,266, * , -   , -   , -   , * , * , -   ,33
NT225," Nuffield Health, Leeds Hospital ",87,75, * , -   ,9,165, -   , * ,389,275,678,21,"1,774",386, -   , -   ,9,255,41, -   ,46
NT226," Nuffield Health, Leicester Hospital ", -   ,42, * , -   , -   ,38,640,42, -   ,218,401,10,615,151, -   , -   , * ,41,8, -   ,7
NT229," Nuffield Health, Newcastle Upon Tyne Hospital ",14, * , * , -   , -   , * , -   , -   , * , -   ,237, * ,264, -   , -   , -   , -   ,40,8, -   ,132
NT230," Nuffield Health, North Staffordshire Hospital ", -   ,12, -   , -   , -   ,136, -   , -   , -   , -   ,562,16,"1,866",13, -   , -   ,7,7,33, -   ,16
NT233," Nuffield Health, Plymouth Hospital ",36,84,18, -   , -   ,37, -   , -   ,330, * ,941,47,938,87, -   , -   , * ,123,23, -   ,110
NT235," Nuffield Health, Shrewsbury Hospital ", -   , * , -   , -   , -   ,75,922, -   , -   , -   ,70, * ,259, -   , -   , -   , -   , * , * , -   , * 
NT238," Nuffield Health, Taunton Hospital ", -   ,16, -   , * , -   ,115,235,13, * ,78,76,6,888,22, -   , -   , * , * ,16, -   , * 
NT237," Nuffield Health, Tees Hospital ",36,58,11,16, -   ,120,"1,777", -   ,10, * ,684,9,"1,374", -   , -   , -   , * ,72,70, -   ,18
NT210," Nuffield Health, The Grosvenor Hospital, Chester ", -   , * , -   , -   , -   , * , -   , -   , -   , -   , -   ,6,604, * , -   , -   , -   , * ,15, -   , -   
NT239," Nuffield Health, Tunbridge Wells Hospital ",6,21, -   , -   , -   ,11,41, -   ,28,15,132, * ,341, * , -   , -   , * ,22, * , -   ,10
NT224," Nuffield Health, Warwickshire Hospital ", -   , * , -   , -   , -   ,58, -   , -   , -   , -   , -   , * ,549,64, -   , -   , * ,16,13, -   , -   
NT214," Nuffield Health, Wessex Hospital ", -   ,21, * , * , -   ,68,67, -   , * , -   ,104, * ,606,207, -   , -   , * ,32,15, -   ,93
NT241," Nuffield Health, Woking Hospital ", * ,10, -   , * , -   ,32,597, -   , -   , -   ,47, * ,558,19, -   , -   , -   , * ,6, -   , * 
NT242," Nuffield Health, Wolverhampton Hospital ", -   , * , * , * , -   ,78,952, -   , * , -   ,95,6,"1,065", * , -   , -   , -   , * ,21, -   ,15
NT245," Nuffield Health, York Hospital ", -   , * , * , -   , -   ,18, -   , -   , -   , -   , -   , -   ,857, -   , -   , -   , * , * ,23, -   , * 
NT244, Nuffield Hospital Oxford , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,387, -   , -   , -   , -   , -   , -   , -   , -   
NVC12, Oaklands Hospital ,22,36,11, * , -   ,380,200, * ,22,61,364,55,"3,030",177, * , -   ,10,67,51, -   ,110
NVC13, Oaks Hospital ,32,124,35,10, * ,59,614,14,231,106,"1,394",104,"1,662",726, -   , * ,7,305,28, -   ,385
NTX12, One Health Group Clinic - Claremont , -   , * , * , -   , -   , * , -   , -   , * , -   ,63, * ,17, * , -   , -   , -   ,11, -   , -   , -   
NTX11, One Health Group Clinic - Thornbury , * ,6, -   , * , -   ,9, -   , -   ,8, -   ,73,6,120,14, -   , -   , -   ,16, * , -   , * 
NTX01, One Health Group Ltd , * ,80,28, * , * ,158, * , -   ,163, * ,"1,164",122,"2,358",208, -   , -   ,13,958,23, -   ,16
NNH04, Optegra , -   , * , -   , -   , -   , -   ,"1,248", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11, -   , -   , * 
NNH02, Optegra Yorkshire Eye Hospital , -   , * , -   , -   , -   , -   ,"1,357", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   , -   
RNU, Oxford Health NHS Foundation Trust ,49,37,20,36,"2,555",86, * , -   ,177,131,56,40,77,117, * , -   , -   ,"1,001",272, -   ,193
RTH, Oxford University Hospitals NHS Foundation Trust ,"4,307","23,407","5,122","4,368",939,"6,444","7,231","1,091","13,722","10,599","25,554","3,706","11,043","11,518","13,918","3,132","2,695","19,620","15,864", -   ,"14,779"
RPG, Oxleas NHS Foundation Trust , -   , -   , -   , -   ,"1,098",25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,179, -   , -   ,26
NY601, Pain Management Solutions - Oaks Park PCC , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   ,782, -   , -   , -   , -   ,117, -   , -   , -   
RGM, Papworth Hospital NHS Foundation Trust ,26,916,193,758,22,"3,943", * , -   ,"10,842","4,827",22, * ,79, * , * , * ,367,"1,076",472, -   ,946
NVC14, Park Hill Hospital , -   ,12, -   , -   , -   ,43, -   , -   , -   , -   ,54,8,561, -   , -   , -   , -   , * ,15, -   , * 
NLX02, Paulton Memorial Hospital ,10,6, * , * ,7,10, * , -   ,21,34,14,6,32,24, -   , -   , -   ,37,114, -   , * 
NTPH5, Peninsula NHS Treatment Centre , -   ,9, -   , * , -   ,304,"1,119", * , -   , * ,120, * ,"1,846", * , -   , -   , * , * ,78, -   ,15
RW6, Pennine Acute Hospitals NHS Trust ,"6,428","16,474","4,539","4,020","1,034","2,687","5,206","1,147","12,267","15,922","26,619","3,759","18,133","10,935","15,252","4,884",552,"17,516","11,639", -   ,"10,699"
RT2, Pennine Care NHS Foundation Trust , -   , -   , -   , * ,"2,803",89, -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,558
RGN, Peterborough and Stamford Hospitals NHS Foundation Trust ,"2,784","10,431","1,445","1,054",735,"1,512","1,995",536,"6,210","6,330","11,180","2,223","5,635","5,241","6,394","1,628",359,"9,299","6,536", -   ,"5,803"
NEQ01, Phoenix Health Solutions Limited , * ,22, * , -   , -   ,11,20, * , * , * ,23, -   ,77,38, -   , -   , -   ,59, -   , -   ,6
NVC15, Pinehill Hospital ,25,82,14, * , -   ,88,601,13,79,115,666,40,"1,329",403, -   , -   , * ,117,24, -   ,90
NEY01, Pioneer Healthcare Ltd - Claremont Hospital , -   , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   ,120, -   , -   , -   , -   , -   , -   , -   , * 
RK9, Plymouth Hospitals NHS Trust ,"3,195","21,163","2,757","1,888",530,"3,144","4,321",951,"9,079","8,013","12,521","2,628","6,564","6,063","6,505","1,730",642,"13,800","10,053", -   ,"5,877"
RD3, Poole Hospital NHS Foundation Trust ,"2,566","7,765","1,639","1,360",446,"1,620",130,785,"3,841","5,929","9,350","2,890","3,705","2,839","6,394","1,934",250,"8,160","7,804", -   ,"6,606"
RHU, Portsmouth Hospitals NHS Trust ,"3,018","11,088","2,722","2,241",926,"2,340","9,179","1,028","7,986","9,164","17,597","2,524","11,261","8,233","9,465","1,540",495,"16,509","10,490", -   ,"9,823"
RPC, Queen Victoria Hospital NHS Foundation Trust ,31,"3,879", * , * ,33,"1,716","2,636",19,11,66,"2,865","1,387",998,61, -   , -   ,264,692,"5,020", -   ,957
NVC16, Renacres Hospital ,10,90,16, * , -   ,136,422,35,223,75,"1,209",126,"1,957",402, -   , -   , * ,234,25, -   ,86
NVC19, Rivers Hospital ,73,164,34, * , * ,104,808, * ,182,120,"3,623",35,"1,811","1,234", -   , -   ,9,508,39, -   ,235
RXE, Rotherham Doncaster and South Humber NHS Foundation Trust ,6,148, * ,7,"1,021",113, * , -   ,37,47,13,6,74,33, -   , -   , -   ,612,119, -   ,52
