 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT319 Spire Hartswood Hospital , * , * , -   , -   , -   , 38 , 75 , 56 , -   , 140 , 82 , 21 , 450 , 66 , -   , -   , -   , 190 , -   , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT432 BMI - The Sandringham Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC06 Fitzwilliam Hospital , * , 55 , -   , -   , -   , * , -   , * , * , 56 , 80 , * ," 1,326 ", 29 , -   , -   , * , 51 , 6 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC13 Oaks Hospital , -   , * , -   , * , -   , * , 121 , * , 18 , 54 , 242 , * , 419 , 267 , -   , -   , * , 23 , * , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC15 Pinehill Hospital , -   , * , -   , -   , -   , * , 207 , * , -   , 11 , 177 , * , 373 , 17 , -   , -   , -   , 149 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC18 Springfield Hospital , -   , * , -   , * , -   , -   , * , -   , -   , 8 , 23 , * , 400 , 109 , -   , * , -   , 96 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC19 Rivers Hospital , -   , 28 , * , * , -   , -   , 441 , 15 , 7 , 29 , 77 , * , 271 , 50 , -   , -   , * ," 1,699 ", 6 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAJ Southend University Hospital NHS Foundation Trust , 606 ," 13,421 "," 1,645 ", 952 , 325 ," 1,363 "," 6,460 ", 349 ," 5,357 "," 3,762 "," 9,794 "," 1,833 "," 7,476 "," 5,718 "," 7,313 ", 780 , 314 ," 9,211 "," 5,076 "," 5,550 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RC1 Bedford Hospital NHS Trust , 368 ," 3,014 ", 769 , 430 , 151 , 801 ," 2,059 ", 242 ," 3,390 "," 2,355 "," 6,388 "," 1,207 "," 2,569 "," 2,646 "," 4,488 ", 793 , 438 ," 5,690 "," 2,690 "," 3,804 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RC9 Luton and Dunstable Hospital NHS Foundation Trust ," 1,029 "," 6,412 "," 1,590 ", 925 , 224 ," 1,213 "," 2,206 ", 557 ," 3,251 "," 5,094 "," 9,779 "," 1,105 "," 4,244 "," 3,579 "," 10,245 "," 1,087 ", 317 ," 7,875 "," 3,688 "," 9,271 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RCX The Queen Elizabeth Hospital King's Lynn NHS Trust , 753 ," 8,964 "," 1,756 "," 1,105 ", 245 , 950 ," 2,883 ", 268 ," 3,479 "," 2,948 "," 8,086 "," 1,134 "," 5,082 "," 4,486 "," 5,976 ", 679 , 193 ," 6,778 "," 3,434 "," 4,390 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RDD Basildon and Thurrock University Hospitals NHS Foundation Trust , 493 ," 4,800 ", 958 ," 1,036 ", 243 ," 1,071 ", 62 , 394 ," 8,027 "," 4,055 "," 8,035 "," 1,077 "," 6,191 "," 4,916 "," 8,434 ", 829 , 255 ," 9,284 "," 3,621 "," 8,528 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RDE Colchester Hospital University NHS Foundation Trust , 727 ," 8,043 "," 1,236 ", 764 , 220 ," 1,318 "," 2,471 ", 517 ," 4,841 "," 3,742 "," 9,869 "," 1,523 "," 5,100 "," 4,653 "," 7,987 ", 491 , 274 ," 8,512 "," 3,818 "," 5,394 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGM Papworth Hospital NHS Foundation Trust , 36 , 579 , 72 , 826 , 44 ," 4,551 ", -   , -   ," 10,312 "," 2,906 ", * , * , 66 , * , * , -   , 198 ," 1,216 ", 285 , 172 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGN Peterborough and Stamford Hospitals NHS Foundation Trust ," 1,002 "," 6,851 "," 1,410 ", 732 , 166 ," 1,247 "," 2,534 ", 520 ," 4,989 "," 4,403 "," 9,982 "," 1,733 "," 6,596 "," 4,733 "," 8,352 ", 712 , 343 ," 7,907 "," 5,359 "," 6,903 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGP James Paget University Hospitals NHS Foundation Trust , 794 ," 6,586 ", 901 , 673 , 303 , 922 ," 3,200 ", 325 ," 2,998 "," 2,731 "," 6,649 "," 1,276 "," 3,328 "," 3,910 "," 3,857 ", 356 , 205 ," 5,102 "," 3,001 "," 4,125 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGQ Ipswich Hospital NHS Trust , 849 ," 12,123 "," 1,290 "," 1,430 ", 266 ," 1,889 "," 2,528 ", 485 ," 5,769 "," 3,665 "," 8,983 "," 1,119 "," 5,559 "," 4,568 "," 7,715 "," 1,983 ", 353 ," 6,916 "," 3,814 "," 5,178 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGR West Suffolk Hospitals NHS Trust , 742 ," 6,496 ", 928 , 552 , 155 , 936 ," 3,261 ", 415 ," 3,042 "," 3,323 "," 4,518 "," 1,593 "," 4,473 "," 3,651 "," 6,723 ", 883 , 284 ," 4,974 "," 3,407 "," 3,503 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGT Cambridge University Hospitals NHS Foundation Trust ," 1,535 "," 24,221 "," 2,189 "," 1,935 ", 426 ," 3,621 "," 4,136 "," 1,048 "," 6,252 "," 5,157 "," 14,707 "," 2,468 "," 7,853 "," 5,652 "," 9,212 "," 1,292 "," 1,937 "," 9,384 "," 8,674 "," 7,835 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RM1 Norfolk and Norwich University Hospitals NHS Foundation Trust ," 1,294 "," 24,164 "," 1,958 "," 1,921 ", 432 ," 2,519 "," 7,379 ", 866 ," 9,229 "," 6,489 "," 14,410 "," 3,712 "," 11,420 "," 9,630 "," 12,486 "," 1,066 "," 1,003 "," 10,799 "," 8,600 "," 11,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RMY Norfolk and Waveney Mental Health NHS Foundation Trust , * , -   , -   , -   ," 1,193 ", 90 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 311 , -   , 21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQ8 Mid Essex Hospital Services NHS Trust , 548 ," 13,412 "," 1,363 ", 631 , 409 ," 1,938 "," 2,970 ", 545 ," 5,168 "," 3,467 "," 7,133 "," 2,857 "," 7,439 "," 4,772 "," 10,359 "," 1,329 "," 1,393 "," 9,445 "," 9,316 "," 9,750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQQ-X Hinchingbrooke Health Care NHS Trust , 308 ," 5,591 ", 555 , 627 , 165 , 592 ," 2,815 ", 193 ," 2,082 "," 1,533 "," 4,388 ", 705 ," 2,895 "," 1,755 ", * , * , 132 ," 2,892 "," 1,888 "," 3,115 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQW The Princess Alexandra Hospital NHS Trust , 425 ," 7,234 "," 1,054 ", 810 , 233 ," 1,062 "," 2,432 ", 398 ," 3,739 "," 3,259 "," 8,017 "," 1,232 "," 5,667 "," 5,069 "," 5,026 ", 890 , 336 ," 7,034 "," 3,616 "," 4,753 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RRD North Essex Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,246 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 780 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RT1 Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , * , * ," 1,149 ", 56 , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , 317 , * , 199 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RT6 Suffolk Mental Health Partnership NHS Trust , -   , -   , -   , -   ," 1,360 ", 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 42 , 74 , -   , 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RV7 Bedfordshire and Luton Mental Health and Social Care NHS Trust , -   , -   , -   , -   ," 1,336 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 229 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWG West Hertfordshire Hospitals NHS Trust , 616 ," 5,605 "," 1,517 "," 1,023 ", 347 ," 1,078 "," 2,523 ", 477 ," 5,251 "," 4,045 "," 10,210 "," 1,310 "," 5,972 "," 5,266 "," 10,013 ", 780 , 246 ," 8,272 "," 3,992 "," 8,193 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWH East and North Hertfordshire NHS Trust , 691 ," 9,601 ", 541 ," 1,173 ", 199 ," 1,099 "," 3,443 ", 383 ," 5,050 "," 4,345 "," 10,279 "," 2,474 "," 7,556 "," 7,087 "," 6,732 ", 929 , 288 ," 13,208 "," 4,390 "," 12,398 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWN South Essex Partnership University NHS Foundation Trust , -   , -   , -   , * ," 1,426 ", 86 , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , 348 , 9 , 115 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWR Hertfordshire Partnership NHS Foundation Trust , -   , -   , -   , -   , 623 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,199 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q36 London Strategic Health Authority ," 27,272 "," 193,971 "," 42,209 "," 33,668 "," 30,492 "," 50,061 "," 77,963 "," 10,721 "," 140,838 "," 107,017 "," 246,711 "," 42,826 "," 132,956 "," 145,715 "," 257,890 "," 30,713 "," 23,336 "," 235,360 "," 124,438 "," 216,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5A4 Havering PCT , 12 , * , * , 7 , * , * , * , -   , 22 , 55 , 8 , 23 , 33 , 53 , -   , -   , -   , 309 , 54 , 905 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5A5 Kingston PCT , * , 12 , * , * , * , 11 , -   , * , 50 , 21 , 9 , * , 35 , 29 , -   , -   , -   , 182 , 63 , 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5AT Hillingdon PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5C1 Enfield PCT , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5C4 Tower Hamlets PCT , * , 25 , 8 , * , 18 , 18 , -   , -   , 172 , 45 , 13 , 42 , 89 , 82 , 557 , -   , -   , 452 , 87 , 254 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5C5 Newham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5C9 Haringey Teaching PCT , -   , -   , -   , -   , 117 , * , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , 170 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5K5 Brent Teaching PCT , * , * , -   , * , * , -   , -   , -   , 9 , * , * , * , * , * , * , -   , -   , 45 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5K7 Camden PCT , * , 6 , -   , * , 13 , 20 , -   , -   , 121 , 19 , 9 , 24 , 24 , 12 , -   , -   , -   , 82 , 112 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5LA Kensington and Chelsea PCT , -   , 155 , -   , -   , * , 8 , -   , -   , 13 , 9 , -   , -   , * , * , -   , -   , -   , 103 , 8 , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5LG Wandsworth PCT , * , 12 , 10 , 11 , * , 22 , -   , -   , 66 , 29 , 27 , 13 , 35 , 42 , -   , -   , -   , 177 , 101 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5M6 Richmond and Twickenham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 306 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5M7 Sutton and Merton PCT , 18 , * , * , -   , * , -   , * , -   , * , -   , 438 , -   , -   , -   , -   , -   , -   , 51 , -   , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
