"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2016-17)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2016-17.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
NV302, Circle Bath Hospital (NV302) , * , 100 , * , * , * , 151 , 653 , 29 , 109 , 93 , 574 , 30 ," 2,746 ", 399 , -   , -   , 6 , 92 , 56 , -   , 67 ,
NV323, Circle Reading Hospital (NV323) , 43 , 102 , 20 , 6 , * , 116 , 391 , * , 6 , 140 , 769 , 32 ," 2,586 ", 426 , -   , -   , 6 , 143 , 55 , -   , 65 ,
NTPH4, Cirencester NHS Treatment Centre (NTPH4) , -   , -   , -   , -   , -   , * , * , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,
RLN, City Hospitals Sunderland NHS Foundation Trust (RLN) ," 2,751 "," 14,366 "," 1,952 "," 2,974 ", 873 ," 2,175 "," 13,578 "," 1,238 "," 6,415 "," 9,451 "," 14,403 "," 2,390 "," 7,740 "," 9,098 "," 4,872 ", 953 , 587 ," 8,363 "," 6,185 ", -   ," 6,112 ",
NQ108, Clacton Hospital (NQ108) , 10 , 6 , * , 10 , -   , 15 , * , * , 98 , 67 , 24 , 44 , 45 , 60 , -   , -   , -   , 146 , 102 , -   , -   ,
NVC28, Clifton Park Hospital (NVC28) , -   , 13 , -   , -   , -   , 107 , -   , -   , -   , -   , * , 13 ," 2,182 ", -   , -   , -   , * , -   , 124 , -   , -   ,
NVC29, Cobalt Hospital (NVC29) , 73 , 117 , 14 , * , * , 70 , * , -   , 22 , * ," 2,880 ", 87 , 205 , -   , -   , -   , * , 278 , * , -   , 104 ,
NVM01, Cobham Day Surgery Hospital (NVM01) , * , 90 , -   , * , -   , * , * , -   , -   , -   , 379 , * , 28 , 242 , -   , -   , * , * , 22 , -   , 19 ,
RDE, Colchester Hospital University NHS Foundation Trust (RDE) ," 2,743 "," 17,931 "," 2,634 "," 1,145 ", 773 ," 1,630 "," 3,346 ", 706 ," 5,567 "," 7,956 "," 13,274 "," 2,398 "," 4,564 "," 6,777 "," 5,789 "," 2,319 ", 227 ," 8,620 "," 6,595 ", -   ," 4,429 ",
RJ8, Cornwall Partnership NHS Foundation Trust (RJ8) , 80 , 325 , 13 , 90 , 666 , 167 , * , * , 839 , 537 , 205 , 109 , 327 , 350 , -   , * , -   , 407 ," 1,008 ", -   , * ,
RJR, Countess of Chester Hospital NHS Foundation Trust (RJR) ," 2,028 "," 7,169 "," 1,886 ", 979 , 376 , 907 ," 3,146 ", 573 ," 4,121 "," 5,392 "," 10,510 "," 1,778 "," 4,408 "," 4,467 "," 10,807 "," 1,279 ", 185 ," 9,528 "," 5,428 ", -   ," 6,983 ",
RXP, County Durham and Darlington NHS Foundation Trust (RXP) ," 4,834 "," 17,374 "," 2,622 "," 2,162 ", 660 ," 1,832 "," 7,933 ", 788 ," 7,216 "," 11,032 "," 18,900 "," 4,164 "," 10,674 "," 6,582 "," 9,729 "," 2,546 ", 320 ," 15,427 "," 10,292 ", -   ," 8,983 ",
RYG, Coventry and Warwickshire Partnership NHS Trust (RYG) , * , -   , -   , -   , 786 , 9 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 132 , -   , -   , 31 ,
RJ6, Croydon Health Services NHS Trust (RJ6) ," 2,529 "," 3,875 "," 1,342 "," 1,264 ", 476 , 876 , 89 , 317 ," 3,245 "," 5,316 "," 11,202 "," 1,268 "," 3,809 "," 5,313 "," 5,948 "," 1,878 ", 253 ," 9,816 "," 4,126 ", -   ," 3,619 ",
RNN, Cumbria Partnership NHS Foundation Trust (RNN) , 52 , 386 , 127 , 53 , 899 , 176 , -   , -   , 364 , 346 , 238 , 100 , 180 , 263 , -   , -   , * , 560 , 484 , * , 166 ,
NQ738, Darent Valley Hospital (NQ738) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 57 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RN7-X, Dartford and Gravesham NHS Trust (RN7-X) ," 2,601 "," 10,987 "," 1,898 "," 1,303 ", 370 ," 1,074 ", 115 , 96 ," 3,504 "," 4,960 "," 12,667 "," 1,807 "," 5,899 "," 6,631 "," 7,323 "," 1,206 ", 177 ," 9,889 "," 4,074 ", -   ," 7,206 ",
RTG, Derby Teaching Hospitals NHS Foundation Trust (RTG) ," 3,609 "," 22,051 "," 2,928 "," 3,866 "," 1,211 "," 3,482 "," 4,173 ", 779 ," 7,756 "," 8,350 "," 19,434 "," 2,666 "," 13,380 "," 7,214 "," 17,380 "," 1,289 ", 514 ," 14,015 "," 9,862 ", -   ," 11,903 ",
RY8, Derbyshire Community Health Services NHS Foundation Trust (RY8) , 65 , 547 , 21 , 45 , 101 , 380 ," 1,156 ", 51 , 245 , 327 , 330 , 623 ," 1,912 ", 285 , -   , -   , 8 , 634 , 790 , -   ," 1,445 ",
RXM, Derbyshire Healthcare NHS Foundation Trust (RXM) , -   , * , -   , * ," 1,458 ", 75 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 9 ,
NTPH3, Devizes NHS Treatment Centre (NTPH3) , 30 , 41 , 21 , * , * , 13 , 538 , * , 16 , 35 ," 2,619 ", 28 , 261 , 70 , -   , -   , -   , 212 , 148 , -   , 52 ,
RWV, Devon Partnership NHS Trust (RWV) , -   , -   , -   , -   ," 1,247 ", 41 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 461 , -   , -   , * ,
RP5, Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust (RP5) ," 3,321 "," 9,012 "," 2,547 "," 2,583 ", 850 ," 2,072 "," 9,030 ", 766 ," 6,415 "," 9,223 "," 17,925 "," 2,334 "," 13,279 "," 6,821 "," 8,513 "," 2,217 ", 260 ," 15,183 "," 8,514 ", -   ," 6,257 ",
NNE02, Dorking General Hospital (NNE02) , 10 , 29 , 26 , 6 , -   , 148 , 122 , * , 31 , 28 , 364 , * ," 1,110 ", 111 , -   , -   , * , 115 , 10 , -   , 28 ,
RBD, Dorset County Hospital NHS Foundation Trust (RBD) ," 1,362 "," 3,516 "," 1,079 ", 778 , 237 , 846 ," 4,642 ", 289 ," 3,367 "," 3,657 "," 6,921 ", 993 ," 3,625 "," 4,682 "," 3,357 ", 977 , 192 ," 7,374 "," 4,054 ", -   ," 3,820 ",
RDY, Dorset Healthcare University NHS Foundation Trust (RDY) , 55 , 316 , 52 , 29 , 856 , 238 , * , 6 , 281 , 283 ," 1,876 ", 279 , 766 , 405 , * , -   , * , 718 , 998 , -   , 207 ,
NVC04, Duchy Hospital (NVC04) , 14 , 270 , 50 , 14 , -   , 157 , * , * , 848 , 158 , 738 , 65 ," 2,518 ", 172 , -   , -   , 24 , 189 , 175 , -   , 57 ,
RYK, Dudley and Walsall Mental Health Partnership NHS Trust (RYK) , -   , -   , -   , -   ," 1,145 ", 40 , -   , -   , * , * , -   , -   , * , * , * , -   , -   , * , -   , -   , 70 ,
RWH, East and North Hertfordshire NHS Trust (RWH) ," 2,369 "," 8,876 "," 1,615 "," 1,098 ", 391 ," 1,864 "," 2,722 ", 810 ," 6,101 "," 7,347 "," 12,568 "," 1,784 "," 6,984 "," 6,673 "," 7,233 "," 1,101 ", 306 ," 12,677 "," 8,504 ", -   ," 9,980 ",
RJN, East Cheshire NHS Trust (RJN) ," 1,273 "," 3,432 ", 657 , 361 , 356 , 457 ," 2,781 ", 147 ," 1,488 "," 3,045 "," 7,236 ", 632 ," 1,992 "," 1,683 "," 2,283 ", 715 , 70 ," 2,814 "," 2,507 ", -   ," 1,863 ",
RVV, East Kent Hospitals University NHS Foundation Trust (RVV) ," 5,010 "," 13,208 "," 2,836 "," 2,475 "," 1,030 "," 4,333 "," 10,130 "," 1,068 "," 11,870 "," 13,742 "," 24,084 "," 4,205 "," 17,540 "," 13,565 "," 10,708 "," 1,378 ", 445 ," 22,772 "," 10,748 ", -   ," 9,223 ",
RXR, East Lancashire Hospitals NHS Trust (RXR) ," 5,004 "," 7,707 "," 3,244 "," 2,053 ", 741 ," 2,236 "," 4,264 ", 802 ," 8,645 "," 11,778 "," 21,258 "," 2,995 "," 9,409 "," 7,959 "," 10,099 "," 2,820 ", 617 ," 12,800 "," 7,667 ", -   ," 7,865 ",
RWK, East London NHS Foundation Trust (RWK) , * , -   , -   , * ," 5,388 ", 47 , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , 285 , -   , -   , 55 ,
RXC, East Sussex Healthcare NHS Trust (RXC) ," 2,943 "," 17,537 "," 2,924 "," 2,329 ", 445 ," 1,549 "," 4,336 ", 508 ," 6,950 "," 6,525 "," 14,430 "," 1,922 "," 4,429 "," 5,661 "," 4,393 "," 1,250 ", 143 ," 10,125 "," 6,328 ", -   ," 4,169 ",
NTPH2, Emersons Green NHS Treatment Centre (NTPH2) , 38 , 144 , 87 , * , -   , 285 ," 1,384 ", 17 , 67 , 263 ," 5,090 ", 82 ," 1,878 ", 398 , -   , -   , * , 367 , 138 , -   , 95 ,
RVR-X, Epsom and St Helier University Hospitals NHS Trust (RVR-X) ," 2,891 "," 4,269 "," 2,302 "," 1,516 ", 665 ," 1,170 "," 3,359 ", 404 ," 4,238 "," 6,461 "," 13,737 "," 1,725 "," 13,965 "," 8,281 "," 7,663 "," 2,635 ", 385 ," 12,393 "," 7,467 ", -   ," 6,106 ",
NVM02, Epsom Day Surgery Limited (NVM02) , -   , 93 , -   , -   , -   , * , * , -   , -   , -   , 288 , * , 23 , 14 , -   , -   , -   , -   , -   , -   , 6 ,
NVC05, Euxton Hall Hospital (NVC05) , 35 , 117 , 42 , * , -   , 177 , -   , * , * , 68 ," 1,728 ", 183 ," 2,622 ", 796 , -   , -   , 10 , 309 , 23 , -   , 173 ,
NVG01, Fairfield Hospital (NVG01) , 30 , 97 , 24 , * , -   , 113 , 373 , 41 , 182 , 124 ," 1,110 ", 149 ," 1,182 ", 370 , -   , -   , * , 148 , 40 , -   , 139 ,
NDA25, Farnham Hospital & Centre For Health (NDA25) , * , * , -   , * , * , * , * , -   , 61 , 18 , * , 9 , 17 , 23 , -   , -   , -   , 213 , 82 , -   , 6 ,
NHM05, Felixstowe Community Hospital (NHM05) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 210 , -   , -   , -   ,
NVC06, Fitzwilliam Hospital (NVC06) , 54 , 154 , 35 , * , * , 125 , 929 , 42 , 21 , 307 ," 1,778 ", 23 ," 4,452 ", 540 , -   , -   , 9 , 220 , 80 , -   , 59 ,
AHH01, Foscote Court (Banbury) Trust (AHH01) , -   , * , -   , -   , -   , 17 , -   , -   , -   , -   , 196 , * , 105 , 51 , -   , -   , -   , 18 , -   , -   , -   ,
RDU, Frimley Health NHS Foundation Trust (RDU) ," 6,000 "," 10,496 "," 2,400 "," 2,204 "," 1,161 "," 2,942 "," 5,159 "," 1,238 "," 12,204 "," 13,474 "," 27,338 "," 6,182 "," 18,736 "," 14,086 "," 14,509 "," 3,697 ", 549 ," 26,861 "," 14,703 ", -   ," 17,143 ",
NQ106, Fryatt Hospital (NQ106) , * , 41 , * , * , * , 6 , -   , * , 10 , 23 , * , 12 , 24 , 18 , -   , -   , -   , 103 , 92 , -   , -   ,
NVC07, Fulwood Hall Hospital (NVC07) , 31 , 107 , 9 , * , * , 177 ," 1,515 ", 12 , 215 , 71 ," 1,180 ", 120 ," 3,056 ", 570 , * , -   , 12 , 192 , 69 , -   , 87 ,
RR7-X, Gateshead Health NHS Foundation Trust (RR7-X) ," 2,077 "," 11,153 "," 1,632 "," 1,369 ", 488 , 784 , 26 , 67 ," 2,839 "," 4,633 "," 10,145 ", 856 ," 5,574 "," 4,054 "," 2,621 ", 989 , 79 ," 7,710 "," 3,801 ", -   ," 4,465 ",
RLT, George Eliot Hospital NHS Trust (RLT) , 827 ," 2,541 ", 363 , 439 , 269 , 538 ," 1,811 ", 43 ," 1,596 "," 2,209 "," 7,156 ", 829 ," 3,347 "," 3,997 "," 2,910 ", 442 , 58 ," 4,508 "," 2,169 ", -   ," 2,926 ",
NHM26, Glastonbury Court (NHM26) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 126 , -   , -   , -   ,
R1J, Gloucestershire Care Services NHS Trust (R1J) , * , 10 , 13 , 23 , 31 , 19 , 7 , 9 , 64 , 29 , 16 , 17 , 45 , 33 , 92 , -   , * ," 2,574 ", 26 , -   , 11 ,
RTE, Gloucestershire Hospitals NHS Foundation Trust (RTE) ," 4,025 "," 31,551 "," 2,438 "," 1,789 ", 656 ," 3,156 "," 5,472 ", 804 ," 7,496 "," 9,805 "," 19,804 "," 2,304 "," 10,402 "," 7,244 "," 12,090 "," 1,377 ", 378 ," 16,122 "," 9,057 ", -   ," 10,686 ",
NDAH9, Gravesham Community Hospital (NDAH9) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 104 , -   , -   , -   ,
RP4, Great Ormond Street Hospital For Children NHS Foundation Trust (RP4) , 170 ," 6,794 ", 910 ," 3,004 ", 25 ," 3,579 ", 545 , 437 ," 1,221 "," 2,013 "," 2,904 ", 515 ," 5,401 "," 2,809 ", -   , 205 ," 9,650 ", 887 , 451 , -   , 131 ,
RN3, Great Western Hospitals NHS Foundation Trust (RN3) ," 2,577 "," 12,618 "," 1,206 "," 1,420 ", 770 ," 1,783 "," 2,294 ", 437 ," 5,113 "," 6,527 "," 12,208 "," 1,646 "," 6,306 "," 5,600 "," 6,145 "," 1,883 ", 237 ," 10,576 "," 6,295 ", -   ," 5,410 ",
RXV, Greater Manchester Mental Health NHS Foundation Trust (RXV) , -   , -   , -   , -   ," 1,303 ", 25 , -   , -   , * , * , * , -   , -   , -   , -   , -   , -   , * , -   , -   , 28 ,
RJ1-X, Guy's and St Thomas' NHS Foundation Trust (RJ1-X) ," 1,970 "," 11,444 "," 3,584 "," 2,525 "," 1,923 "," 7,798 "," 4,682 "," 1,028 "," 9,057 "," 8,800 "," 26,860 "," 3,492 "," 11,441 "," 9,960 "," 9,513 "," 1,576 "," 3,658 "," 11,210 "," 8,976 ", -   ," 12,197 ",
RN5-X, Hampshire Hospitals NHS Foundation Trust (RN5-X) ," 2,789 "," 8,204 "," 2,155 "," 1,461 ", 455 ," 1,880 "," 5,561 ", 511 ," 4,683 "," 6,950 "," 17,348 "," 2,136 "," 9,258 "," 7,312 "," 9,749 "," 2,588 ", 477 ," 10,258 "," 6,544 ", -   ," 7,216 ",
RCD, Harrogate and District NHS Foundation Trust (RCD) ," 1,390 "," 10,487 "," 1,259 "," 1,270 ", 298 , 813 ," 2,021 ", 227 ," 2,410 "," 3,310 "," 9,161 ", 739 ," 3,644 "," 2,912 "," 2,574 ", 956 , 205 ," 5,476 "," 3,045 ", -   ," 2,475 ",
NDA03, Haslemere and District Hospital OPD (NDA03) , * , * , -   , * , * , * , -   , -   , 12 , 22 , 9 , * , 15 , 13 , -   , -   , -   , 48 , 52 , -   , * ,
NXP04, Hathaway Medical Centre (NXP04) , -   , -   , -   , -   , -   , 51 , 14 , -   , -   , -   , 101 , * , 65 , * , -   , -   , -   , 11 , * , -   , 56 ,
NHM15, Hazell Court Residential Home (NHM15) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 149 , -   , -   , -   ,
RR1-X, Heart of England NHS Foundation Trust (RR1-X) ," 5,807 "," 30,487 "," 4,861 "," 4,977 "," 1,734 "," 3,566 "," 13,118 ", 843 ," 12,723 "," 16,437 "," 20,768 "," 5,133 "," 14,407 "," 12,383 "," 30,125 "," 3,381 ", 485 ," 42,349 "," 12,214 ", -   ," 14,960 ",
RY4, Hertfordshire Community NHS Trust (RY4) , -   , -   , -   , * , -   , -   , -   , -   , * , * , * , -   , * , -   , -   , -   , -   ," 1,852 ", * , -   , 91 ,
RWR, Hertfordshire Partnership University NHS Foundation Trust (RWR) , -   , -   , -   , -   ," 1,280 ", 84 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 324 , -   , -   , * ,
RQQ-X, Hinchingbrooke Health Care NHS Trust (RQQ-X) , 801 ," 6,161 "," 1,024 ", 754 , 171 , 570 ," 2,728 ", 256 ," 1,817 "," 2,645 "," 5,607 ", 670 ," 2,986 "," 2,830 "," 2,889 ", 368 , 66 ," 5,953 "," 2,134 ", -   ," 3,666 ",
RQX, Homerton University Hospital NHS Foundation Trust (RQX) ," 2,011 "," 1,911 "," 3,112 ", 912 , 346 , 890 , 51 , 261 ," 1,513 "," 3,562 "," 11,610 "," 1,249 "," 2,717 "," 3,104 "," 14,135 "," 2,100 ", 238 ," 5,858 "," 2,714 ", -   ," 7,118 ",
NVC25, Horton NHS Treatment Centre (NVC25) , -   , 11 , -   , -   , -   , 332 , -   , -   , -   , -   , -   , 21 ," 2,492 ", -   , -   , * , -   , * , 73 , -   , 7 ,
RY9, Hounslow and Richmond Community Healthcare NHS Trust (RY9) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 377 , -   , -   , -   ,
NTX19, Huddersfield Hospital - The One Health Group (NTX19) , -   , -   , -   , -   , -   , * , -   , -   , * , -   , * , -   , 184 , -   , -   , -   , -   , * , -   , -   , -   ,
RWA, Hull and East Yorkshire Hospitals NHS Trust (RWA) ," 3,314 "," 24,198 "," 2,936 "," 2,344 ", 985 ," 3,998 "," 6,934 ", 925 ," 11,039 "," 10,219 "," 21,474 "," 3,427 "," 11,254 "," 8,696 "," 7,958 "," 3,582 ", 850 ," 11,603 "," 11,150 ", -   ," 6,602 ",
RV9-X, Humber NHS Foundation Trust (RV9-X) , 97 , 198 , 20 , 13 , 992 , 52 , -   , * , 205 , 122 , 39 , 51 , 75 , 70 , * , -   , -   , 444 , 300 , -   , 17 ,
RYJ, Imperial College Healthcare NHS Trust (RYJ) ," 3,381 "," 36,441 "," 7,463 "," 5,021 ", 386 ," 10,841 "," 5,597 ", 593 ," 13,197 "," 8,309 "," 17,389 "," 2,393 "," 9,702 "," 11,967 "," 23,382 "," 3,828 "," 1,080 "," 14,347 "," 8,879 ", -   ," 24,498 ",
RGQ, Ipswich Hospital NHS Trust (RGQ) ," 2,231 "," 20,227 "," 1,975 "," 2,275 ", 594 ," 2,515 "," 3,848 ", 460 ," 5,717 "," 6,051 "," 11,362 "," 1,293 "," 7,273 "," 5,086 "," 7,802 "," 2,173 ", * ," 9,673 "," 4,797 ", * ," 4,589 ",
R1F-X, Isle of Wight NHS Trust (R1F-X) ," 1,058 "," 1,741 ", 437 , 344 , 547 , 572 ," 1,597 ", 154 ," 1,602 "," 2,172 "," 4,688 ", 508 ," 2,158 "," 1,706 "," 1,510 ", 386 , 75 ," 3,396 "," 1,754 ", -   ," 1,696 ",
RGP, James Paget University Hospitals NHS Foundation Trust (RGP) ," 1,691 "," 6,281 "," 1,784 ", 879 , 298 , 843 ," 7,493 ", 327 ," 3,111 "," 4,543 "," 7,536 "," 2,236 "," 6,176 "," 3,393 "," 3,345 ", 774 , 269 ," 5,880 "," 2,979 ", -   ," 2,696 ",
RXY, Kent and Medway NHS and Social Care Partnership Trust (RXY) , -   , -   , -   , -   , 392 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ," 2,923 ", -   , -   , * ,
RYY, Kent Community Health NHS Foundation Trust (RYY) , 20 , 55 , 29 , 11 , 25 , 29 , -   , -   , 123 , 131 , 34 , 52 , 103 , 82 , -   , * , -   ," 1,201 ", 507 , -   , * ,
RNQ, Kettering General Hospital NHS Foundation Trust (RNQ) ," 2,160 "," 9,257 "," 1,924 "," 1,755 ", 627 ," 1,149 "," 5,483 ", 491 ," 5,981 "," 6,958 "," 13,500 "," 1,856 "," 4,233 "," 5,398 "," 8,698 "," 1,286 ", 354 ," 10,415 "," 4,749 ", -   ," 7,061 ",
ADP02, Kims Hospital (Newnham Court) (ADP02) , * , 41 , -   , 10 , * , 76 , 60 , 11 , * , 26 , 397 , 111 ," 1,560 ", 243 , -   , -   , * , 104 , 18 , -   , 14 ,
RJZ, King's College Hospital NHS Foundation Trust (RJZ) ," 3,514 "," 24,907 "," 6,720 "," 5,994 "," 1,360 "," 6,288 "," 8,683 ", 460 ," 12,882 "," 9,188 "," 34,449 "," 4,933 "," 14,558 "," 11,119 "," 18,117 "," 4,571 "," 1,475 "," 16,286 "," 11,079 ", -   ," 12,383 ",
RAX, Kingston Hospital NHS Foundation Trust (RAX) ," 1,781 "," 3,179 ", 748 , 729 , 336 , 904 ," 2,777 ", 284 ," 2,869 "," 4,802 "," 9,288 "," 1,463 "," 5,211 "," 3,997 "," 15,808 "," 2,677 ", 154 ," 6,816 "," 3,374 ", -   ," 7,777 ",
RW5, Lancashire Care NHS Foundation Trust (RW5) , 6 , 22 , -   , * ," 2,600 ", 69 , -   , * , 20 , 41 , 6 , 11 , 279 , 23 , -   , -   , -   , 213 , 41 , -   , 10 ,
RXN, Lancashire Teaching Hospitals NHS Foundation Trust (RXN) ," 3,354 "," 12,116 "," 2,378 "," 1,936 ", 477 ," 3,561 "," 3,211 ", 712 ," 7,508 "," 8,726 "," 13,973 "," 3,418 "," 9,370 "," 8,057 "," 14,996 "," 1,382 ", 602 ," 13,002 "," 10,174 ", -   ," 10,588 ",
NXP20, Lawn Medical Centre (NXP20) , -   , -   , -   , -   , -   , 37 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , -   , -   , -   ,
RGD, Leeds and York Partnership NHS Foundation Trust (RGD) , -   , -   , -   , * ," 1,447 ", 59 , -   , -   , -   , -   , -   , * , * , -   , -   , -   , -   , 66 , -   , -   , 364 ,
RY6, Leeds Community Healthcare NHS Trust (RY6) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 725 , -   , -   , -   ,
RR8, Leeds Teaching Hospitals NHS Trust (RR8) ," 3,875 "," 20,067 "," 2,824 "," 4,464 "," 1,616 "," 4,008 "," 9,816 "," 1,041 "," 15,326 "," 13,165 "," 25,220 "," 5,503 "," 20,159 "," 11,922 "," 12,931 "," 3,406 "," 3,411 "," 19,514 "," 17,924 ", -   ," 13,026 ",
ACG07," Leicester, Leicestershire & Rutland Cataract Service (ACG07) ", -   , -   , -   , -   , -   , -   ," 1,459 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   ,
RT5, Leicestershire Partnership NHS Trust (RT5) , 78 , 193 , 7 , 69 ," 1,325 ", 185 , * , * , 678 , 584 , 241 , 131 , 497 , 304 , -   , -   , -   , 283 , 904 , -   , 558 ,
RJ2, Lewisham and Greenwich NHS Trust (RJ2) ," 4,995 "," 15,052 "," 3,681 "," 2,208 ", 596 ," 1,934 ", 192 , 804 ," 4,413 "," 10,313 "," 15,210 "," 3,079 "," 7,580 "," 6,485 "," 18,004 "," 4,950 ", 537 ," 13,794 "," 6,431 ", -   ," 13,652 ",
RY5, Lincolnshire Community Health Services NHS Trust (RY5) , 30 , 320 , 320 , 165 , 30 , 40 , * , * , 127 , 165 , 59 , 50 , 47 , 103 , -   , -   , -   , 160 , 185 , -   , 66 ,
RP7, Lincolnshire Partnership NHS Foundation Trust (RP7) , -   , -   , -   , -   , 784 , 72 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 21 , * , -   , 10 ,
NAM04, Liskeard Community Hospital (NAM04) , -   , * , -   , -   , -   , 16 , -   , -   , -   , -   , 18 , -   , 7 , -   , -   , -   , -   , 14 , -   , -   , * ,
RY1, Liverpool Community Health NHS Trust (RY1) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 394 , -   , -   , -   ,
RBQ, Liverpool Heart and Chest Hospital NHS Foundation Trust (RBQ) , 12 ," 1,109 ", 69 , 336 , * , 12 , -   , -   ," 10,035 ", 636 , 61 , * , 17 , * , * , -   , 105 , 849 , 252 , -   , 178 ,
REP, Liverpool Women's NHS Foundation Trust (REP) , 25 ," 1,532 ", 53 , 6 , * , * , 13 , * , 6 , 8 , 49 , 43 , 22 ," 5,816 "," 24,681 "," 2,800 ", 373 , 586 , 213 , -   ," 8,522 ",
NR501, Livewell Southwest (NR501) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 767 , -   , -   , -   ,
NDAJ0, Livingstone Community Hospital (NDAJ0) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 39 , -   , -   , -   ,
R1K, London North West Healthcare NHS Trust (R1K) ," 4,620 "," 17,661 "," 4,156 "," 2,905 ", 792 ," 1,605 "," 4,387 ", 847 ," 9,037 "," 10,412 "," 28,235 "," 4,728 "," 7,624 "," 10,416 "," 12,458 "," 2,252 ", 369 ," 19,934 "," 9,066 ", -   ," 10,652 ",
RC9, Luton and Dunstable University Hospital NHS Foundation Trust (RC9) ," 3,360 "," 9,956 "," 2,380 "," 2,298 ", 631 ," 1,663 "," 3,472 ", 646 ," 4,803 "," 7,842 "," 14,231 "," 1,748 "," 5,201 "," 4,799 "," 14,519 "," 2,707 ", 671 ," 13,486 "," 5,327 ", -   ," 9,074 ",
RWF, Maidstone and Tunbridge Wells NHS Trust (RWF) ," 2,191 "," 6,539 "," 1,677 "," 1,819 ", 300 ," 1,617 "," 6,259 ", 575 ," 5,035 "," 6,844 "," 16,911 "," 1,701 "," 8,627 "," 6,546 "," 8,002 "," 2,257 ", 401 ," 15,104 "," 8,787 ", -   ," 8,796 ",
RPA, Medway NHS Foundation Trust (RPA) ," 2,511 "," 5,906 "," 1,749 "," 1,281 ", 474 ," 1,472 ", 92 , 711 ," 4,913 "," 7,013 "," 10,459 "," 1,533 "," 6,042 "," 5,610 "," 6,327 "," 2,155 ", 370 ," 8,724 "," 4,615 ", -   ," 5,293 ",
NAM02, Meneage Street Surgery (NAM02) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * ,
RW4, Mersey Care NHS Foundation Trust (RW4) , -   , -   , -   , -   ," 2,318 ", 51 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 66 , -   , -   , 433 ,
