"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2012-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2012-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT423, BMI - The Manor Hospital , -   , 15 , * , -   , -   , -   , -   , -   , -   , -   , 64 , 9 , 58 , 41 , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT432, BMI - The Sandringham Hospital , -   , 7 , -   , -   , -   , -   , 316 , -   , * , -   , 118 , * , 590 , 108 , -   , -   , * , 35 , 10 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT490, BMI - Southend Private Hospital , * , 53 , -   , * , -   , * , 512 , * , 8 , 8 , 21 , 61 , 24 , 40 , -   , -   , -   , * , * , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT446, BMI - St Edmunds Hospital , * , 7 , * , -   , -   , 29 , 143 , -   , * , -   , 95 , -   , 552 , 93 , -   , -   , * , 13 , * , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNQ01, Braintree Community Hospital , * , 83 , 109 , 11 , 8 , 157 , 137 , 6 , 27 , 77 , 249 , 75 , 361 , 108 , -   , -   , * , 184 , 53 , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT, Cambridge University Hospitals NHS Foundation Trust ," 2,164 "," 28,574 "," 2,802 "," 2,243 ", 647 ," 4,353 "," 4,781 "," 1,094 "," 6,344 "," 6,202 "," 14,254 "," 1,452 "," 8,637 "," 6,543 "," 8,887 ", 804 ," 1,747 "," 9,657 "," 9,580 "," 8,581 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT1, Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , -   , -   ," 1,319 ", 60 , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   , 476 , 9 , 506 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYV, Cambridgeshire Community Services NHS Trust , 688 , 285 , 61 , 83 , 28 , 85 , 26 , * , 83 , 875 , 390 , 70 , 103 , 116 , * , 564 , 31 ," 1,173 ", 333 , 98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ108, Clacton Hospital , * , -   , -   , * , * , * , -   , -   , * , 12 , * , * , * , 9 , -   , -   , -   , 34 , 16 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW931, Clinicenta Surgicentre , 14 , 153 , * , 59 , * , 279 ," 7,478 ", 160 , 189 , 568 , 518 , 114 ," 2,769 ", 528 , 209 , -   , 19 , 199 , 214 , 188 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDE, Colchester Hospital University NHS Foundation Trust ," 1,739 "," 6,554 ", 848 , 720 , 435 ," 1,199 "," 2,880 ", 514 ," 5,227 "," 4,906 "," 10,887 "," 1,632 "," 5,891 "," 6,049 "," 8,740 "," 1,459 ", 275 ," 9,556 "," 5,063 "," 5,959 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH, East and North Hertfordshire NHS Trust ," 1,964 "," 12,591 ", 793 , 932 , 363 ," 1,005 ", 247 , 465 ," 4,845 "," 4,872 "," 9,093 "," 1,111 "," 2,338 "," 5,025 "," 6,160 ", 624 , 237 ," 11,743 "," 6,434 "," 9,085 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC06, Fitzwilliam Hospital , 56 , 61 , 19 , -   , * , 81 , 175 , 19 , 108 , 117 , 800 , 31 ," 2,753 ", 267 , * , -   , 22 , 149 , 54 , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ106, Fryatt Hospital , -   , * , -   , * , -   , -   , -   , -   , * , * , * , * , * , * , -   , -   , -   , 12 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PR, Great Yarmouth and Waveney PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 263 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQA34, Halstead Clinic , -   , * , -   , * , * , -   , -   , -   , * , * , * , * , -   , * , -   , -   , -   , 9 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY4, Hertfordshire Community NHS Trust , 13 , 6 , * , 7 , -   , 17 , -   , -   , 154 , 54 , 22 , 19 , 38 , 34 , -   , -   , * ," 3,001 ", 228 , 342 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWR, Hertfordshire Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,350 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 412 , -   , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ-X, Hinchingbrooke Health Care NHS Trust , 790 ," 5,815 ", 802 , 620 , 174 , 407 ," 2,841 ", 287 ," 1,771 "," 2,049 "," 4,648 ", 755 ," 3,144 "," 2,132 "," 3,226 ", 477 , 102 ," 3,599 "," 1,842 "," 3,329 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGQ, Ipswich Hospital NHS Trust ," 1,947 "," 14,020 "," 1,751 "," 1,747 ", 321 ," 2,077 "," 2,384 ", 543 ," 4,765 "," 4,663 "," 10,277 "," 1,098 "," 6,533 "," 4,347 "," 7,688 "," 2,447 ", 271 ," 8,917 "," 4,460 "," 5,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGP, James Paget University Hospitals NHS Foundation Trust ," 1,305 "," 6,231 "," 1,047 ", 817 , 318 , 960 ," 5,554 ", 405 ," 2,951 "," 3,655 "," 7,378 "," 1,585 "," 4,265 "," 3,915 "," 4,804 ", 629 , 163 ," 6,092 "," 3,555 "," 4,072 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC9, Luton and Dunstable Hospital NHS Foundation Trust ," 2,805 "," 7,414 "," 1,510 "," 1,507 ", 406 ," 1,327 "," 2,524 ", 663 ," 3,800 "," 6,336 "," 10,802 "," 1,272 "," 4,363 "," 4,458 "," 10,637 "," 1,517 ", 571 ," 10,660 "," 4,831 "," 9,273 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ8, Mid Essex Hospital Services NHS Trust ," 1,403 "," 13,598 "," 1,257 ", 589 , 221 ," 2,016 "," 2,207 ", 557 ," 4,293 "," 4,117 "," 7,024 "," 3,179 "," 6,791 "," 4,439 "," 6,119 "," 1,467 ", 816 ," 7,606 "," 10,001 "," 5,854 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PX, Mid Essex PCT , * , 9 , 45 , * , * , 11 , * , -   , 9 , 24 , 8 , 11 , 15 , 29 , -   , -   , -   , 101 , 18 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM1, Norfolk and Norwich University Hospitals NHS Foundation Trust ," 2,916 "," 29,721 "," 2,744 "," 2,123 ", 696 ," 3,383 "," 11,630 ", 798 ," 10,612 "," 8,033 "," 17,874 "," 3,269 "," 10,367 "," 7,796 "," 13,678 "," 1,492 "," 1,104 "," 13,382 "," 9,888 "," 12,322 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY-X, Norfolk and Suffolk NHS Foundation Trust , -   , * , -   , -   ," 2,737 ", 72 , -   , -   , * , * , * , -   , * , -   , -   , -   , * , 273 , 7 , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY3, Norfolk Community Health and Care NHS Trust , 35 , 469 , 44 , 46 , 46 , 138 , * , * , 577 , 263 , 110 , 65 , 228 , 198 , -   , -   , 24 , 251 , 689 , 839 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD, North Essex Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,845 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 236 , -   , 76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT204," Nuffield Health, Brentwood Hospital ", -   , 32 , -   , * , -   , 16 , 22 , -   , -   , -   , 29 , * , 357 , 240 , -   , -   , * , 7 , 6 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT209," Nuffield Health, Cambridge Hospital ", * , 9 , -   , -   , -   , 16 , 134 , 6 , 8 , 15 , 17 , * , 318 , 32 , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT222," Nuffield Health, Ipswich Hospital ", * , 14 , * , -   , -   , 21 ," 1,104 ", -   , 22 , -   , 163 , * , 67 , 15 , -   , -   , -   , 9 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC13, Oaks Hospital , 33 , 87 , 29 , 10 , * , 59 , 268 , 15 , 181 , 106 ," 1,276 ", 67 ," 1,030 ", 570 , * , -   , 11 , 180 , 18 , 75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM, Papworth Hospital NHS Foundation Trust , 55 , 786 , 179 , 697 , 36 ," 4,157 ", -   , -   ," 10,410 "," 4,085 ", 11 , * , 113 , * , * , -   , 352 ," 1,144 ", 324 ," 1,249 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGN, Peterborough and Stamford Hospitals NHS Foundation Trust ," 2,408 "," 9,835 "," 1,510 ", 777 , 337 ," 1,305 "," 2,088 ", 517 ," 5,971 "," 5,505 "," 9,388 "," 1,899 "," 6,621 "," 5,449 "," 6,298 "," 1,391 ", 410 ," 11,231 "," 6,149 "," 6,844 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC15, Pinehill Hospital , 36 , 104 , 8 , * , * , 112 , 483 , 36 , 121 , 138 , 731 , 32 ," 1,044 ", 334 , -   , -   , * , 105 , 21 , 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC19, Rivers Hospital , 69 , 137 , 33 , 9 , * , 41 , 800 , 33 , 163 , 200 ," 2,297 ", 47 ," 1,409 ", 969 , * , -   , 10 , 282 , 27 , 129 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWN, South Essex Partnership University NHS Foundation Trust , 7 , 9 , * , 8 ," 2,265 ", 212 , * , * , 88 , 72 , 19 , 25 , 48 , 80 , -   , -   , -   , 569 , 135 , 108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJ, Southend University Hospital NHS Foundation Trust ," 1,471 "," 16,365 "," 1,705 "," 1,156 ", 456 ," 1,474 "," 4,553 ", 379 ," 5,500 "," 4,154 "," 8,697 "," 1,700 "," 7,816 "," 5,627 "," 7,437 ", 893 , 251 ," 10,632 "," 4,872 "," 6,585 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT315, Spire Bushey Hospital , -   , 12 , -   , -   , -   , 15 , -   , * , 24 , 15 , 59 , 9 , 236 , 45 , -   , -   , * , 9 , 6 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT317, Spire Cambridge Lea Hospital , -   , 17 , -   , * , -   , * , -   , -   , -   , -   , 58 , 9 , 739 , -   , -   , -   , -   , -   , 14 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT316, Spire Harpenden Hospital , -   , 30 , -   , -   , -   , 12 , 307 , 7 , -   , 56 , 50 , 25 , 491 , 51 , -   , -   , * , * , 23 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT319, Spire Hartswood Hospital , * , 22 , -   , * , -   , 57 , 95 , 27 , 7 , 127 , 63 , 48 , 618 , 94 , -   , -   , * , 28 , 9 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT318, Spire Norwich Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 884 , -   , -   , -   , -   , -   , 16 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
