"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP15, North East London Treatment Centre Care Uk , 11 , 292 , 15 , * , * , 330 ," 2,198 ", * , 411 , 96 ," 2,134 ", 274 ," 2,517 ", * , -   , -   , * , 207 , 31 , 53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP, North Middlesex University Hospital NHS Trust , 961 ," 8,038 "," 2,520 ", 679 , 302 , 537 ," 1,961 ", 37 ," 2,570 "," 1,824 "," 5,243 ", 699 ," 2,736 "," 2,947 "," 5,239 "," 1,222 ", 184 ," 3,411 "," 2,068 "," 4,460 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV8, North West London Hospitals NHS Trust ," 1,707 "," 8,529 "," 2,267 "," 1,787 ", 493 ," 1,333 "," 1,789 ", 644 ," 6,943 "," 6,022 "," 16,093 "," 2,082 "," 6,268 "," 7,471 "," 10,641 "," 1,975 ", 301 ," 13,081 "," 6,759 "," 8,999 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPG, Oxleas NHS Foundation Trust , -   , * , -   , * ," 2,476 ", 48 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , 153 , * , 41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M6, Richmond and Twickenham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 393 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT3, Royal Brompton and Harefield NHS Foundation Trust , 116 ," 1,397 "," 1,511 "," 2,076 ", * ," 3,042 ", * , * ," 10,894 "," 6,856 ", 94 , 56 , 186 , 23 , * , 11 ," 2,117 "," 2,962 ", 709 ," 1,051 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL, Royal Free London NHS Foundation Trust ," 1,434 "," 6,106 "," 2,095 "," 1,319 ", 462 ," 2,469 "," 4,308 "," 1,351 "," 5,667 "," 5,751 "," 8,676 "," 2,619 "," 4,752 "," 3,702 "," 4,599 ", 453 ," 1,304 "," 8,814 "," 7,171 "," 7,170 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAN, Royal National Orthopaedic Hospital NHS Trust , * ," 1,196 ", 14 , 16 , -   ," 1,115 ", -   , -   , 7 , 6 , * , 62 ," 9,790 ", 267 , -   , 78 , 509 , 767 ," 1,600 ", 148 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5, South London and Maudsley NHS Foundation Trust , 7 , -   , -   , * ," 6,395 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 431 , -   , 209 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYQ, South London Healthcare NHS Trust ," 1,691 "," 19,480 "," 2,958 "," 2,727 ", 810 ," 2,713 "," 6,839 ", 529 ," 7,324 "," 7,066 "," 21,088 "," 3,757 "," 12,956 "," 13,461 "," 18,019 "," 2,862 ", 403 ," 19,294 "," 8,097 "," 18,483 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQY, South West London and St George's Mental Health NHS Trust , -   , -   , * , -   ," 2,184 ", 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 59 , -   , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT314, Spire Roding Hospital , * , 66 , -   , * , * , 7 , -   , 41 , 61 , 197 , 346 , 48 , 561 , 288 , -   , -   , * , 37 , 10 , 44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ7, St George's Healthcare NHS Trust ," 1,197 "," 7,909 "," 1,313 "," 1,678 ", 672 ," 4,173 ", 215 , 722 ," 11,076 "," 5,153 "," 10,509 "," 1,895 "," 4,914 "," 5,961 "," 10,484 ", 705 ," 1,466 "," 9,629 "," 9,150 "," 9,931 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS, The Hillingdon Hospitals NHS Foundation Trust , 858 ," 3,861 "," 1,110 ", 838 , 588 ," 1,146 "," 2,062 ", 83 ," 2,377 "," 2,675 "," 7,030 "," 1,066 "," 6,585 "," 4,038 "," 6,023 "," 1,263 ", 179 ," 8,256 "," 3,667 "," 4,444 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPY, The Royal Marsden NHS Foundation Trust , 209 ," 15,983 "," 1,331 ", 157 , * , 33 , 6 , * , 98 , 258 ," 1,020 ", 185 , 76 , 501 , -   , -   , 12 , 785 , 249 ," 2,323 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKE, The Whittington Hospital NHS Trust , 620 ," 4,058 "," 2,935 ", 791 , 496 , 605 , 88 , 72 ," 1,835 "," 2,353 "," 6,150 "," 1,110 "," 4,148 "," 3,906 "," 8,794 "," 1,092 ", 163 ," 5,285 "," 3,087 "," 5,683 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C4, Tower Hamlets PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 124 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRV, University College London Hospitals NHS Foundation Trust ," 1,542 "," 29,749 "," 4,452 "," 1,913 ", 844 ," 11,994 ", 716 , 95 ," 8,586 "," 2,493 "," 15,537 "," 1,243 "," 8,006 "," 6,793 "," 8,897 "," 2,891 "," 1,526 "," 9,178 "," 4,686 "," 7,762 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5LG, Wandsworth PCT , * , 15 , 8 , 33 , * , 25 , -   , -   , 120 , 40 , 29 , 11 , 44 , 32 , -   , -   , * , 37 , 161 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKL, West London Mental Health NHS Trust , -   , -   , -   , * , 725 , * , -   , -   , 15 , 11 , * , * , * , -   , -   , -   , -   , 140 , -   , 197 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFW, West Middlesex University Hospital NHS Trust , 773 ," 1,259 ", 588 , 539 , 523 , 731 , 57 , 289 ," 1,812 "," 3,044 "," 5,789 "," 1,023 "," 2,762 "," 2,567 "," 6,887 "," 1,031 ", 202 ," 6,359 "," 3,620 "," 4,854 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGC, Whipps Cross University Hospital NHS Trust ," 1,024 "," 6,422 "," 1,697 "," 1,101 "," 1,025 "," 1,020 "," 3,605 ", 664 ," 4,180 "," 5,121 "," 10,754 "," 1,540 "," 7,212 "," 5,683 "," 7,688 "," 1,743 ", 316 ," 12,073 "," 6,085 "," 6,884 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30, NORTH EAST STRATEGIC HEALTH AUTHORITY ," 15,258 "," 125,676 "," 15,149 "," 17,028 "," 9,529 "," 22,281 "," 42,564 "," 5,724 "," 58,958 "," 52,119 "," 117,864 "," 21,728 "," 73,866 "," 54,203 "," 61,567 "," 10,186 "," 6,389 "," 108,916 "," 63,488 "," 68,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT457, BMI Woodlands Hospital , * , 92 , * , * , * , 87 , 128 , * , 113 , 40 , 341 , 38 , 979 , 598 , -   , -   , 6 , 122 , 23 , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLN, City Hospitals Sunderland NHS Foundation Trust ," 1,628 "," 13,783 "," 1,455 "," 3,810 ", 930 ," 2,922 "," 17,156 "," 1,275 "," 7,422 "," 7,275 "," 12,575 "," 2,027 "," 6,971 "," 8,766 "," 7,134 ", 814 , 463 ," 12,076 "," 7,348 "," 8,906 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC29, Cobalt NHS Treatment Centre , 59 , 416 , 31 , -   , * , 42 , 8 , * , 221 , * ," 1,712 ", 624 , 224 , * , * , -   , 68 , 299 , 12 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXP, County Durham and Darlington NHS Foundation Trust ," 2,674 "," 14,120 "," 2,235 "," 2,672 ", 627 ," 2,096 "," 5,764 ", 758 ," 7,541 "," 9,005 "," 16,839 "," 4,214 "," 8,479 "," 6,099 "," 12,526 "," 2,371 ", 531 ," 16,440 "," 10,854 "," 9,058 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5J9, Darlington PCT , 16 , 128 , * , 18 , 11 , 42 , * , * , 110 , 109 , 49 , 36 , 96 , 83 , -   , -   , -   , 202 , 219 , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR7-X, Gateshead Health NHS Foundation Trust ," 1,493 "," 8,263 "," 1,094 ", 836 , 432 , 869 , 30 , 101 ," 3,248 "," 4,140 "," 7,892 ", 994 ," 5,289 "," 3,379 "," 2,881 ", 927 , 86 ," 8,429 "," 3,747 "," 3,773 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVW, North Tees and Hartlepool NHS Foundation Trust ," 1,496 "," 10,832 "," 1,626 "," 1,082 ", 442 ," 1,124 ", 56 , 109 ," 4,239 "," 4,623 "," 13,516 "," 1,098 "," 7,425 "," 5,814 "," 6,812 ", 902 , 153 ," 10,638 "," 5,383 "," 6,012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX4," Northumberland, Tyne and Wear NHS Foundation Trust ", -   , * , -   , * ," 1,612 ", 13 , -   , -   , * , -   , -   , -   , * , * , -   , -   , * ," 1,763 ", * , 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTF, Northumbria Healthcare NHS Foundation Trust ," 2,245 "," 14,185 "," 2,022 "," 1,908 "," 1,550 "," 2,689 ", 155 , 193 ," 7,431 "," 6,739 "," 17,664 "," 1,761 "," 11,914 "," 7,354 "," 7,467 "," 1,215 ", 174 ," 14,293 "," 9,355 "," 8,014 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT229," Nuffield Health, Newcastle-Upon-Tyne Hospital ", * , 8 , -   , -   , -   , * , -   , -   , -   , -   , 119 , -   , 138 , -   , -   , -   , -   , 35 , * , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT237," Nuffield Health, Tees Hospital ", 13 , 229 , 7 , 18 , -   , 78 ," 1,100 ", 6 , 10 , -   , 426 , 134 ," 1,028 ", -   , * , -   , * , 146 , 35 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTR, South Tees Hospitals NHS Foundation Trust ," 2,633 "," 21,914 "," 2,305 "," 2,481 ", 628 ," 4,461 "," 6,729 "," 1,275 "," 10,369 "," 8,335 "," 16,405 "," 3,213 "," 11,548 "," 9,268 "," 10,781 "," 1,445 ", 911 ," 16,734 "," 10,868 "," 9,896 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE9, South Tyneside NHS Foundation Trust , 560 ," 5,321 ", 798 , 636 , 234 , 530 , 26 , 40 ," 2,574 "," 2,412 "," 6,376 ", 794 ," 2,325 "," 1,471 "," 3,947 ", 527 , 65 ," 4,918 "," 2,372 "," 2,353 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT333, Spire Washington Hospital , 8 , 80 , * , * , -   , 119 , -   , 12 , 162 , 55 , 344 , 85 ," 1,197 ", 125 , -   , -   , 9 , 29 , 28 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5KL, Sunderland Teaching PCT , -   , 55 , -   , -   , -   , * , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX3," Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , -   , -   , * ," 2,395 ", 194 , * , -   , -   , * , * , -   , * , 6 , -   , -   , -   , 176 , 6 ," 2,575 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC35, Tees Valley Treatment Centre , 16 , 441 , 70 , * , * , 163 , * , 10 , 340 , * ," 1,756 ", 384 , 362 , 332 , -   , -   , 7 , 386 , * , 138 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
