"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2019-20)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RXP, County Durham And Darlington NHS Foundation Trust - (RXP) ," 4,640 "," 14,085 "," 1,885 "," 2,430 ", 785 ," 1,540 "," 4,515 ", 725 ," 6,055 "," 10,910 "," 10,405 "," 4,410 "," 8,330 "," 4,940 "," 8,590 "," 1,620 ", 255 ," 11,905 "," 10,120 ", 50 ," 5,050 ",
RYG, Coventry And Warwickshire Partnership NHS Trust - (RYG) , -   , -   , -   , -   , 900 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,470 ", -   , -   , * ,
RJ6, Croydon Health Services NHS Trust - (RJ6) ," 2,805 "," 4,560 "," 1,280 "," 1,460 ", 370 , 745 , 160 , 250 ," 3,075 "," 4,270 "," 11,105 "," 1,240 "," 3,800 "," 5,065 "," 5,195 "," 1,475 ", 140 ," 6,340 "," 3,200 ", 195 ," 3,915 ",
RX4," Cumbria, Northumberland, Tyne And Wear NHS Foundation Trust - (RX4) ", -   , * , -   , * ," 1,115 ", 75 , -   , -   , 20 , * , -   , -   , * , -   , * , -   , -   , 425 , 35 , -   , * ,
NQ738, Darent Valley Hospital - (NQ738) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 105 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RN7-X, Dartford And Gravesham NHS Trust - (RN7-X) ," 3,275 "," 11,960 "," 2,665 "," 1,750 ", 500 ," 1,075 ", 155 , 145 ," 3,675 "," 6,340 "," 13,305 "," 2,265 "," 6,015 "," 6,470 "," 7,335 "," 1,025 ", 180 ," 10,805 "," 3,730 ", 60 ," 6,735 ",
RY8, Derbyshire Community Health Services NHS Foundation Trust - (RY8) , 30 , 205 , * , 55 , 70 , 180 , 760 , 20 , 185 , 220 , 130 , 275 ," 1,155 ", 135 , -   , -   , * , 290 , 420 , * ," 1,170 ",
RXM, Derbyshire Healthcare NHS Foundation Trust - (RXM) , -   , -   , -   , -   ," 1,440 ", 50 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 35 , -   , -   , * ,
NR505, Derriford Hospital Clinic - (NR505) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   , 850 , -   , -   , -   ,
NTPH3, Devizes NHS Treatment Centre - (NTPH3) , 10 , 50 , 20 , * , * , * , 500 , * , -   , 30 ," 2,830 ", 15 , 130 , 120 , -   , -   , * , 225 , 190 , -   , 85 ,
RP5, Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust - (RP5) ," 3,790 "," 9,495 "," 2,710 "," 2,825 ", 740 ," 1,835 "," 9,535 ", 680 ," 6,890 "," 8,770 "," 19,075 "," 2,470 "," 11,375 "," 6,810 "," 8,575 "," 2,335 ", 215 ," 11,380 "," 8,255 ", 55 ," 5,815 ",
NNE02, Dorking General Hospital - (NNE02) , 10 , 45 , 10 , -   , -   , 55 , 125 , -   , 15 , -   , 425 , * , 695 , 70 , -   , -   , -   , 115 , 25 , -   , 30 ,
RBD, Dorset County Hospital NHS Foundation Trust - (RBD) ," 1,235 "," 4,105 "," 1,465 ", 900 , 345 , 955 ," 4,815 ", 285 ," 3,325 "," 3,530 "," 7,725 ", 990 ," 3,130 "," 4,205 "," 2,485 ", 455 , 130 ," 6,290 "," 4,245 ", 10 ," 3,630 ",
RDY, Dorset Healthcare University NHS Foundation Trust - (RDY) , 50 , 315 , 20 , 50 , 895 , 255 , * , -   , 180 , 260 ," 1,410 ", 200 , 365 , 310 , -   , -   , * ," 1,065 ", 950 , -   , 190 ,
NVC04, Duchy Hospital - (NVC04) , * , 45 , 15 , -   , * , 115 , -   , -   , 795 , 35 , 820 , 20 ," 2,290 ", 45 , -   , -   , 20 , 95 , 95 , -   , 65 ,
RWH, East And North Hertfordshire NHS Trust - (RWH) ," 2,465 "," 34,145 "," 2,425 "," 3,080 ", 510 ," 2,105 "," 3,015 ", 830 ," 6,460 "," 8,585 "," 15,280 "," 2,115 "," 7,400 "," 7,215 "," 7,515 "," 1,605 ", 400 ," 7,650 "," 10,875 ", 75 ," 9,225 ",
RJN, East Cheshire NHS Trust - (RJN) ," 1,205 "," 3,075 ", 420 , 405 , 270 , 345 ," 3,965 ", 175 ," 1,365 "," 3,365 "," 6,635 ", 620 ," 1,615 "," 1,680 "," 2,010 ", 905 , 60 ," 2,555 "," 2,330 ", 15 ," 1,880 ",
RVV, East Kent Hospitals University NHS Foundation Trust - (RVV) ," 4,130 "," 11,545 "," 3,045 "," 2,640 "," 1,720 "," 2,485 "," 4,545 ", 935 ," 11,010 "," 12,660 "," 23,670 "," 4,210 "," 13,315 "," 14,175 "," 9,805 "," 1,530 ", 465 ," 21,225 "," 15,075 ", 80 ," 11,185 ",
RXR, East Lancashire Hospitals NHS Trust - (RXR) ," 5,520 "," 8,825 "," 4,325 "," 2,850 ", 945 ," 2,080 "," 3,750 ", 995 ," 8,190 "," 13,690 "," 23,570 "," 4,060 "," 8,895 "," 8,920 "," 9,685 "," 2,670 ", 525 ," 18,615 "," 9,030 ", 50 ," 8,570 ",
RWK, East London NHS Foundation Trust - (RWK) , -   , -   , * , * ," 5,785 ", 40 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 615 , -   , -   , 90 ,
RDE, East Suffolk And North Essex NHS Foundation Trust - (RDE) ," 6,120 "," 39,800 "," 5,935 "," 3,720 "," 1,335 "," 4,230 "," 8,800 ", 940 ," 11,870 "," 13,860 "," 24,330 "," 3,330 "," 11,610 "," 11,720 "," 13,040 "," 4,640 ", 570 ," 19,085 "," 11,045 ", 75 ," 9,150 ",
RXC, East Sussex Healthcare NHS Trust - (RXC) ," 4,695 "," 19,200 "," 3,480 "," 2,145 ", 555 ," 1,910 "," 4,450 ", 450 ," 7,470 "," 7,145 "," 15,710 "," 2,000 "," 4,815 "," 5,280 "," 4,505 ", 905 , 235 ," 13,115 "," 7,830 ", 45 ," 4,290 ",
NAX03, Ecch Beccles Hospital - (NAX03) , * , 95 , * , * , * , 10 , -   , -   , 15 , 10 , 15 , 15 , 25 , 15 , -   , -   , -   , 55 , 75 , -   , * ,
NTPH2, Emersons Green NHS Treatment Centre - (NTPH2) , 30 , 160 , 130 , * , * , 295 , 920 , 10 , * , 130 ," 5,940 ", 60 ," 1,465 ", 645 , -   , -   , 10 , 565 , 145 , -   , 160 ,
RVR-X, Epsom And St Helier University Hospitals NHS Trust - (RVR-X) ," 3,080 "," 4,185 "," 1,935 "," 1,520 ", 785 ," 1,490 "," 4,100 ", 385 ," 5,320 "," 6,740 "," 16,660 "," 2,280 "," 11,605 "," 8,070 "," 6,470 "," 2,520 ", 365 ," 12,105 "," 7,645 ", 130 ," 5,065 ",
NVM03, Epsom Day Surgery (Epsom Square Clinics) - (NVM03) , -   , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NVM02, Epsom Day Surgery Limited - (NVM02) , * , 635 , * , -   , -   , 45 , 455 , -   , 15 , -   , 950 , 75 , 145 , 55 , -   , -   , -   , * , 15 , -   , 10 ,
R1L, Essex Partnership University NHS Foundation Trust - (R1L) , -   , -   , -   , -   ," 2,835 ", 35 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 1,085 ", -   , -   , 105 ,
NVC05, Euxton Hall Hospital - (NVC05) , 105 , 115 , 55 , * , -   , 190 , 10 , 15 , 10 , 110 ," 1,870 ", 145 ," 2,470 ", 610 , * , -   , * , 290 , 50 , -   , 250 ,
NVG01, Fairfield Hospital - (NVG01) , 10 , 100 , 25 , * , -   , 130 , 295 , 25 , 165 , 100 ," 1,110 ", 155 ," 1,085 ", 350 , -   , -   , * , 120 , 45 , -   , 60 ,
NVC06, Fitzwilliam Hospital - (NVC06) , 25 , 50 , 15 , * , 10 , 105 , 940 , 20 , * , 160 ," 1,520 ", 15 ," 3,455 ", 615 , -   , -   , * , 315 , 65 , -   , 40 ,
RDU, Frimley Health NHS Foundation Trust - (RDU) ," 6,015 "," 12,640 "," 3,100 "," 2,525 "," 1,110 "," 2,855 "," 5,860 "," 1,180 "," 12,180 "," 13,875 "," 27,240 "," 6,170 "," 17,070 "," 12,715 "," 13,325 "," 2,400 ", 585 ," 24,590 "," 13,525 ", 240 ," 14,250 ",
NQ106, Fryatt Hospital - (NQ106) , 10 , 40 , -   , * , * , * , -   , -   , 15 , 25 , 10 , 20 , 25 , 10 , -   , -   , -   , 50 , 125 , -   , -   ,
NVC07, Fulwood Hall Hospital - (NVC07) , 50 , 70 , 30 , * , * , 240 ," 1,700 ", 20 , 180 , 235 ," 1,610 ", 55 ," 2,640 ", 620 , -   , -   , 15 , 435 , 55 , -   , 185 ,
RR7-X, Gateshead Health NHS Foundation Trust - (RR7-X) ," 1,775 "," 12,825 "," 1,820 "," 1,650 ", 575 , 700 , 30 , 65 ," 2,410 "," 4,890 "," 9,470 ", 995 ," 4,035 "," 3,610 "," 2,685 "," 1,070 ", 65 ," 6,790 "," 3,755 ", 45 ," 3,760 ",
RLT, George Eliot Hospital NHS Trust - (RLT) ," 1,095 "," 2,770 ", 390 , 485 , 420 , 620 ," 1,400 ", 45 ," 1,935 "," 2,460 "," 7,530 ", 915 ," 3,240 "," 4,015 "," 2,985 ", 590 , 45 ," 4,495 "," 2,305 ", 55 ," 3,420 ",
RTQ, Gloucestershire Health And Care NHS Foundation Trust - (RTQ) , 50 , 55 , * , 15 , 810 , 30 , -   , * , 110 , 160 , 45 , 50 , 80 , 80 , 340 , -   , -   ," 1,035 ", 260 , -   , 20 ,
RTE, Gloucestershire Hospitals NHS Foundation Trust - (RTE) ," 4,350 "," 33,425 "," 3,315 "," 3,265 ", 890 ," 3,380 "," 4,925 ", 840 ," 9,105 "," 11,070 "," 24,205 "," 2,730 "," 8,875 "," 8,015 "," 13,895 "," 1,775 ", 400 ," 11,600 "," 9,475 ", 90 ," 10,370 ",
NWV01, GP Care UK - (NWV01) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 70 , -   , -   , -   ,
NDAH9, Gravesham Community Hospital - (NDAH9) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 185 , -   , -   , -   ,
RP4, Great Ormond Street Hospital For Children NHS Foundation Trust - (RP4) , 205 ," 6,800 "," 1,110 "," 2,815 ", 80 ," 4,555 ", 520 , 410 ," 1,150 "," 1,190 "," 2,315 ", 520 ," 3,980 "," 4,045 ", -   , 230 ," 6,975 "," 2,160 ", 935 , * ," 1,975 ",
RN3, Great Western Hospitals NHS Foundation Trust - (RN3) ," 3,070 "," 15,560 "," 2,065 "," 2,065 "," 1,165 "," 1,815 "," 2,820 ", 480 ," 6,140 "," 7,850 "," 13,905 "," 2,420 "," 6,085 "," 5,405 "," 5,485 "," 1,710 ", 275 ," 11,125 "," 6,835 ", 35 ," 4,845 ",
RJ1-X, Guy's And St Thomas' NHS Foundation Trust - (RJ1-X) ," 2,800 "," 13,410 "," 4,260 "," 3,285 "," 2,470 "," 10,145 "," 5,375 "," 1,215 "," 11,170 "," 9,945 "," 32,870 "," 4,345 "," 14,030 "," 10,965 "," 9,035 "," 1,690 "," 3,915 "," 15,170 "," 10,740 ", 250 ," 12,625 ",
RN5-X, Hampshire Hospitals NHS Foundation Trust - (RN5-X) ," 2,880 "," 6,275 "," 2,385 "," 2,055 ", 960 ," 2,165 "," 6,200 ", 490 ," 5,930 "," 8,370 "," 18,970 "," 2,690 "," 8,680 "," 7,960 "," 7,200 "," 2,435 ", 260 ," 13,025 "," 7,560 ", 95 ," 7,135 ",
RCD, Harrogate And District NHS Foundation Trust - (RCD) ," 1,770 "," 12,195 "," 1,315 "," 1,485 ", 340 , 875 ," 2,020 ", 310 ," 2,660 "," 3,730 "," 11,460 ", 940 ," 3,650 "," 2,960 "," 2,435 ", 650 , 180 ," 5,845 "," 3,110 ", 25 ," 4,865 ",
NXP04, Hathaway Medical Centre - (NXP04) , * , * , -   , -   , -   , 130 , -   , -   , -   , -   , 160 , * , 175 , -   , -   , -   , -   , -   , * , -   , 215 ,
RY4, Hertfordshire Community NHS Trust - (RY4) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,535 ", -   , -   , -   ,
RWR, Hertfordshire Partnership University NHS Foundation Trust - (RWR) , -   , -   , -   , -   ," 1,180 ", 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 345 , -   , -   , -   ,
RQX, Homerton University Hospital NHS Foundation Trust - (RQX) ," 1,890 "," 2,320 "," 3,875 ", 940 , 310 , 585 , 175 , 140 ," 1,770 "," 3,320 "," 13,150 "," 1,235 "," 2,755 "," 2,850 "," 14,095 "," 2,510 ", 275 ," 7,320 "," 2,650 ", 170 ," 7,610 ",
NVC25, Horton NHS Treatment Centre - (NVC25) , -   , * , -   , -   , -   , 300 , -   , -   , -   , -   , -   , 15 ," 2,260 ", * , -   , -   , * , 10 , 60 , -   , 10 ,
RY9, Hounslow And Richmond Community Healthcare NHS Trust - (RY9) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 355 , -   , -   , -   ,
NTX19, Huddersfield Hospital - The One Health Group - (NTX19) , -   , -   , -   , * , * , * , -   , -   , * , -   , -   , -   , 85 , -   , -   , -   , -   , * , -   , -   , * ,
RWA, Hull University Teaching Hospitals NHS Trust - (RWA) ," 3,435 "," 27,615 "," 4,020 "," 2,695 "," 1,140 "," 4,025 "," 6,310 ", 730 ," 10,615 "," 11,370 "," 22,880 "," 3,570 "," 9,925 "," 7,830 "," 7,630 "," 3,145 ", 790 ," 8,065 "," 10,835 ", 50 ," 10,140 ",
RV9-X, Humber Teaching NHS Foundation Trust - (RV9-X) , * , 110 , 45 , 15 ," 1,120 ", 40 , -   , -   , 60 , 55 , 20 , 15 , 55 , 20 , -   , -   , -   , 490 , 120 , * , 10 ,
RYJ, Imperial College Healthcare NHS Trust - (RYJ) ," 4,685 "," 39,730 "," 9,075 "," 5,985 ", 310 ," 11,940 "," 6,510 ", 845 ," 13,400 "," 9,130 "," 18,680 "," 3,125 "," 8,950 "," 12,570 "," 29,150 "," 4,480 "," 1,235 "," 14,350 "," 8,780 ", 360 ," 18,625 ",
NY601, Inhealth Pain Management Solutions - (NY601) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 755 , -   , -   , -   , -   , 35 , -   , -   , -   ,
NY62M, Inhealth Pain Management Solutions - Holme Valley Memorial Hospital - (NY62M) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 115 , -   , -   , -   , -   , * , -   , -   , -   ,
NY65M, Inhealth Pain Management Solutions - Johnson Community Hospital - (NY65M) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , -   , -   , -   , -   , 35 , -   , -   , -   ,
NY60T, Inhealth Pain Management Solutions - Longfields Court - (NY60T) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   ,
NY61N," Inhealth Pain Management Solutions - Mobile Unit, Union Street Car Park - (NY61N) ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
NY67L, Inhealth Pain Management Solutions - Royal Toby - (NY67L) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 165 , -   , -   , -   , -   , * , -   , -   , -   ,
NY69L, Inhealth Pain Management Solutions - Salop Leisure - (NY69L) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , 10 , -   , -   , -   ,
NY66M, Inhealth Pain Management Solutions - St Hughes Hospital - (NY66M) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , * , -   , -   , -   ,
NCR01, Isight (Southport) - (NCR01) , -   , -   , -   , -   , -   , * ," 1,720 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   ,
R1F-X, Isle Of Wight NHS Trust - (R1F-X) ," 1,380 "," 6,940 ", 835 , 500 , 395 , 550 ," 1,865 ", 175 ," 1,675 "," 1,955 "," 4,230 ", 550 ," 2,000 "," 1,745 "," 1,320 ", 465 , 45 ," 4,600 "," 2,010 ", 10 ," 1,815 ",
RGP, James Paget University Hospitals NHS Foundation Trust - (RGP) ," 2,155 "," 6,025 "," 1,830 "," 1,300 ", 465 , 755 ," 7,295 ", 230 ," 3,695 "," 4,690 "," 8,025 "," 2,435 "," 5,505 "," 3,395 "," 3,170 ", 655 , 205 ," 7,130 "," 3,150 ", 30 ," 2,500 ",
RXY, Kent And Medway NHS And Social Care Partnership Trust - (RXY) , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 215 , -   , -   , -   ,
RYY, Kent Community Health NHS Foundation Trust - (RYY) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,525 ", -   , -   , -   ,
RNQ, Kettering General Hospital NHS Foundation Trust - (RNQ) ," 2,565 "," 10,400 "," 2,280 "," 2,150 ", 595 ," 1,230 "," 6,980 ", 385 ," 5,610 "," 8,055 "," 13,770 "," 1,935 "," 4,310 "," 4,835 "," 8,185 "," 1,630 ", 325 ," 9,595 "," 4,815 ", 60 ," 5,700 ",
ADP02, Kims Hospital (Newnham Court) - (ADP02) , * , 110 , 35 , * , * , 150 , 205 , -   , 10 , 15 , 490 , 90 ," 3,080 ", 345 , -   , -   , * , 70 , 25 , -   , 45 ,
RJZ, King's College Hospital NHS Foundation Trust - (RJZ) ," 4,195 "," 25,945 "," 8,110 "," 6,660 ", 975 ," 6,260 "," 8,430 ", 340 ," 12,815 "," 8,775 "," 35,575 "," 4,645 "," 13,200 "," 9,350 "," 18,330 "," 4,875 "," 1,250 "," 17,615 "," 10,645 ", 505 ," 11,825 ",
NXP21, Kingskerswell Health Centre - (NXP21) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 320 ,
RAX, Kingston Hospital NHS Foundation Trust - (RAX) ," 2,115 "," 3,970 ", 885 , 840 ," 1,075 ", 965 ," 2,940 ", 380 ," 3,590 "," 6,435 "," 11,325 "," 2,000 "," 4,570 "," 4,825 "," 14,170 "," 2,065 ", 165 ," 9,260 "," 4,810 ", 100 ," 7,720 ",
RW5, Lancashire & South Cumbria NHS Foundation Trust - (RW5) , 10 , -   , -   , -   ," 1,205 ", 30 , -   , -   , * , * , * , * , 40 , * , -   , -   , -   , 495 , 10 , -   , 10 ,
RXN, Lancashire Teaching Hospitals NHS Foundation Trust - (RXN) ," 5,055 "," 13,215 "," 3,055 "," 2,650 ", 645 ," 4,325 "," 2,910 ", 775 ," 7,685 "," 8,980 "," 14,720 "," 3,420 "," 7,745 "," 7,880 "," 14,495 "," 1,650 ", 515 ," 12,855 "," 9,995 ", 40 ," 9,475 ",
NXP20, Lawn Medical Centre - (NXP20) , -   , -   , -   , -   , -   , 125 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
RGD, Leeds And York Partnership NHS Foundation Trust - (RGD) , * , -   , -   , * , 875 , 40 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 155 , * , -   , 190 ,
RY6, Leeds Community Healthcare NHS Trust - (RY6) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 105 , -   , -   , -   ,
RR8, Leeds Teaching Hospitals NHS Trust - (RR8) ," 4,785 "," 18,325 "," 2,460 "," 3,835 "," 1,615 "," 4,825 "," 7,310 ", 845 ," 15,125 "," 12,615 "," 22,320 "," 4,370 "," 17,715 "," 10,105 "," 11,315 "," 2,390 "," 3,375 "," 15,940 "," 16,445 ", 110 ," 11,980 ",
RT5, Leicestershire Partnership NHS Trust - (RT5) , 70 , 220 , 10 , 35 ," 1,670 ", 215 , * , 10 , 675 , 505 , 185 , 160 , 470 , 185 , -   , -   , -   , 150 ," 1,070 ", -   , 345 ,
RJ2, Lewisham And Greenwich NHS Trust - (RJ2) ," 4,655 "," 14,475 "," 4,695 "," 2,320 ", 610 ," 1,925 ", 225 , 980 ," 4,870 "," 11,650 "," 17,240 "," 3,900 "," 6,410 "," 6,905 "," 14,360 "," 5,235 ", 505 ," 14,900 "," 7,295 ", 350 ," 15,175 ",
RY5, Lincolnshire Community Health Services NHS Trust - (RY5) , * , 55 , 55 , 105 , 10 , * , * , -   , 85 , 45 , 100 , 30 , 25 , 160 , -   , -   , -   , 70 , 95 , -   , 970 ,
RP7, Lincolnshire Partnership NHS Foundation Trust - (RP7) , -   , -   , -   , -   , 65 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , -   , * ,
NW603, Lister Hospital - (NW603) , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,
RBQ, Liverpool Heart And Chest Hospital NHS Foundation Trust - (RBQ) , 15 ," 1,065 ", 150 , 465 , -   , * , -   , -   ," 9,915 ", 565 , 55 , * , * , * , -   , -   , 190 , 760 , 295 , -   , 145 ,
REM, Liverpool University Hospitals NHS Foundation Trust - (REM) ," 5,470 "," 17,165 "," 5,040 "," 4,220 "," 2,700 "," 3,200 "," 11,150 ", 775 ," 12,740 "," 16,330 "," 38,090 "," 5,485 "," 15,305 "," 9,360 ", 165 , -   , 490 ," 27,715 "," 17,130 ", 210 ," 9,960 ",
REP, Liverpool Women's NHS Foundation Trust - (REP) , 35 ," 1,410 ", 35 , 10 , * , 10 , 25 , -   , 15 , 20 , 60 , 25 , 40 ," 4,945 "," 23,340 "," 1,930 ", 420 , 680 , 135 , -   ," 8,005 ",
NR501, Livewell Southwest - (NR501) , 15 , 10 , * , 10 , 15 , 20 , -   , -   , 100 , 55 , 30 , 25 , 45 , 20 , -   , -   , -   , 170 , 230 , -   , 30 ,
NDAJ0, Livingstone Community Hospital - (NDAJ0) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 345 , -   , -   , -   ,
NW605, London Bridge Hospital - (NW605) , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   , * ,
R1K, London North West University Healthcare NHS Trust - (R1K) ," 4,935 "," 18,730 "," 5,895 "," 3,370 "," 1,365 "," 1,880 "," 4,345 "," 1,130 "," 10,005 "," 12,085 "," 30,375 "," 4,530 "," 9,045 "," 11,165 "," 10,855 "," 1,630 ", 315 ," 26,170 "," 10,690 ", 375 ," 12,525 ",
RC9, Luton And Dunstable University Hospital NHS Foundation Trust - (RC9) ," 3,470 "," 11,690 "," 2,595 "," 2,830 ", 815 ," 2,055 "," 3,100 ", 605 ," 5,010 "," 9,020 "," 16,170 "," 2,170 "," 5,710 "," 4,845 "," 15,945 "," 2,625 ", 635 ," 14,635 "," 5,875 ", 125 ," 11,700 ",
RWF, Maidstone And Tunbridge Wells NHS Trust - (RWF) ," 2,675 "," 7,865 "," 2,275 "," 2,620 "," 1,165 "," 1,930 "," 6,570 ", 595 ," 5,785 "," 7,985 "," 18,755 "," 3,135 "," 10,435 "," 6,880 "," 7,045 "," 1,785 ", 385 ," 18,555 "," 9,905 ", 75 ," 8,250 ",
R0A, Manchester University NHS Foundation Trust - (R0A) ," 7,965 "," 32,635 "," 7,925 "," 9,680 "," 1,490 "," 4,630 "," 11,595 "," 1,725 "," 20,115 "," 23,000 "," 41,780 "," 6,030 "," 16,880 "," 19,640 "," 23,960 "," 3,650 "," 4,765 "," 24,940 "," 19,575 ", 185 ," 28,570 ",
RPA, Medway NHS Foundation Trust - (RPA) ," 3,325 "," 6,375 "," 2,440 "," 1,585 ", 575 ," 1,490 ", 145 , 550 ," 5,015 "," 7,360 "," 10,665 "," 1,790 "," 7,430 "," 5,070 "," 6,015 "," 1,235 ", 325 ," 10,430 "," 4,650 ", 105 ," 5,540 ",
RW4, Mersey Care NHS Foundation Trust - (RW4) , -   , -   , -   , * ," 1,845 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 620 , -   , -   , 395 ,
RBT, Mid Cheshire Hospitals NHS Foundation Trust - (RBT) ," 2,780 "," 6,410 "," 1,560 "," 1,065 "," 1,310 "," 1,465 "," 5,140 ", 440 ," 3,915 "," 5,825 "," 14,600 "," 1,635 "," 5,470 "," 4,365 "," 8,130 "," 1,320 ", 130 ," 8,215 "," 5,745 ", 50 ," 4,520 ",
RQ8, Mid Essex Hospital Services NHS Trust - (RQ8) ," 2,175 "," 9,470 "," 1,390 ", 945 , 490 ," 1,485 "," 2,135 ", 410 ," 4,855 "," 5,515 "," 9,380 "," 3,360 "," 4,815 "," 5,010 "," 6,920 "," 1,415 ", 465 ," 9,445 "," 8,725 ", 40 ," 5,285 ",
RXF-X, Mid Yorkshire Hospitals NHS Trust - (RXF-X) ," 4,135 "," 24,750 "," 3,830 "," 2,925 ", 940 ," 2,920 "," 2,975 ", 645 ," 6,320 "," 10,810 "," 17,685 "," 3,690 "," 10,815 "," 8,100 "," 15,620 "," 1,495 ", 345 ," 14,675 "," 13,900 ", 60 ," 10,205 ",
RRE, Midlands Partnership NHS Foundation Trust - (RRE) , 55 , 195 , 335 , 65 ," 1,470 ", 485 , * , * , 350 , 325 , 60 , 100 ," 2,700 ", 140 , -   , -   , * ," 1,145 ", 465 , -   , 70 ,
NXP43, Millstream House - (NXP43) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , 10 , 100 , -   , -   , -   , -   , -   , -   , -   , * ,
RD8, Milton Keynes University Hospital NHS Foundation Trust - (RD8) ," 2,710 "," 11,365 "," 1,450 "," 1,360 ", 300 , 670 ," 1,320 ", 415 ," 2,700 "," 5,440 "," 9,510 "," 1,170 "," 2,865 "," 3,725 "," 6,580 "," 1,555 ", 175 ," 8,355 "," 3,740 ", 65 ," 3,695 ",
