"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2017-18)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2017-18.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
NQ108, Clacton Hospital (NQ108) , 15 , 30 , * , * , * , 20 , -   , * , 125 , 35 , 10 , 20 , 25 , 20 , -   , -   , -   , 105 , 175 , -   , -   ,
NVC28, Clifton Park Hospital (NVC28) , -   , 10 , -   , -   , -   , 95 , -   , -   , -   , -   , * , * ," 1,495 ", -   , -   , -   , * , * , 80 , -   , * ,
NVC29, Cobalt Hospital (NVC29) , 60 , 115 , 20 , * , * , 45 , -   , -   , 20 , -   ," 2,705 ", 80 , 175 , -   , -   , -   , -   , 275 , * , -   , 90 ,
NVM01, Cobham Day Surgery Hospital (NVM01) , * , 75 , -   , -   , -   , * , * , -   , -   , -   , 380 , -   , 25 , 50 , -   , -   , -   , * , * , -   , 10 ,
RDE, Colchester Hospital University NHS Foundation Trust (RDE) ," 3,765 "," 16,200 "," 2,890 "," 1,030 ", 610 ," 1,565 "," 3,975 ", 625 ," 5,615 "," 7,990 "," 12,875 "," 1,800 "," 4,060 "," 6,510 "," 5,235 "," 2,415 ", 245 ," 7,725 "," 5,985 ", -   ," 4,275 ",
RJ8, Cornwall Partnership NHS Foundation Trust (RJ8) , 105 , 340 , 15 , 70 , 695 , 145 , * , * , 765 , 450 , 160 , 90 , 255 , 195 , -   , * , -   , 640 ," 1,010 ", -   , 25 ,
RJR, Countess Of Chester Hospital NHS Foundation Trust (RJR) ," 2,675 "," 7,625 "," 1,850 ", 960 , 420 , 885 ," 3,095 ", 555 ," 4,205 "," 5,655 "," 10,485 "," 1,895 "," 3,960 "," 4,530 "," 10,520 "," 1,220 ", 210 ," 8,925 "," 4,945 ", -   ," 5,965 ",
RXP, County Durham And Darlington NHS Foundation Trust (RXP) ," 5,205 "," 14,575 "," 1,525 "," 2,430 ", 715 ," 1,720 "," 5,110 ", 790 ," 6,855 "," 11,010 "," 9,830 "," 4,020 "," 9,950 "," 5,920 "," 9,470 "," 2,185 ", 290 ," 12,145 "," 10,260 ", * ," 5,285 ",
RYG, Coventry And Warwickshire Partnership NHS Trust (RYG) , -   , -   , -   , -   , 985 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,460 ", -   , -   , 45 ,
RJ6, Croydon Health Services NHS Trust (RJ6) ," 3,360 "," 3,735 "," 1,445 "," 1,240 ", 490 , 785 , 95 , 330 ," 3,145 "," 5,500 "," 10,400 "," 1,325 "," 4,060 "," 4,785 "," 5,660 "," 1,700 ", 245 ," 8,455 "," 4,010 ", -   ," 3,870 ",
NTV01, Csh Surrey (Ewell Court) (NTV01) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 85 , -   , -   , -   ,
RNN, Cumbria Partnership NHS Foundation Trust (RNN) , 80 , 250 , 130 , 50 , 810 , 155 , * , * , 270 , 370 , 120 , 110 , 185 , 285 , -   , -   , -   ," 1,560 ", 315 , -   , 295 ,
NQ738, Darent Valley Hospital (NQ738) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 130 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,
RN7-X, Dartford And Gravesham NHS Trust (RN7-X) ," 3,235 "," 11,270 "," 2,060 "," 1,480 ", 370 ," 1,015 ", 105 , 140 ," 3,545 "," 5,590 "," 12,780 "," 2,025 "," 5,700 "," 5,955 "," 7,275 "," 1,235 ", 160 ," 10,375 "," 4,060 ", -   ," 6,990 ",
RTG, Derby Teaching Hospitals NHS Foundation Trust (RTG) ," 5,020 "," 22,830 "," 2,975 "," 3,830 "," 1,145 "," 3,570 "," 4,715 ", 785 ," 8,025 "," 8,430 "," 19,545 "," 2,640 "," 13,275 "," 6,640 "," 16,330 "," 1,705 ", 545 ," 16,720 "," 9,975 ", -   ," 15,590 ",
RY8, Derbyshire Community Health Services NHS Foundation Trust (RY8) , 100 , 535 , 10 , 75 , 125 , 295 ," 1,065 ", 60 , 285 , 305 , 235 , 545 ," 1,845 ", 245 , -   , -   , 15 , 525 , 635 , -   ," 1,450 ",
RXM, Derbyshire Healthcare NHS Foundation Trust (RXM) , -   , -   , -   , * ," 1,360 ", 65 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , -   , 10 ,
NTPH3, Devizes NHS Treatment Centre (NTPH3) , 25 , 40 , 10 , * , * , * , 400 , * , 15 , 40 ," 2,860 ", 20 , 215 , 70 , -   , -   , * , 195 , 225 , -   , 50 ,
RWV, Devon Partnership NHS Trust (RWV) , -   , -   , -   , -   , 980 , 35 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 750 , -   , -   , * ,
RP5, Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust (RP5) ," 3,880 "," 9,000 "," 2,530 "," 2,925 ", 775 ," 2,025 "," 9,570 ", 765 ," 6,265 "," 8,600 "," 18,245 "," 2,315 "," 12,435 "," 6,560 "," 8,345 "," 2,140 ", 325 ," 15,400 "," 8,285 ", -   ," 5,730 ",
NNE02, Dorking General Hospital (NNE02) , * , 20 , 15 , * , * , 120 , 140 , * , 30 , 20 , 395 , 10 , 875 , 95 , -   , -   , * , 115 , 15 , -   , 25 ,
RBD, Dorset County Hospital NHS Foundation Trust (RBD) ," 1,705 "," 3,585 "," 1,155 ", 980 , 305 , 810 ," 4,455 ", 310 ," 3,230 "," 3,480 "," 7,410 "," 1,130 "," 3,535 "," 4,555 "," 3,475 ", 770 , 195 ," 6,365 "," 3,995 ", -   ," 4,460 ",
RDY, Dorset Healthcare University NHS Foundation Trust (RDY) , 105 , 260 , 30 , 55 , 800 , 235 , -   , -   , 205 , 260 ," 1,745 ", 245 , 480 , 360 , -   , -   , * , 860 , 845 , -   , 210 ,
NVC04, Duchy Hospital (NVC04) , * , 315 , 25 , * , * , 145 , * , * ," 1,010 ", 150 , 855 , 60 ," 2,575 ", 160 , -   , -   , 20 , 185 , 100 , -   , 60 ,
RYK, Dudley And Walsall Mental Health Partnership NHS Trust (RYK) , -   , -   , -   , -   , 995 , 30 , -   , -   , * , * , -   , * , -   , -   , * , -   , -   , * , -   , -   , 35 ,
RWH, East And North Hertfordshire NHS Trust (RWH) ," 3,165 "," 23,735 "," 2,105 "," 1,390 ", 485 ," 1,845 "," 2,800 ", 830 ," 6,005 "," 7,360 "," 12,745 "," 2,000 "," 6,000 "," 6,605 "," 7,280 "," 1,530 ", 355 ," 9,130 "," 9,545 ", -   ," 10,265 ",
RJN, East Cheshire NHS Trust (RJN) ," 1,560 "," 3,145 ", 600 , 365 , 310 , 375 ," 3,200 ", 160 ," 1,375 "," 3,045 "," 6,980 ", 555 ," 1,855 "," 1,605 "," 2,205 ", 825 , 60 ," 2,525 "," 2,490 ", -   ," 1,985 ",
RVV, East Kent Hospitals University NHS Foundation Trust (RVV) ," 6,490 "," 12,845 "," 3,215 "," 2,560 ", 760 ," 3,520 "," 4,580 "," 1,110 "," 11,550 "," 13,305 "," 23,165 "," 4,280 "," 15,885 "," 12,880 "," 11,735 "," 1,490 ", 415 ," 21,980 "," 10,320 ", -   ," 11,680 ",
RXR, East Lancashire Hospitals NHS Trust (RXR) ," 6,515 "," 7,780 "," 3,275 "," 2,365 ", 690 ," 2,150 "," 3,860 ", 800 ," 8,545 "," 12,135 "," 21,480 "," 2,910 "," 9,455 "," 7,305 "," 9,805 "," 3,165 ", 640 ," 13,420 "," 7,700 ", -   ," 7,905 ",
RWK, East London NHS Foundation Trust (RWK) , * , * , -   , * ," 5,110 ", 45 , -   , -   , * , 10 , * , * , * , * , -   , -   , -   , 390 , 20 , -   , 95 ,
RXC, East Sussex Healthcare NHS Trust (RXC) ," 4,515 "," 17,405 "," 2,645 "," 2,225 ", 395 ," 1,800 "," 4,555 ", 410 ," 7,030 "," 7,425 "," 14,450 "," 1,975 "," 4,530 "," 5,495 "," 4,685 "," 1,215 ", 165 ," 10,450 "," 6,895 ", -   ," 4,130 ",
NAX03, Ecch Beccles Hospital (NAX03) , * , 55 , 35 , * , * , 15 , * , -   , 15 , 20 , 20 , 10 , 15 , 10 , -   , -   , -   , 130 , 60 , -   , -   ,
NTPH2, Emersons Green NHS Treatment Centre (NTPH2) , 25 , 120 , 85 , -   , -   , 240 ," 1,130 ", 15 , 75 , 200 ," 5,025 ", 50 ," 1,315 ", 400 , -   , -   , * , 400 , 135 , -   , 100 ,
RVR-X, Epsom And St Helier University Hospitals NHS Trust (RVR-X) ," 3,790 "," 4,290 "," 2,080 "," 1,380 ", 725 ," 1,185 "," 3,685 ", 365 ," 4,100 "," 6,520 "," 13,730 "," 1,820 "," 12,745 "," 8,105 "," 7,065 "," 2,830 ", 390 ," 13,295 "," 7,990 ", -   ," 5,480 ",
NVM02, Epsom Day Surgery Limited (NVM02) , -   , 60 , -   , -   , -   , * , * , -   , -   , -   , 245 , * , 20 , 20 , -   , -   , -   , -   , * , -   , 10 ,
R1L, Essex Partnership University NHS Foundation Trust (R1L) , -   , -   , -   , -   ," 1,145 ", 25 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 2,955 ", -   , -   , * ,
NVC05, Euxton Hall Hospital (NVC05) , 40 , 125 , 45 , * , * , 190 , * , * , * , 95 ," 1,535 ", 170 ," 2,930 ", 690 , -   , -   , 10 , 365 , 45 , -   , 175 ,
NVG01, Fairfield Hospital (NVG01) , 20 , 90 , 30 , -   , -   , 110 , 330 , 30 , 165 , 130 , 975 , 160 ," 1,200 ", 360 , -   , -   , * , 115 , 40 , -   , 145 ,
NXP33, Fairfield Park Health Centre (NXP33) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NDA25, Farnham Hospital & Centre For Health (NDA25) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 445 , -   , -   , -   ,
NHM05, Felixstowe Community Hospital (NHM05) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 80 , -   , -   , -   ,
NVC06, Fitzwilliam Hospital (NVC06) , 40 , 125 , 20 , * , * , 175 , 645 , 25 , 25 , 255 ," 1,595 ", 25 ," 4,155 ", 470 , -   , -   , 15 , 195 , 55 , -   , 55 ,
AHH01, Foscote Court (Banbury) Trust (AHH01) , -   , * , -   , -   , -   , 20 , -   , -   , -   , -   , 175 , * , 100 , 50 , -   , -   , * , 20 , * , -   , -   ,
RDU, Frimley Health NHS Foundation Trust (RDU) ," 7,365 "," 11,160 "," 2,520 "," 2,490 "," 1,155 "," 2,870 "," 4,880 "," 1,175 "," 12,095 "," 13,745 "," 26,340 "," 5,735 "," 17,750 "," 13,535 "," 13,650 "," 2,375 ", 505 ," 26,850 "," 14,605 ", -   ," 15,135 ",
NQ106, Fryatt Hospital (NQ106) , * , 45 , * , * , * , * , -   , -   , 15 , 20 , * , * , 20 , 15 , -   , -   , * , 70 , 105 , -   , -   ,
NVC07, Fulwood Hall Hospital (NVC07) , 45 , 115 , 20 , * , * , 255 ," 1,155 ", 10 , 140 , 100 ," 1,170 ", 120 ," 3,035 ", 555 , -   , -   , * , 220 , 60 , -   , 90 ,
RR7-X, Gateshead Health NHS Foundation Trust (RR7-X) ," 2,635 "," 11,555 "," 1,785 "," 1,515 ", 470 , 685 , 35 , 60 ," 2,785 "," 4,630 "," 9,705 ", 855 ," 5,355 "," 3,520 "," 2,620 "," 1,310 ", 75 ," 7,035 "," 3,755 ", -   ," 3,595 ",
RLT, George Eliot Hospital NHS Trust (RLT) ," 1,190 "," 2,635 ", 345 , 470 , 220 , 545 ," 1,760 ", 20 ," 1,650 "," 2,150 "," 7,000 ", 815 ," 3,230 "," 4,080 "," 2,990 ", 535 , 45 ," 4,530 "," 2,300 ", -   ," 2,680 ",
NHM26, Glastonbury Court (NHM26) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 175 , -   , -   , -   ,
R1J, Gloucestershire Care Services NHS Trust (R1J) , * , 10 , * , 15 , 10 , * , * , * , 20 , 10 , 10 , * , 20 , 15 , 155 , -   , -   ," 2,470 ", 20 , -   , * ,
RTE, Gloucestershire Hospitals NHS Foundation Trust (RTE) ," 4,635 "," 32,035 "," 2,485 "," 1,870 ", 790 ," 3,300 "," 5,405 ", 815 ," 8,085 "," 10,305 "," 21,830 "," 2,330 "," 9,150 "," 7,025 "," 13,500 "," 1,475 ", 300 ," 14,330 "," 9,415 ", -   ," 11,615 ",
NDAH9, Gravesham Community Hospital (NDAH9) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 230 , -   , -   , -   ,
RP4, Great Ormond Street Hospital For Children NHS Foundation Trust (RP4) , 150 ," 7,420 ", 940 ," 3,035 ", 25 ," 3,725 ", 535 , 470 ," 1,185 "," 1,930 "," 2,750 ", 460 ," 5,535 "," 2,770 ", -   , 180 ," 8,895 "," 1,005 ", 450 , -   , 295 ,
RN3, Great Western Hospitals NHS Foundation Trust (RN3) ," 3,630 "," 13,780 "," 1,310 "," 1,565 ", 905 ," 1,950 "," 2,250 ", 505 ," 5,780 "," 7,000 "," 12,090 "," 2,075 "," 6,525 "," 4,935 "," 5,865 "," 1,855 ", 215 ," 10,865 "," 6,755 ", -   ," 4,840 ",
RJ1-X, Guy's And St Thomas' NHS Foundation Trust (RJ1-X) ," 2,790 "," 12,690 "," 3,995 "," 2,880 "," 1,875 "," 8,405 "," 5,175 "," 1,300 "," 9,875 "," 9,715 "," 28,820 "," 3,790 "," 13,060 "," 10,695 "," 9,375 "," 1,595 "," 3,935 "," 13,635 "," 10,125 ", -   ," 13,605 ",
RN5-X, Hampshire Hospitals NHS Foundation Trust (RN5-X) ," 3,665 "," 7,100 "," 1,840 "," 1,615 ", 590 ," 1,860 "," 5,485 ", 555 ," 5,090 "," 7,260 "," 16,285 "," 2,265 "," 9,145 "," 6,620 "," 8,160 "," 2,115 ", 285 ," 11,295 "," 6,630 ", -   ," 7,305 ",
RCD, Harrogate And District NHS Foundation Trust (RCD) ," 1,860 "," 10,505 "," 1,100 "," 1,405 ", 305 , 815 ," 1,730 ", 265 ," 2,460 "," 3,390 "," 10,235 ", 875 ," 3,550 "," 2,985 "," 2,480 ", 735 , 155 ," 5,600 "," 3,075 ", -   ," 3,045 ",
NDA03, Haslemere And District Hospital Opd (NDA03) , * , * , -   , * , -   , * , -   , -   , * , 10 , * , * , * , * , -   , -   , -   , 115 , 35 , -   , * ,
NXP04, Hathaway Medical Centre (NXP04) , -   , * , -   , -   , -   , 140 , * , -   , -   , -   , 285 , * , 105 , -   , -   , -   , * , * , * , -   , 240 ,
NHM15, Hazell Court Residential Home (NHM15) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 85 , -   , -   , -   ,
NW612, Hca - 52 Alderley Road (NW612) , * , 15 , * , * , * , 10 , 170 , * , 10 , 30 , 95 , 10 , 105 , 30 , -   , -   , -   , 30 , 15 , -   , 25 ,
RR1-X, Heart Of England NHS Foundation Trust (RR1-X) ," 8,410 "," 31,650 "," 4,765 "," 5,130 "," 1,690 "," 3,385 "," 12,385 ", 850 ," 12,465 "," 17,700 "," 22,295 "," 5,210 "," 13,745 "," 11,295 "," 24,935 "," 2,980 ", 335 ," 44,690 "," 12,545 ", -   ," 15,005 ",
RY4, Hertfordshire Community NHS Trust (RY4) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ," 2,050 ", * , -   , -   ,
RWR, Hertfordshire Partnership University NHS Foundation Trust (RWR) , -   , -   , -   , -   ," 1,405 ", 85 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 365 , -   , -   , 10 ,
RQX, Homerton University Hospital NHS Foundation Trust (RQX) ," 2,265 "," 2,045 "," 3,365 "," 1,060 ", 320 , 685 , 115 , 125 ," 1,670 "," 3,235 "," 12,090 "," 1,200 "," 2,780 "," 2,905 "," 14,435 "," 2,135 ", 170 ," 6,530 "," 2,680 ", -   ," 7,410 ",
NVC25, Horton NHS Treatment Centre (NVC25) , -   , * , -   , -   , -   , 420 , -   , -   , -   , -   , -   , 20 ," 2,595 ", -   , -   , -   , 10 , 10 , 50 , -   , * ,
RY9, Hounslow And Richmond Community Healthcare NHS Trust (RY9) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 345 , -   , -   , -   ,
NTX19, Huddersfield Hospital - The One Health Group (NTX19) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 125 , -   , -   , -   , -   , -   , -   , -   , -   ,
NXP08, Hugglescote Surgery (NXP08) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RWA, Hull And East Yorkshire Hospitals NHS Trust (RWA) ," 4,160 "," 24,495 "," 3,025 "," 2,270 "," 1,130 "," 3,995 "," 6,640 ", 980 ," 10,990 "," 10,860 "," 21,195 "," 3,335 "," 10,760 "," 8,680 "," 7,670 "," 3,450 ", 870 ," 9,895 "," 11,110 ", -   ," 9,525 ",
RV9-X, Humber NHS Foundation Trust (RV9-X) , -   , -   , -   , -   , 650 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 960 , -   , -   , * ,
NXP41, Ihg Craven Road (NXP41) , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RYJ, Imperial College Healthcare NHS Trust (RYJ) ," 4,250 "," 38,535 "," 7,645 "," 4,870 ", 255 ," 10,255 "," 6,845 ", 660 ," 13,550 "," 8,465 "," 18,925 "," 2,660 "," 9,550 "," 13,080 "," 27,100 "," 4,300 "," 1,235 "," 14,305 "," 8,770 ", * ," 18,050 ",
RGQ, Ipswich Hospital NHS Trust (RGQ) ," 2,485 "," 19,805 "," 2,140 "," 2,305 ", 540 ," 2,830 "," 3,715 ", 455 ," 5,350 "," 6,010 "," 11,520 "," 1,210 "," 6,840 "," 4,885 "," 7,290 "," 2,185 ", 305 ," 8,850 "," 4,725 ", -   ," 4,900 ",
R1F-X, Isle Of Wight NHS Trust (R1F-X) ," 1,620 "," 1,570 ", 415 , 360 , 435 , 485 ," 1,895 ", 165 ," 1,605 "," 2,165 "," 4,440 ", 475 ," 2,020 "," 1,620 "," 1,415 ", 290 , 55 ," 3,480 "," 1,910 ", -   ," 1,685 ",
RGP, James Paget University Hospitals NHS Foundation Trust (RGP) ," 1,900 "," 5,960 "," 1,705 ", 890 , 300 , 930 ," 7,975 ", 315 ," 3,390 "," 4,940 "," 7,210 "," 2,145 "," 5,870 "," 3,250 "," 3,445 ", 685 , 280 ," 5,950 "," 2,995 ", * ," 2,725 ",
RXY, Kent And Medway NHS And Social Care Partnership Trust (RXY) , -   , -   , -   , -   , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,380 ", -   , -   , * ,
RYY, Kent Community Health NHS Foundation Trust (RYY) , 75 , 30 , * , 25 , 20 , 20 , * , * , 110 , 130 , 40 , 60 , 110 , 85 , -   , -   , -   ," 1,020 ", 585 , -   , * ,
RNQ, Kettering General Hospital NHS Foundation Trust (RNQ) ," 2,535 "," 8,785 "," 1,900 "," 1,730 ", 625 ," 1,115 "," 6,085 ", 430 ," 5,500 "," 7,100 "," 13,995 "," 2,120 "," 4,250 "," 5,070 "," 8,225 "," 1,340 ", 420 ," 9,855 "," 5,025 ", -   ," 6,055 ",
ADP02, Kims Hospital (Newnham Court) (ADP02) , 10 , 70 , -   , * , 10 , 175 , 70 , * , 35 , 50 , 455 , 100 ," 2,550 ", 325 , -   , -   , * , 55 , 40 , -   , 25 ,
RJZ, King's College Hospital NHS Foundation Trust (RJZ) ," 4,690 "," 24,985 "," 7,145 "," 6,245 "," 1,705 "," 6,585 "," 8,675 ", 485 ," 13,400 "," 8,430 "," 33,400 "," 4,645 "," 14,150 "," 10,255 "," 18,290 "," 4,690 "," 1,255 "," 16,470 "," 10,935 ", -   ," 13,045 ",
NXP21, Kingskerswell Health Centre (NXP21) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 285 ,
RAX, Kingston Hospital NHS Foundation Trust (RAX) ," 1,940 "," 3,220 ", 795 , 795 , 350 ," 1,120 "," 2,665 ", 360 ," 3,340 "," 5,645 "," 9,585 "," 1,605 "," 4,660 "," 4,080 "," 15,640 "," 2,525 ", 200 ," 7,300 "," 3,925 ", -   ," 7,420 ",
RW5, Lancashire Care NHS Foundation Trust (RW5) , * , 25 , -   , * ," 2,365 ", 80 , -   , -   , 30 , 30 , 10 , 10 , 265 , 20 , -   , -   , -   , 315 , 35 , -   , * ,
RXN, Lancashire Teaching Hospitals NHS Foundation Trust (RXN) ," 4,615 "," 12,315 "," 2,395 "," 2,045 ", 495 ," 3,880 "," 2,790 ", 800 ," 7,500 "," 9,245 "," 14,385 "," 3,120 "," 9,085 "," 7,275 "," 14,720 "," 1,430 ", 605 ," 13,265 "," 10,260 ", -   ," 9,820 ",
NXP20, Lawn Medical Centre (NXP20) , -   , -   , -   , -   , -   , 145 , -   , -   , -   , -   , * , -   , * , -   , -   , -   , * , -   , -   , -   , -   ,
RGD, Leeds And York Partnership NHS Foundation Trust (RGD) , -   , * , -   , -   ," 1,350 ", 65 , -   , * , -   , * , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 290 ,
RY6, Leeds Community Healthcare NHS Trust (RY6) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 515 , -   , -   , -   ,
RR8, Leeds Teaching Hospitals NHS Trust (RR8) ," 4,685 "," 18,360 "," 2,945 "," 4,045 "," 1,495 "," 4,610 "," 8,125 ", 980 ," 15,505 "," 12,460 "," 23,755 "," 4,770 "," 18,785 "," 10,405 "," 12,370 "," 3,215 "," 3,500 "," 18,025 "," 17,035 ", -   ," 12,460 ",
RT5, Leicestershire Partnership NHS Trust (RT5) , 110 , 185 , * , 65 ," 1,515 ", 210 , * , 10 , 620 , 530 , 170 , 185 , 475 , 260 , -   , -   , -   , 190 , 960 , -   , 585 ,
RJ2, Lewisham And Greenwich NHS Trust (RJ2) ," 5,585 "," 14,190 "," 4,085 "," 2,375 ", 585 ," 2,040 ", 255 , 790 ," 4,575 "," 11,355 "," 15,615 "," 3,210 "," 7,525 "," 6,815 "," 16,030 "," 4,860 ", 585 ," 16,445 "," 7,150 ", -   ," 13,660 ",
RY5, Lincolnshire Community Health Services NHS Trust (RY5) , * , 435 , 225 , 140 , 10 , * , -   , -   , 55 , 50 , 45 , 15 , 25 , 40 , -   , -   , -   , 45 , 110 , -   , 25 ,
RP7, Lincolnshire Partnership NHS Foundation Trust (RP7) , -   , -   , -   , -   , 945 , 15 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 125 , * , -   , 20 ,
NAM04, Liskeard Community Hospital (NAM04) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NXP40, Litfield House Medical Centre (NXP40) , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , * , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
RY1, Liverpool Community Health NHS Trust (RY1) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 310 , -   , -   , -   ,
RBQ, Liverpool Heart And Chest Hospital NHS Foundation Trust (RBQ) , 15 ," 1,070 ", 65 , 375 , * , 10 , -   , -   ," 9,930 ", 645 , 70 , * , 15 , * , * , -   , 100 , 875 , 240 , -   , 105 ,
REP, Liverpool Women's NHS Foundation Trust (REP) , 35 ," 1,540 ", 40 , 15 , * , * , 10 , * , 10 , 10 , 75 , 40 , 10 ," 5,305 "," 23,220 "," 2,270 ", 355 , 375 , 170 , -   ," 8,520 ",
NR501, Livewell Southwest (NR501) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 890 , -   , -   , -   ,
NDAJ0, Livingstone Community Hospital (NDAJ0) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 275 , -   , -   , -   ,
R1K, London North West University Healthcare NHS Trust (R1K) ," 5,535 "," 18,010 "," 4,455 "," 3,135 ", 815 ," 1,510 "," 3,915 ", 700 ," 8,980 "," 10,475 "," 28,545 "," 4,420 "," 7,615 "," 9,835 "," 12,370 "," 1,925 ", 370 ," 22,285 "," 9,500 ", -   ," 11,300 ",
RC9, Luton And Dunstable University Hospital NHS Foundation Trust (RC9) ," 4,120 "," 10,210 "," 2,510 "," 2,815 ", 615 ," 1,815 "," 3,235 ", 630 ," 4,635 "," 8,225 "," 14,530 "," 1,905 "," 5,120 "," 4,765 "," 14,740 "," 2,745 ", 690 ," 13,955 "," 5,680 ", * ," 9,045 ",
RWF, Maidstone And Tunbridge Wells NHS Trust (RWF) ," 3,200 "," 6,470 "," 1,680 "," 1,980 ", 790 ," 1,705 "," 5,525 ", 530 ," 5,475 "," 7,160 "," 17,290 "," 1,875 "," 7,125 "," 6,235 "," 7,915 "," 2,590 ", 315 ," 15,785 "," 9,390 ", -   ," 8,485 ",
R0A, Manchester University NHS Foundation Trust (R0A) ," 8,125 "," 30,370 "," 7,550 "," 9,140 "," 1,565 "," 4,685 "," 11,350 "," 1,840 "," 20,605 "," 22,075 "," 40,280 "," 5,370 "," 18,150 "," 18,590 "," 24,280 "," 7,700 "," 5,285 "," 24,560 "," 20,135 ", -   ," 22,815 ",
RPA, Medway NHS Foundation Trust (RPA) ," 3,340 "," 6,570 "," 2,005 "," 1,770 ", 475 ," 1,435 ", 110 , 770 ," 5,055 "," 7,340 "," 10,475 "," 1,870 "," 6,720 "," 5,435 "," 6,290 "," 1,875 ", 325 ," 9,785 "," 5,025 ", -   ," 5,400 ",
